unit_checked,unit_standard
g g-1,g/g
Nm-1,N/m
picograms,pg
mm2 / mg,mm2/mg
,dimensionless
mm2 mg-1,mm2/mg
g/cm3,mg/mm3
m2kg,mm2/mg
mm,mm2
parts per 1000,per mille
umol m-2 s-1,umol/m2/s
g / m2,g/m2
g / cm3,mg/mm3
mg mm-3,mg/mm3
g m-2,mm2/mg
nmolCO2,nmolCO2
mgK/g,mg/g
gH2O/cm2,gH2O/cm2
mgN/g,mg/g
mgP/g,mg/g
umolCO2/s/gN,umolCO2/s/gN
?molCO2,umolCO2/umolH20
umolCO2/m2/s,umol/m/s
umolCO2/s/gN,umolCO2/s/gN
umol CO2 / umol H2O,umolCO2/umolH20
unknown,per mille
mg /g,mg/g
mg/mm2,mm2/mg
umol/kg/s,umol/g/s
mmol/m2/s,mmol/m2/s
10^4 x kg m-1 s-1 MPa -1,10^4kg/m/s/MPa
kg m-1 s-1 MPa -1,kg/m/s/MPa
mmol CO2 m-2 s-1,mmol/m2/s
mmol CO2 g-1 s-1,mmolCO2/g/s
m2/kg,mm2/mg
mm2/mg-1,mm2/mg
?,umol/m2/s
 mm,mm
