unit_from,unit_to,function
%,mg/g,x*10
%,g/g,x*0.01
%,mg/mg,x*0.01
%,mg/kg,x*10000
%,n/n,x*0.01
%,dimensionless,x*.01
years,month,x*12
count/m2,count/mm2,x*1/1000000
cm,m,x*0.01
cm,mm,x*10
um,mm,x*0.001
mm,um,x*1000
m,mm,x*1000
cm2,mm2,x*100
m2,mm2,x*1000000
mm,m,x*0.001
g,mg,x*1000
um/2,um,x*2
mg/mg,mg/g,x*1000
g/g,mg/mg,x*1
mg/mg,g/g,x*1
mg/g,g/g,x*0.001
ppm,mg/g,x*1/1000
ug/mg,mg/g,x*1
g/g,mg/g,x*1000
g/kg,mg/g,x*1
mg/kg,mg/g,x*.001
ug/g,mg/g,x*0.001
mmolN/g,mg/g,x*14.0067
ug/mg,mg/kg,x*1000
ug/g,mg/kg,x*1
ppm,mg/kg,x*1
mg/g,mg/kg,x*1000
g/kg,mg/kg,x*1000
mg/kg,ppm,x*1
m/g,cm/mg,x*0.1
cm/mg,m/g,x*10
cm/g,m/g,x*1/100
mm/g,m/g,x*1/1000
mg_shoot/mg_root,mg_root/mg_shoot,1/x
kg/m2,mm2/mg,1/x
g/m2,mm2/mg,1/x*1000
mg/cm2,mm2/mg,1/x*100
mg/mm2,mm2/mg,1/x
ug/mm2,mm2/mg,1/x*1000
g/dm2,mm2/mg,1/x*10
cm2/g,mm2/mg,x*0.1
cm2/mg,mm2/mg,x*100
m2/g,mm2/mg,x*1000
m2/kg,mm2/mg,x*1
mm2/g,mm2/mg,x*0.001
mm2/kg,mm2/mg,x*0.000001
mg/cm2,g/m2,x*10
mg/m2,g/m2,x*0.001
g/cm2,g/m2,x*10000
mg/mm2,g/m2,x*1000
molH2O/m2,g/m2,x*18
mmolN/m2,g/m2,x*14.0067/1000
mmolP/m2,g/m2,x*30.973761/1000
kg/m3,mg/mm3,x*0.001
g/cm3,mg/mm3,x*1
mg/ml,mg/mm3,x*1
ppm,umol/mol,x*1
%,umol/umol,x*1/100
mol/mol,umol/umol,x*1
umol/g,mmol/kg,x*1
mmol/g,mmol/kg,x*1/1000
mol/kg,umol/g,x*1000
nmol/g/s,umol/g/s,x*0.001
mol/m2/s,mmol/m2/s,x*1000
mmol/m2/s/MPa,mmol/m2/s/MPa,x*1
kg/m2/s/Mpa,mmol/m2/s/MPa,x*18015200
umolCO2/molH2O/m2/s,mmolCO2/molH2O/m2/s,x*1/1000
umolCO2/kg/s,umolCO2/g/s,x*0.001
mmolCO2/g/s,umolCO2/g/s,x*1000
nmolCO2/g/s,umolCO2/g/s,x*0.001
neg_umolCO2/g/s,umolCO2/g/s,x*-1
mmolCO2/m2/s,umolCO2/m2/s,x*1000
mmolCO2/m2/s,umolCO2/m2/s,x*1000
nmolCO2/m2/s,umolCO2/m2/s,x*1/1000
neg_umolCO2/m2/s,umolCO2/m2/s,x*-1
molCO2/m2/d,umolCO2/m2/s,x*11.57407
umolCO2/umolH2O,umolCO2/mmolH2O,x*1/1000
mmolCO2/molH2O,umolCO2/mmolH2O,x*1
umolCO2/molH2O,umolCO2/mmolH2O,x*1/1000
umolCO2/nmolH2O,umolCO2/umolH2O,x*1/1000
umolCO2/mmolH2O,umolCO2/umolH2O,x*1/1000
umolCO2/umolH2O,umolCO2/nmolH2O,x*1000
umolCO2/gN/s,umolCO2/molN/s,x*14.0067
umolCO2/gP/s,umolCO2/molP/s,x*30.973761
mmolCO2/molP/s,umolCO2/molP/s,x*1000
umolH2O/m2/s,mmolH2O/m2/s,x*0.001
molH2O/m2/s,mmolH2O/m2/s,x*1000
molH2O/m2/d,mmolH2O/m2/s,x*0.011574
molH2O/m2/s,mmolH2O/m2/s,x*1000
molH2O/m2/s,umolH2O/m2/s,x*1000000
mmol/m2/s,umolH2O/m2/s,x*1000
mmolH2O/m2/s,umolH2O/m2/s,x*1000
nmolH2O/m2/s,umolH2O/m2/s,x*1/1000
cm2_leaf/cm2_sapwood,mm2_sapwood/mm2_leaf,1/x
mm2_leaf/mm2_sapwood,mm2_sapwood/mm2_leaf,1/x
cm2_leaf/mm2_sapwood,mm2_sapwood/mm2_leaf,x*1/100
cm2_sapwood/m2_leaf,mm2_sapwood/mm2_leaf,x*1/10000
10^4 x mm2_sapwood/mm2_leaf,mm2_sapwood/mm2_leaf,x*1/10000
MPa,Pa,x*1000
neg_MPa,MPa,x*-1
MPa,neg_MPa,x*-1
MN/m2,MPa,x*1
N/m2,MPa,x*1/1000
mJ/m,N,x*1/1000
J/m,N,x*1
kJ/m2,N/m,x*1000
J/m2,N/m,x*1
100xJ/m2,N/m,x*100
kN/m,N/m,x*1000
10^1*kN/m,N/m,x*100
10^1*MN/m2,N/m2,x*100000
MJ/m2/m,N/m2,x*1000000
MN/m2,N/m2,x*1000000
mg/m/s/MPa,10^4 x kg/m/s/MPa,x*1/100
kg/m/s/MPa,10^4 x kg/m/s/MPa,x*10000
10^4 x ml*cm/s/MPa/cm2,10^4 x kg/m/s/MPa,x*0.1
