species_name,family,authority,TPL_ID,status,APC_name,APC_ID,APNI_ID
Abelmoschus ficulneus,Malvaceae,(L.) Wight & Arn.,kew-2609577,Accepted,Abelmoschus ficulneus,2897916,55929
Abelmoschus manihot,Malvaceae,(L.) Medik.,kew-2609589,Accepted,Abelmoschus manihot,2901085,55937
Abelmoschus moschatus,Malvaceae,Medik.,kew-2609599,Accepted,Abelmoschus moschatus,2900572,55953
Abroma augusta,Malvaceae,(L.) L.f.,kew-2610167,Accepted,Abroma molle,2904866,199881
Abrophyllum ornans,Rousseaceae,(F.Muell.) Hook.f.,kew-2610292,Accepted,Abrophyllum ornans,2893678,56085
Abrotanella nivigena,Compositae,(F.Muell.) F.Muell. ex Benth.,gcc-31570,Accepted,Abrotanella nivigena,2900512,56120
Abrus precatorius,Leguminosae,L.,ild-2477,Accepted,Abrus precatorius,2919311,56149
Abrus precatorius subsp. africanus,Leguminosae,Verdc.,ild-2478,Accepted,Abrus precatorius subsp. africanus,2916143,56158
Abutilon aff. subviscosum,Malvaceae,Benth.,kew-2610994,Accepted,Abutilon subviscosum,2903828,56823
Abutilon amplum,Malvaceae,Benth.,kew-2610447,Accepted,Abutilon amplum,2889664,56213
Abutilon auritum,Malvaceae,(Wall. ex Link) Sweet,kew-2610477,Accepted,Abutilon auritum,3833263,56254
Abutilon cryptopetalum,Malvaceae,(F.Muell.) Benth.,kew-2610559,Accepted,Abutilon cryptopetalum,2900809,56321
Abutilon fraseri,Malvaceae,(Hook.) Walp.,kew-2610622,Accepted,Abutilon fraseri,2899555,56365
Abutilon geranioides,Malvaceae,(DC.) Benth.,kew-2610641,Accepted,Abutilon geranioides,2908201,56419
Abutilon grandifolium,Malvaceae,(Willd.) Sweet,kew-2610654,Accepted,Abutilon grandifolium,2921307,56428
Abutilon halophilum,Malvaceae,F.Muell. ex Schltdl.,kew-2610667,Accepted,Abutilon halophilum,3470889,56459
Abutilon hannii,Malvaceae,Baker f.,kew-2610668,Accepted,Abutilon hannii,2887138,56470
Abutilon indicum,Malvaceae,(L.) Sweet,kew-2610698,Accepted,Abutilon cunninghamii,2905239,56328
