"unit_checked","unit_standard","transform_function"
"mm2","mm2","function(x) x*1"
"mg","mg","function(x) x*1"
"mm2/mg","mm2 mg-1","function(x) x*1"
"mm","mm","function(x) x*1"
"g g-1","g g-1","function(x) x*1"
"% dry weight","mg g-1","function(x) x*10"
"Nm-1","N m-1","function(x) x*1"
"%","g g-1","function(x) x*0.01"
"cm2/g","mm2 mg-1","function(x) x*0.1"
"mm3","mm3","function(x) x*1"
"picograms","pg","function(x) x*1"
"m","m","function(x) x*1"
"cm2","mm2","function(x) x*100"
"g","mg","function(x) x*1000"
"mm2/g","mm2 mg-1","function(x) x*1"
"year","year","function(x) x*1"
"mm","m","function(x) x*0.001"
"%","%","function(x) x*1"
"%","mg g-1","function(x) x*10"
"g/m2","g m-2","function(x) x*1"
"mm2 / mg","mm2 mg-1","function(x) x*1"
"g/m2","mm2 mg-1","function(x) 1/x*1000/1"
"","dimensionless","function(x) x*1"
"mmol/g","mmol g-1","function(x) x*1"
"mmol/g","mg g-1","function(x) x*14.0067"
"mol/m2","mol m-2","function(x) x*1"
"mg/g","g g-1","function(x) x*0.001"
"mm2 mg-1","mm2 mg-1","function(x) x*1"
"g/cm3","mg mm-3","function(x) x*1"
"g/g","g g-1","function(x) x*1"
"unknown","mm2 mg-1","function(x) 1/x*1000/1000"
"cm","m","function(x) x*0.01"
"mg/g","mg g-1","function(x) x*1"
"?","mm2 mg-1","function(x) x*100"
"m2kg","mm2 mg-1","function(x) x*1"
"mm","mm2","function(x) x*1"
"g/cm3","g cm-3","function(x) x*1"
"parts per 1000","per mille","function(x) x*1"
"umol m-2 s-1","umol m-2 s-1","function(x) x*1"
"nmol g-1 s-1","umol g-1 s-1","function(x) x*0.001"
"mol m-2 s-1","mmol m-2 s-1","function(x) x*1000"
"microns","mm","function(x) x*0.001"
"g / m2","g m-2","function(x) x*1"
"g / cm3","mg mm-3","function(x) x*1"
"mg mm-3","mg mm-3","function(x) x*1"
"cm2 / g","mm2 mg-1","function(x) x*0.1"
"g m-2","mm2 mg-1","function(x) x*1"
"gm2","mm2 mg-1","function(x) 1/x*1000/1"
"nmolCO2","","function(x) x*1"
"umolH2O/m2/s","mmol m-2 s-1","function(x) x*0.001"
"mgK/cm2","g m-2","function(x) x*10"
"mgK/g","mg/g","function(x) x*1"
"gH2O/cm2","gH2O cm-2","function(x) x*1"
"mgN/cm2","g m-2","function(x) x*10"
"mgN/g","mg g-1","function(x) x*1"
"mgP/cm2","g m-2","function(x) x*10"
"mgP/g","mg g-1","function(x) x*1"
"umolCO2/s/gN","umolCO2/s/gN","function(x) x*1"
"?molCO2","umol CO2 umol H20 -1","function(x) x*1"
"umolCO2/m2/s","umol m-2 s-1","function(x) x*1"
"nmolCO2/g/s","umol g-1 s-1","function(x) x*1000"
"umolCO2/s/gN","umol CO2 s-1 gN-1","function(x) x*1"
"umol CO2 / umol H2O","umol CO2 umol H20 -1","function(x) x*1"
"kg m-3","mg mm-3","function(x) x*0.001"
"unknown","per mille","function(x) x*1"
"mg /g","mg g-1","function(x) x*1"
"cm","mm","function(x) x*10"
"mg/mm2","mm2 mg-1","function(x) x*1"
"umol/kg/s","umol g-1 s-1","function(x) x*1"
"mm","mm","function(x) x*1"
"mmol/m2/s","mmol m-2 s-1","function(x) x*1"
"10^4 x kg m-1 s-1 MPa -1","10^4 x kg m-1 s-1 MPa -1","function(x) x*1"
"kg m-1 s-1 MPa -1","kg m-1 s-1 MPa -1","function(x) x*1"
"m2/m2","m2 m-2","function(x) x*1"
"mmol CO2 m-2 s-1","mmol m-2 s-1","function(x) x*1"
"umol/kg/s","umol kg-1 s-1","function(x) x*1"
"ug / g","mg g-1","function(x) x*0.001"
"umol/m2/s","umol m-2 s-1","function(x) x*1"
"umol/g","umol g-1","function(x) x*1"
"month","month","function(x) x*1"
"gH2O/gDW","gH2O gDW-1","function(x) x*1"
"mg/cm2","mm2 mg-1","function(x) 1/x*1000/10"
"nmol/g/s","umol g-1 s-1","function(x) x*0.001"
"umol/m2/s","umol/m2/s","function(x) x*1"
"mmol CO2 m-2 s-1","umol m-2 s-1","function(x) x*1000"
"mmol CO2 g-1 s-1","mmol g-1 s-1","function(x) x*1"
"m2/kg","mm2 mg-1","function(x) x*1"
"ug / mm2","mm2 mg-1","function(x) 1/x*1000/1"
"mg/g-1","g g-1","function(x) x*0.001"
"mm2/mg-1","mm2 mg-1","function(x) x*1"
"?","umol m-2 s-1","function(x) x*1"
" mm","mm","function(x) x*1"
"m","mm","function(x) x*1000"
