"from","to"
"dataset_002","Duncan_1998"
"dataset_003","Laxton_2005"
"dataset_004","Wright_2000"
"dataset_006_A","Forster_1992"
"dataset_006_B","Hyland_2003"
"dataset_006_C","Kew_2012"
"dataset_006_D","BRAIN_2007"
"dataset_006_E","Cooper_2004"
"dataset_006_F","NHNSW_2016"
"dataset_006_G","WAH_2016"
"dataset_006_H","Forster_1995"
"dataset_006_I","Gross_1993"
"dataset_006_J","Grubb_1996"
"dataset_006_K","Kew_2010"
"dataset_007","Bragg_2002"
"dataset_008","Fonseca_2000"
"dataset_010","Leishman_1995"
"dataset_011_A","Henery_2001"
"dataset_011_B","Westoby_2003"
"dataset_011_C","Wright_2001"
"dataset_012","Niinemets_2009"
"dataset_013","Wright_2002"
"dataset_014","Burrows_2001"
"dataset_015","Goble_1981"
"dataset_016","Jordan_2007"
"dataset_018","Harrison_2009"
"dataset_020","Zanne_2007"
"dataset_021","Vesk_2004"
"dataset_023","Grubb_2008"
"dataset_024","Hughes_1992"
"dataset_025","Lord_1997"
"dataset_026","Leishman_1993"
"dataset_027","Jurado_1993"
"dataset_028","Westoby_2004"
"dataset_029","NTH_2014"
"dataset_030","Morgen_2005"
"dataset_031","Edwards_2000"
"dataset_032","Richards_2008"
"dataset_033","Hughes_2005"
"dataset_034_A","BFD_1974"
"dataset_034_B","Bolza_1975"
"dataset_034_C","Chudnoff_1984"
"dataset_034_D","CIRAD_2009"
"dataset_034_E","Desh_1996"
"dataset_034_F","Dimitri_1973"
"dataset_034_G","Flynn_2001"
"dataset_034_H","CAB_2009"
"dataset_034_I","Goldsmith_1981"
"dataset_034_J","Chave_2009"
"dataset_034_K","Hong_1999"
"dataset_034_L","Ilic_2000"
"dataset_034_M","Martawijaya_1992"
"dataset_034_N","Chinh_1999"
"dataset_034_O","Seng_1951"
"dataset_034_P","Prospect_2009"
"dataset_034_Q","Lemmens_1994"
"dataset_034_R","Wells_2009"
"dataset_034_S","Meier_2007"
"dataset_034_T","ICRAF_2009"
"dataset_036","Islam_1999_2"
"dataset_037","Islam_1999_1"
"dataset_038","Davidson_2011"
"dataset_039","Tng_2013"
"dataset_040","Lawes_2012"
"dataset_041","Tomlinson_2013"
"dataset_042","Lusk_2012"
"dataset_044","Soliveres_2012"
"dataset_045","Butler_2011"
"dataset_046","Knox_2011"
"dataset_047","Hassiotou_2009"
"dataset_048","Pekin_2011"
"dataset_049","Kooyman_2011"
"dataset_050","Schmidt_2003"
"dataset_053","RBGK_2014"
"dataset_054_A","AusGrass_2014"
"dataset_054_B","Clayton_2006"
"dataset_054_C","Osbourne_2014"
"dataset_054_D","RBGSYD_2014"
"dataset_055","Wheeler_2002"
"dataset_056","Brock_1993"
"dataset_057_A","Morgan_2011_1"
"dataset_057_B","Cross_2011"
"dataset_057_C","Scott_2010"
"dataset_057_D","Morgan_2011_2"
"dataset_057_E","Angevin_2010"
"dataset_057_F","Briggs_2010"
"dataset_057_G","Roberts_2006"
"dataset_057_H","Lunt_2012"
"dataset_057_I","Venn_2014"
"dataset_057_J","Morgan_2014"
"dataset_058","Chinnock_2007"
"dataset_060","Duretto_2009"
"dataset_061","Gleason_2012"
"dataset_062","Laliberte_2012"
"dataset_063","Prior_2003"
"dataset_064","Peeters_2002"
"dataset_065","Eamus_1999"
"dataset_066","Eamus_1998"
"dataset_069","Schortemeyer_2016"
"dataset_070","Lamont_2002"
"dataset_071","Richards_2003"
"dataset_072","Venn_2011"
"dataset_073","Blackman_2014"
"dataset_074","Rye_2015"
"dataset_075","Trudgen_2005"
"dataset_076","Bean_1997"
"dataset_077","Craven_1987"
"dataset_078","Toelken_1996"
"dataset_079","Chandler_2002"
"dataset_080","Keighery_2004"
"dataset_081","Rye_2002"
"dataset_082","Rye_2006"
"dataset_083","Rye_2009_2"
"dataset_084","Rye_2009"
"dataset_085","Rye_2013_2"
"dataset_086","Rye_2013_1"
"dataset_087","Trudgen_2014"
"dataset_088","Wilson_2008"
"dataset_089","Craven_2010"
"dataset_090","Crsip_1984"
"dataset_091","Thompson_2001"
"dataset_092","Unkown_2014"
"dataset_093","Barlow_1981"
"dataset_094","Chen_2015_1"
"dataset_095","Chen_2015_2"
"dataset_096","Wright_2008"
"dataset_101_A","Gallagher_2011_1"
"dataset_101_B","Manea_2011"
"dataset_101_C","Gallagher_2011_2"
"dataset_101_D","Gallagher_2011_3"
"dataset_105","Specht_1958"
"dataset_106","Denton_2007"
"dataset_107","Leishman_1992"
"dataset_108","Rice_1991"
"dataset_109","Westoby_2016"
"dataset_110","Schulze_2016"
"dataset_111","Cunningham_1999"
"dataset_112","WAH_1998"
"dataset_113","TERN_2011"
"dataset_114","RBGSYD_2014"
"dataset_115","Falster_2005_1"
"dataset_116","Wright_2004"
"dataset_117","Falster_2005_2"
"dataset_118","Wright_2006"
"dataset_119","CPRR_2002"
