taxon_name,dataset_id,taxonomic_reference,taxon_rank
Acacia grayana,RBGV_2023,NA,NA
Acaena anserovina,RBGV_2023,NA,NA
Acaena ovina,RBGV_2023,NA,NA
Anemone hybrida,RBGV_2023,NA,NA
Anemone x hybrida,RBGV_2023,NA,NA
Bryophyllum houghtonii,RBGV_2023,NA,NA
Caladenia variabilis,RBGV_2023,NA,NA
Centaurea moncktonii,RBGV_2023,NA,NA
Chiloglottis pescottiana,RBGV_2023,NA,NA
Correa 'Dusky Bells',RBGV_2023,NA,NA
Cotoneaster watereri,RBGV_2023,NA,NA
Crataegus sinaica,RBGV_2023,NA,NA
Diuris fastidiosa,RBGV_2023,NA,NA
Diuris palachila,RBGV_2023,NA,NA
Echium pininana x Echium wildpretii,RBGV_2023,NA,NA
Eucalyptus macmahonii,RBGV_2023,NA,NA
Gladiolus x colvillei,RBGV_2023,NA,NA
Grevillea 'Poorinda Queen',RBGV_2023,NA,NA
Leucanthemum superbum,RBGV_2023,NA,NA
Mentha piperita,RBGV_2023,NA,NA
Mentha rotundifolia,RBGV_2023,NA,NA
Nicotiana flindersiensis,RBGV_2023,NA,NA
Pelargonium asperum,RBGV_2023,NA,NA
Pelargonium domesticum,RBGV_2023,NA,NA
Pelargonium hortorum,RBGV_2023,NA,NA
Persoonia lucida,RBGV_2023,NA,NA
Phelodia tutelata,RBGV_2023,NA,NA
Plecostachys serpyllifolia,RBGV_2023,NA,NA
Populus canadensis,RBGV_2023,NA,NA
Populus canescens,RBGV_2023,NA,NA
Pterostylis aenigma,RBGV_2023,NA,NA
Pterostylis ingens,RBGV_2023,NA,NA
Pterostylis toveyana,RBGV_2023,NA,NA
Salix fragilis,RBGV_2023,NA,NA
Salix mollissima,RBGV_2023,NA,NA
Salix pendulina,RBGV_2023,NA,NA
Salix reichardtii,RBGV_2023,NA,NA
Salix sepulcralis,RBGV_2023,NA,NA
Salix x fragilis nothovar. fragilis,RBGV_2023,NA,NA
Salix x fragilis nothovar. furcata,RBGV_2023,NA,NA
Salix x sepulcralis nothovar. chrysocoma,RBGV_2023,NA,NA
Salix x sepulcralis nothovar. sepulcralis,RBGV_2023,NA,NA
Sporobolus townsendii,RBGV_2023,NA,NA
Sporobolus x townsendii,RBGV_2023,NA,NA
Symphytum uplandicum,RBGV_2023,NA,NA
Taraxacum sp. group 1,RBGV_2023,NA,NA
Taraxacum spathulatum,RBGV_2023,NA,NA
Ulmus hollandica,RBGV_2023,NA,NA
Verbena brasiliensis,RBGV_2023,NA,NA
X Phelodia tutelata,RBGV_2023,NA,NA
Astrotricha sp. 1,RBGV_2023,APC,Genus
Astrotricha sp. 1 subsp. 1,RBGV_2023,APC,Genus
Astrotricha sp. 4,RBGV_2023,APC,Genus
Astrotricha sp. 5,RBGV_2023,APC,Genus
Baeckea ericaea,RBGV_2023,APC,Genus
Caladenia sp. [Caladenia sp. aff. concolor (Violet Town); RBGV_2022],RBGV_2023,APC,Genus
Caladenia sp. [Caladenia sp. aff. fragrantissima (Central Victoria); RBGV_2022],RBGV_2023,APC,Genus
Caladenia sp. aff. fragrantissima (Inverleigh),RBGV_2023,APC,Genus
Caladenia sp. aff. iridescens (Chapple Vale),RBGV_2023,APC,Genus
Caladenia sp. aff. venusta (Kilsyth South),RBGV_2023,APC,Genus
Carex cephalotes,RBGV_2023,APC,Genus
Corybas sp. aff. diemenicus (Coastal),RBGV_2023,APC,Genus
Desmodium gunnii,RBGV_2023,APC,Genus
Dianella sp. [Dianella sp. aff. caerulea (West Gippsland); RBGV_2022],RBGV_2023,APC,Genus
Dianella sp. aff. tasmanica (Snowfields),RBGV_2023,APC,Genus
Dichondra micrantha,RBGV_2023,APC,Genus
Diuris sp. aff. dendrobioides (Bairnsdale),RBGV_2023,APC,Genus
Echium x [Echium pininana x Echium wildpretii; RBGV_2022],RBGV_2023,APC,Genus
Elymus repens,RBGV_2023,APC,Genus
Eucalyptus costata,RBGV_2023,APC,Genus
Festuca arundinacea,RBGV_2023,APC,Genus
Haworthia sp. [Haworthia attenuata var. attenuata; RBGV_2022],RBGV_2023,APNI,Genus
Isolepis hookeriana,RBGV_2023,APC,Genus
Microsorum pustulatum subsp. pustulatum,RBGV_2023,APC,Genus
Muehlenbeckia diclina subsp. 1,RBGV_2023,APC,Genus
Polygonatum sp. [Polygonatum multiflorum; RBGV_2022],RBGV_2023,APC,Genus
Prasophyllum sp. aff. occidentale C,RBGV_2023,APC,Genus
Pterostylis fischii,RBGV_2023,APC,Genus
Pterostylis sp. aff. aciculiformis (Beechworth),RBGV_2023,APC,Genus
Pultenaea forsythiana,RBGV_2023,APC,Genus
Pyracantha crenatoserrata,RBGV_2023,APC,Genus
Roepera sp. [Roepera sessilifolia; RBGV_2022],RBGV_2023,APC,Genus
Scabiosa atropurpurea,RBGV_2023,APC,Genus
Sclerochlamys brachyptera,RBGV_2023,APNI,Genus
