species_name,SLA (mm2/mg),SLA_from_TRY,seed mass (mg),leaf size (cm2),dispersal appendage/syndrome,growth habit,climbing type,Original taxon in paper
Aphanopetalum resinosum,14.47,NA,NA,NA,unassisted,woody,twiner,Aphanopetalum resinosum
Austrosteenisia blackii,27.66,NA,NA,NA,unassisted,woody,twiner,Austrosteenisia blackii
Billardiera scandens,13.639,NA,2.32,NA,berry,herbaceous,twiner,Billardiera scandens
Calamus muelleri,13.42,NA,NA,NA,fleshy,herbaceous,hooks,Calamus muelleri
Callerya australis,14.7,NA,NA,NA,unassisted,woody,twiner,Callerya australis
Callerya megasperma,21.3,NA,NA,NA,NA,woody,twiner,Millettia megasperma
Cayratia clematidea,49.19,NA,12.31,NA,berry,herbaceous,tendrils,Cayratia clematidea
Celastrus subspicata,18.67,NA,NA,NA,aril,woody,twiner,Celastrus subspicata
Embelia australiana,12.77,NA,NA,25.6,drupe,woody,twiner,Embelia australiana
Hoya australis,13.01,NA,NA,27.5,coma,herbaceous,roots,Hoya australis
Jasminum simplicifolium subsp. australiense,15.32,NA,NA,13.2,berry,woody,scrambler,Jasminum volubile
Nothocissus sterculiifolia,11.94,NA,NA,33.5,drupe,woody,tendrils,Cissus sterculiifolia
Tetrastigma nitens,22.29,NA,NA,22.3,berry,woody,tendrils,Tetrastigma nitens
Jasminum didymum subsp. lineare,NA,7.196411765,41.59,NA,berry,woody,scrambler,Jasminum lineare
Marsdenia australis,NA,5.8,15.21,NA,coma,herbaceous,twiner,Marsdenia australis
Cassytha pubescens,NA,NA,11.53,NA,berry,herbaceous,twiner,Cassytha pubescens
Convolvulus erubescens,NA,NA,2.72,NA,unassisted,herbaceous,twiner,Convolvulus erubescens
Glycine clandestina,NA,NA,4.2,NA,elaiosome,herbaceous,tendrils,Glycine clandestina
Parsonsia eucalyptophylla,NA,NA,12.54,NA,coma,woody,twiner,Parsonsia eucalyptophylla
Vincetoxicum barbatum,NA,NA,10.16,NA,coma,herbaceous,twiner,Tylophora barbata
Alchornea scandens,NA,NA,NA,NA,berry,woody,twiner,Trophis scandens
Alyxia grandis,NA,NA,NA,NA,berry,woody,twiner,Alyxia grandis
Alyxia spicata,NA,NA,NA,NA,berry,woody,twiner,Alyxia spicata
Austrobaileya scandens,NA,NA,NA,NA,fleshy,woody,twiner,Austrobaileya scandens
Austrosteenisia stipularis,NA,NA,NA,NA,unassisted,NA,twiner,Austrosteenisia stipularis
Caesalpinia robusta,NA,NA,NA,NA,unassisted,woody,hooks,Caesalpinia robusta
Calamus australis,NA,NA,NA,NA,fleshy,herbaceous,hooks,Calamus australis
Calamus caryotoides,NA,NA,NA,NA,fleshy,herbaceous,hooks,Calamus caryotoides
Calamus radicalis,NA,NA,NA,NA,fleshy,herbaceous,hooks,Calamus radicalis
Carronia protensa,NA,NA,NA,NA,fleshy,woody,twiner,Carronia protensa
Cayratia acris,NA,NA,NA,NA,drupe,woody,tendrils,Cayratia acris
Cayratia eurynema,NA,NA,NA,NA,berry,woody,tendrils,Cayratia eurynema
Cephalaralia cephalobotrys,NA,NA,NA,NA,berry,herbaceous,twiner,Cephalaralia cephalobotrys
Cissus antarctica,NA,NA,NA,NA,drupe,woody,tendrils,Cissus antarctica
Cissus repens,NA,NA,NA,NA,berry,woody,tendrils,Cissus repens
