Site,Season,Species,Plant,Time,A,E,gs,WP,WP_pre_dawn,WP_midday,Ves Count,Phenology,Diameter,Area,Dry weight,SLA,Height max (m),Ks (kg m-1 MPa-1 s-1),KL (kg m-1 MPa-1 s-1),Kh,WP min predawn (MPa),Huber value,Max vessel length (cm),Av. conduit diameter (um),dh mean hydraulic diameter (um),wood density (g/cm3),context
1,Dry,Alphitonia excelsa,4,15:00:00,0.514,0.476,0.018,-5.383333333,NA,-5.383333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 15:00:00
1,Dry,Alphitonia excelsa,4,17:00:00,0.64,0.372,0.018,-5.3,NA,-5.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 17:00:00
1,Wet,Alphitonia excelsa,1,9:00:00,5.932,2.564,0.21,-1.333333333,NA,-1.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
1,Wet,Alphitonia excelsa,1,11:00:00,7.474,4.902,0.294,-1.816666667,NA,-1.816666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
1,Wet,Alphitonia excelsa,1,13:00:00,6.436,5.402,0.2975,-1.55,NA,-1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
1,Wet,Alphitonia excelsa,1,15:00:00,5.462,3.696,0.1625,-1.583333333,NA,-1.583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
1,Wet,Alphitonia excelsa,1,17:00:00,4.414,1.958,0.128,-1.15,NA,-1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
1,Wet,Alphitonia excelsa,2,9:00:00,7.54,5.406,0.348,-1.2,NA,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
1,Wet,Alphitonia excelsa,2,11:00:00,6.576,4.244,0.234,-2.016666667,NA,-2.016666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
1,Wet,Alphitonia excelsa,2,13:00:00,4.61,2.758,0.24,-1.733333333,NA,-1.733333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
1,Wet,Alphitonia excelsa,2,15:00:00,8.043333333,3.708,0.383333333,-1.266666667,NA,-1.266666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
1,Wet,Alphitonia excelsa,2,17:00:00,5.892,2.694,0.176,-1.116666667,NA,-1.116666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
1,Wet,Alphitonia excelsa,3,9:00:00,4.6875,6.1775,0.425,-1.85,NA,-1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
1,Wet,Alphitonia excelsa,3,11:00:00,4.792,5.014,0.27,-2.033333333,NA,-2.033333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
1,Wet,Alphitonia excelsa,3,13:00:00,4.04,3.384,0.102,-1.766666667,NA,-1.766666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
1,Wet,Alphitonia excelsa,3,15:00:00,3.052,3.088,0.088,-2.233333333,NA,-2.233333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
1,Wet,Alphitonia excelsa,3,17:00:00,2.278,1.984,0.064,-1.65,NA,-1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
1,Wet,Alphitonia excelsa,4,9:00:00,10.466,3.856,0.42,-0.883333333,NA,-0.883333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
1,Wet,Alphitonia excelsa,4,11:00:00,6.09,9.9475,0.28,-1.15,NA,-1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
1,Wet,Alphitonia excelsa,4,13:00:00,6.792,6.078,0.455,-1.2,NA,-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
