Site,Season,Species,Plant,Time,A,E,gs,WP,WP_pre_dawn,WP_midday,Ves Count,Phenology,Diameter,Area,Dry weight,SLA,Height max (m),Ks (kg m-1 MPa-1 s-1),KL (kg m-1 MPa-1 s-1),Kh,WP min predawn (MPa),Huber value,Max vessel length (cm),Av. conduit diameter (um),dh mean hydraulic diameter (um),wood density (g/cm3),context
1,Wet/Dry,Alphitonia excelsa,4,17:00:00,6.476,4.798,0.208,-1.216666667,NA,-1.216666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
1,Wet/Dry,Brachychiton australis,1,9:00:00,5.692,1.542,0.07,-1.016666667,NA,-1.016666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
1,Wet/Dry,Brachychiton australis,1,11:00:00,5.024,1.264,0.038,-1.133333333,NA,-1.133333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
1,Wet/Dry,Brachychiton australis,1,13:00:00,2.6525,0.945,0.0225,-1.433333333,NA,-1.433333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
1,Wet/Dry,Brachychiton australis,1,15:00:00,4.2325,1.155,0.0525,-1.15,NA,-1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
1,Wet/Dry,Brachychiton australis,1,17:00:00,3.2275,0.475,0.0325,-1.133333333,NA,-1.133333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
1,Wet/Dry,Brachychiton australis,3,9:00:00,6.18,2.128,0.084,-1.35,NA,-1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
1,Wet/Dry,Brachychiton australis,3,11:00:00,5.682,2.092,0.066,-1.64,NA,-1.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
1,Wet/Dry,Brachychiton australis,3,13:00:00,5.078,1.986,0.072,-1.7,NA,-1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
1,Wet/Dry,Brachychiton australis,3,15:00:00,5.02,1.388,0.056,-1.523333333,NA,-1.523333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
1,Wet/Dry,Brachychiton australis,3,17:00:00,4.474,0.676,0.056,-1.15,NA,-1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
1,Wet/Dry,Brachychiton australis,4,9:00:00,4.795,1.782,0.088,-1.533333333,NA,-1.533333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
1,Wet/Dry,Brachychiton australis,4,11:00:00,4.308,2.334,0.06,-1.9,NA,-1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
1,Wet/Dry,Brachychiton australis,4,13:00:00,4.33,1.942,0.052,-1.783333333,NA,-1.783333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
1,Wet/Dry,Brachychiton australis,4,15:00:00,2.67,1.554,0.04,-1.883333333,NA,-1.883333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
1,Wet/Dry,Brachychiton australis,4,17:00:00,3.986,1.104,0.05,-1.75,NA,-1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
1,Wet/Dry,Cochlospermum gillivraei,1,9:00:00,8.388,3.458,0.342,-1.183333333,NA,-1.183333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
1,Wet/Dry,Cochlospermum gillivraei,1,11:00:00,8.042,4.396,0.352,-1.516666667,NA,-1.516666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
1,Wet/Dry,Cochlospermum gillivraei,1,13:00:00,7.2675,3.0575,0.175,-1.273333333,NA,-1.273333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
1,Wet/Dry,Cochlospermum gillivraei,1,15:00:00,7.17,2.3775,0.1225,-1.258333333,NA,-1.258333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
1,Wet/Dry,Cochlospermum gillivraei,1,17:00:00,0.6875,0.875,0.1125,-0.916666667,NA,-0.916666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
1,Wet/Dry,Cochlospermum gillivraei,2,9:00:00,5.614,4.228,0.21,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
1,Wet/Dry,Cochlospermum gillivraei,2,11:00:00,4.484,4.004,0.17,-1.291666667,NA,-1.291666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
1,Wet/Dry,Cochlospermum gillivraei,2,13:00:00,5.06,2.5775,0.125,-1.3,NA,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
1,Wet/Dry,Cochlospermum gillivraei,2,15:00:00,3.965,1.3475,0.075,-1.166666667,NA,-1.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
1,Wet/Dry,Cochlospermum gillivraei,2,17:00:00,0.815,0.525,0.08,-0.783333333,NA,-0.783333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
1,Wet/Dry,Cochlospermum gillivraei,3,9:00:00,3.522,1.672,0.046,-0.883333333,NA,-0.883333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
1,Wet/Dry,Cochlospermum gillivraei,3,11:00:00,3.654,1.762,0.048,-1.05,NA,-1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
1,Wet/Dry,Cochlospermum gillivraei,3,13:00:00,1.834,1.342,0.03,-0.8,NA,-0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
1,Wet/Dry,Cochlospermum gillivraei,3,15:00:00,2.88,1.524,0.034,-1.033333333,NA,-1.033333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
1,Wet/Dry,Cochlospermum gillivraei,3,17:00:00,2.672,0.708,0.03,-0.933333333,NA,-0.933333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
1,Wet/Dry,Cochlospermum gillivraei,4,9:00:00,7.04,2.288,0.192,-1.183333333,NA,-1.183333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
1,Wet/Dry,Cochlospermum gillivraei,4,11:00:00,6.478,4.334,0.182,-1.433333333,NA,-1.433333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
1,Wet/Dry,Cochlospermum gillivraei,4,13:00:00,5.176,2.402,0.102,-1.3,NA,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
1,Wet/Dry,Cochlospermum gillivraei,4,15:00:00,4.414,2.612,0.09,-1.333333333,NA,-1.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
1,Wet/Dry,Cochlospermum gillivraei,4,17:00:00,4.304,1.058,0.06,-1.166666667,NA,-1.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
2,Dry,Gossia bidwillii,1,9:00:00,1.108,0.236,0.03,-0.933333333,NA,-0.933333333,200,Evergreen,33.45936658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 09:00:00
2,Dry,Gossia bidwillii,1,11:00:00,2.454,0.964,0.056,-1.833333333,NA,-1.833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 11:00:00
2,Dry,Gossia bidwillii,1,13:00:00,2.262,0.628,0.036,-2.316666667,NA,-2.316666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 13:00:00
2,Dry,Gossia bidwillii,1,15:00:00,0.874,0.21,0.018,-2.166666667,NA,-2.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 15:00:00
2,Dry,Gossia bidwillii,1,17:00:00,0.84,0.074,0.002,-1.183333333,NA,-1.183333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 17:00:00
2,Dry,Gossia bidwillii,3,9:00:00,0.684,0.114,0.012,-0.8,NA,-0.8,236.6666667,NA,33.44205492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 09:00:00
2,Dry,Gossia bidwillii,3,11:00:00,0.63,0.178,0.01,-1.116666667,NA,-1.116666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 11:00:00
2,Dry,Gossia bidwillii,3,13:00:00,0.848,0.228,0.016,-2.133333333,NA,-2.133333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 13:00:00
2,Dry,Gossia bidwillii,3,15:00:00,0.848,0.162,0.006,-2.116666667,NA,-2.116666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 15:00:00
2,Dry,Gossia bidwillii,3,17:00:00,0.518,0.074,0,-1.8,NA,-1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 17:00:00
2,Dry,Gossia bidwillii,4,9:00:00,0.94,0.152,0.026,-1.333333333,NA,-1.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 09:00:00
2,Dry,Gossia bidwillii,4,11:00:00,0.664,0.368,0.028,-1.366666667,NA,-1.366666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 11:00:00
2,Dry,Gossia bidwillii,4,13:00:00,2.602,0.516,0.03,-2.066666667,NA,-2.066666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 13:00:00
2,Dry,Gossia bidwillii,4,15:00:00,0.93,0.476,0.028,-2.583333333,NA,-2.583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 15:00:00
2,Dry,Gossia bidwillii,4,17:00:00,0.952,0.246,0.018,-1.833333333,NA,-1.833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 17:00:00
2,Wet,Gossia bidwillii,1,9:00:00,1.252,0.196,0.028,-0.9,NA,-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
2,Wet,Gossia bidwillii,1,11:00:00,4.742,2.056,0.098,-1.466666667,NA,-1.466666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
2,Wet,Gossia bidwillii,1,13:00:00,1.736,1.45,0.034,-1.633333333,NA,-1.633333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
2,Wet,Gossia bidwillii,1,15:00:00,0.988,0.236,0.016,-0.866666667,NA,-0.866666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
2,Wet,Gossia bidwillii,1,17:00:00,0.91,0.052,0.002,-0.866666667,NA,-0.866666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
2,Wet,Gossia bidwillii,3,9:00:00,0.98,0.444,0.058,-0.65,NA,-0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
2,Wet,Gossia bidwillii,3,11:00:00,1.504,1.238,0.118,-1.166666667,NA,-1.166666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
2,Wet,Gossia bidwillii,3,13:00:00,0.552,1.286,0.11,-1.55,NA,-1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
2,Wet,Gossia bidwillii,3,15:00:00,6.302,1.648,0.158,-1.233333333,NA,-1.233333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
2,Wet,Gossia bidwillii,3,17:00:00,0.98,0.638,0.062,-1.333333333,NA,-1.333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
2,Wet,Gossia bidwillii,4,9:00:00,0.984,0.376,0.044,-0.75,NA,-0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 09:00:00
2,Wet,Gossia bidwillii,4,11:00:00,1.344,0.948,0.102,-0.9,NA,-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 11:00:00
2,Wet,Gossia bidwillii,4,13:00:00,5.148,2.082,0.2,-1.45,NA,-1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 13:00:00
2,Wet,Gossia bidwillii,4,15:00:00,6.138,2.218,0.126,-1.15,NA,-1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 15:00:00
2,Wet,Gossia bidwillii,4,17:00:00,1.336,0.58,0.05,-1,NA,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 17:00:00
2,Wet/Dry,Gossia bidwillii,1,9:00:00,0.51,0.534,0.036,-0.9,NA,-0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
2,Wet/Dry,Gossia bidwillii,1,11:00:00,2.14,0.69,0.032,-1.083333333,NA,-1.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
2,Wet/Dry,Gossia bidwillii,1,13:00:00,1.696,0.97,0.086,-1.583333333,NA,-1.583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
2,Wet/Dry,Gossia bidwillii,1,15:00:00,1.7275,0.42,0.04,-0.966666667,NA,-0.966666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
2,Wet/Dry,Gossia bidwillii,1,17:00:00,0.462,0.154,0.004,-0.483333333,NA,-0.483333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
2,Wet/Dry,Gossia bidwillii,3,9:00:00,1.018,0.536,0.03,-0.866666667,NA,-0.866666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
2,Wet/Dry,Gossia bidwillii,3,11:00:00,1.146,0.314,0.018,-1.016666667,NA,-1.016666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
2,Wet/Dry,Gossia bidwillii,3,13:00:00,4.606,1.498,0.052,-1.95,NA,-1.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
2,Wet/Dry,Gossia bidwillii,3,15:00:00,0.558,0.644,0.058,-1.783333333,NA,-1.783333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
2,Wet/Dry,Gossia bidwillii,3,17:00:00,0.428,0.36,0.032,-1.1,NA,-1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
2,Wet/Dry,Gossia bidwillii,4,9:00:00,0.46,0.614,0.036,-0.666666667,NA,-0.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 09:00:00
2,Wet/Dry,Gossia bidwillii,4,11:00:00,0.93,0.36,0.028,-1.283333333,NA,-1.283333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 11:00:00
2,Wet/Dry,Gossia bidwillii,4,13:00:00,0.836,0.568,0.052,-1.566666667,NA,-1.566666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 13:00:00
2,Wet/Dry,Gossia bidwillii,4,15:00:00,1.488,0.744,0.052,-1.816666667,NA,-1.816666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 15:00:00
2,Wet/Dry,Gossia bidwillii,4,17:00:00,0.522,0.336,0.038,-0.95,NA,-0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 17:00:00
1,Dry,Alphitonia excelsa,1,5:00:00,NA,NA,NA,-0.633333333,-0.633333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 05:00:00
1,Dry,Alphitonia excelsa,2,5:00:00,NA,NA,NA,-0.766666667,-0.766666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 05:00:00
1,Dry,Alphitonia excelsa,3,5:00:00,NA,NA,NA,-0.583333333,-0.583333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 05:00:00
1,Dry,Alphitonia excelsa,4,5:00:00,NA,NA,NA,-1.666666667,-1.666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Dry season at 05:00:00
1,Late Dry,Alphitonia excelsa,1,5:00:00,NA,NA,NA,-3.733333333,-3.733333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Late Dry season at 05:00:00
1,Late Dry,Alphitonia excelsa,1,10:00:00,NA,NA,NA,-4.266666667,NA,-4.266666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Late Dry season at 10:00:00
1,Late Dry,Alphitonia excelsa,1,15:00:00,NA,NA,NA,-4.2,NA,-4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Late Dry season at 15:00:00
1,Late Dry,Alphitonia excelsa,1,18:00:00,NA,NA,NA,-3.8,NA,-3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Late Dry season at 18:00:00
1,Late Dry,Alphitonia excelsa,2,5:00:00,NA,NA,NA,-4.2,-4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Late Dry season at 05:00:00
1,Late Dry,Alphitonia excelsa,2,10:00:00,NA,NA,NA,-4.816666667,NA,-4.816666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Late Dry season at 10:00:00
1,Late Dry,Alphitonia excelsa,2,15:00:00,NA,NA,NA,-4.683333333,NA,-4.683333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Late Dry season at 15:00:00
1,Late Dry,Alphitonia excelsa,2,18:00:00,NA,NA,NA,-4.5,NA,-4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Late Dry season at 18:00:00
1,Late Dry,Alphitonia excelsa,3,5:00:00,NA,NA,NA,-4.6,-4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Late Dry season at 05:00:00
1,Late Dry,Alphitonia excelsa,3,10:00:00,NA,NA,NA,-4.633333333,NA,-4.633333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Late Dry season at 10:00:00
1,Late Dry,Alphitonia excelsa,3,15:00:00,NA,NA,NA,-4.7,NA,-4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Late Dry season at 15:00:00
1,Late Dry,Alphitonia excelsa,3,18:00:00,NA,NA,NA,-4.633333333,NA,-4.633333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Late Dry season at 18:00:00
1,Wet,Alphitonia excelsa,1,5:00:00,NA,NA,NA,-0.25,-0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 05:00:00
1,Wet,Alphitonia excelsa,2,5:00:00,NA,NA,NA,-0.266666667,-0.266666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 05:00:00
1,Wet,Alphitonia excelsa,3,5:00:00,NA,NA,NA,-0.316666667,-0.316666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 05:00:00
1,Wet,Alphitonia excelsa,4,5:00:00,NA,NA,NA,-0.383333333,-0.383333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 05:00:00
1,Wet,Brachychiton australis,1,5:00:00,NA,NA,NA,-0.316666667,-0.316666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 05:00:00
1,Wet,Brachychiton australis,2,5:00:00,NA,NA,NA,-0.416666667,-0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 05:00:00
1,Wet,Brachychiton australis,3,5:00:00,NA,NA,NA,-0.45,-0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 05:00:00
1,Wet,Brachychiton australis,4,5:00:00,NA,NA,NA,-0.308333333,-0.308333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 05:00:00
1,Wet,Cochlospermum gillivraei,1,5:00:00,NA,NA,NA,-0.533333333,-0.533333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 05:00:00
1,Wet,Cochlospermum gillivraei,2,5:00:00,NA,NA,NA,-0.416666667,-0.416666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 05:00:00
1,Wet,Cochlospermum gillivraei,3,5:00:00,NA,NA,NA,-0.375,-0.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 05:00:00
1,Wet,Cochlospermum gillivraei,4,5:00:00,NA,NA,NA,-0.433333333,-0.433333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet season at 05:00:00
1,Wet/Dry,Alphitonia excelsa,1,5:00:00,NA,NA,NA,-1.016666667,-1.016666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 05:00:00
1,Wet/Dry,Alphitonia excelsa,2,5:00:00,NA,NA,NA,-1.116666667,-1.116666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 05:00:00
1,Wet/Dry,Alphitonia excelsa,3,5:00:00,NA,NA,NA,-1.083333333,-1.083333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 05:00:00
1,Wet/Dry,Alphitonia excelsa,4,5:00:00,NA,NA,NA,-1.05,-1.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,measurements made in the Wet/Dry season at 05:00:00
