Source Tab,Family,SPECIES_NAME,Pollinators_Bee_Records,Pollinators_Bee_Species,Pollinators_Bird,Pollinators_Bird&Insect,Pollinators_Bird_Records,buzz_pollination_by_bees_BPB,Pollinators_Butterfly,Polllination_Consistency,GDM_&_Bird,pollinators_insects_generic_GIP,Insect_group,Insect_Records,Insect_Type,Insects,non_flying_mammals&birds,non_flying_mammals_rec,Other_Insect_Records,post_pollination_colour_change_PPCC,relatively_specialised_insect_pollination_RSIP,selfing_SP,specialised_insect_pollination_SIP,Specific_pollintor,Pollination_Water,Pollination_Wind,Pollination_summary,Pollen_refs_&_notes,Breeding,Dioecy,Flower_Colour,Bud_width,Corolla_length,Corolla_length_male,Corolla_length_min,Corolla_length_max,Flower_Size,Floral_tube_length,Flower_length,Flower_display,Sepal_female,Bract_length,Inflorescence,Inflorescence_size,filament,Filament_length,Stamen,Anther_Length,Fruit_morphology,Pistil_Length,Pollen_presenter,Flower_shape,Stamen_Length,Stigma,Style_hairy,Style_Length,Anther_type,Flower,Flower_studied_in_herbarium,canopy_seed_bank_CSB,Fire_flowering,Fire_impact,FPBuds,fire_promoted_flowering_FPF,fire_promoted_germination_FPG,MFT,resprouts_epicormic_buds_REB,_repsrouts_epicormic_??_REC,Resprouts,resprouts_from_lignotubers_roots_or_rhizomes_RLR,short-lived_after_fire_SAF,seed_germination_promoted_by_fire_SGP,secondary_pollen_presentation_SPP,soil_seed_bank_SSB,Fire_response_Variable,Fire_Notes,Mycorrhizae,Rare_Flora,southwest_SW,Ecology,Ecology_ref,Habitat_and_life_history,Explosive,Dispersal_Wind_seeds,Dispersal_Wing,Notes,Photos,Rare_status,References,datasetName,GENUS,GENUS2,Group,Inf_group,INFRA_NAME,INFRA_RANK,Name,Name_Authorship,NAME_ID,new_genus,SPECIES,Subgenus,Subsp,taxa,Taxonomy,Taxonomy2
Petaloid Monocots,Alismataceae,Damasonium minus,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,Aquatic,,,,,,,,,,,Damasonium,,,,,,,,,,,,,,species,
Petaloid Monocots,Aponogetonaceae,Aponogeton hexatepalus,,,,,,,,,,,,,small files,,,,,,,,1,,,,GIP,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,small open,,,,,,,,,,,,,,,,,,,,,,Aquatic,,,,,,,,,,,Aponogeton,,,,,,,,,,,,,,species,
Petaloid Monocots,Araceae,Landoltia punctata,,,,,,,,,,,,,,,,,,,,,,,1,,Aqua,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,extremely small,,,,,,,,,,,,,,,,,,,,,,Aquatic,,,,,,Duckweed,,,,,Landoltia,,,,,,,,,,,,,,species,
Petaloid Monocots,Araceae,Lemna disperma,,,,,,,,,,,,,,,,,,,,,,,1,,Aqua,,,,green,,,,,,,,,,,,,,,,,,,,,,,,,,,extremely small,,,,,,,,,,,,,,,,,,,,,,Aquatic,,,,,,Duckweed,,,,,Lemna,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Acanthocarpus canaliculatus,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthocarpus,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Acanthocarpus humilis,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthocarpus,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Acanthocarpus parviflorus,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthocarpus,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Acanthocarpus preissii,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthocarpus,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Acanthocarpus robustus,,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthocarpus,,,,,,,,,,,,,,species,
Petaloid Monocots,Asparagaceae,Acanthocarpus sp. Ajana (C.A. Gardner 8596),,,,,,,,,,,,,,1,,,,,,,,,,,GIP,,,,white,,,,,,,,,,,,,,,,,,,,,,,,,,,open,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acanthocarpus,,,,,,,,,,,,,,species,
