trait_name,lookup,value
dispersal_syndrome,1,endozoochory
dispersal_syndrome,2,anemochory
dispersal_syndrome,3,unassisted
dispersal_syndrome,4,exo-zoochory
dispersal_syndrome,5,hydrochory
dispersal_syndrome,6,myrmemochory
dispersal_syndrome,7,ballistochory
woodiness,1,woody
woodiness,2,herbaceous
woodiness,3,semi-woody
leaf_compoundness,1,simple
leaf_compoundness,2,compound
leaf_compoundness,3,one foliate
