species,establishment_means,resprouting_capacity,Gill_and_Bradstock_code,seedbank_location,bud_bank_location
Acetosella vulgaris,naturalised,resprouts,4,,bud-bearing_root
Aira caryophyllea,naturalised,fire_killed,2,soil_seedbank,none
Aira cupaniana,naturalised,fire_killed,2,soil_seedbank,none
Aira elegantissima,naturalised,fire_killed,2,soil_seedbank,none
Aira sp.,naturalised,fire_killed,2,soil_seedbank,none
Anagallis arvensis,naturalised,fire_killed,2,soil_seedbank,none
Anthoxanthum odoratum,naturalised,resprouts,4,,bud-bearing_root
Arctotheca calendula,naturalised,fire_killed,2,soil_seedbank,none
Briza maxima,naturalised,fire_killed,2,soil_seedbank,none
Briza minor,naturalised,fire_killed,2,soil_seedbank,none
Bromus brevis,naturalised,fire_killed,2,soil_seedbank,none
Bromus diandrus,naturalised,fire_killed,2,soil_seedbank,none
Bromus mollis,naturalised,fire_killed,2,soil_seedbank,none
Carduus nutans,naturalised,fire_killed,2,soil_seedbank,none
Carduus pycnocephalus,naturalised,fire_killed,2,soil_seedbank,none
Centaurium erythraea,naturalised,fire_killed,2,soil_seedbank,none
Cerastium glomeratum,naturalised,fire_killed,2,soil_seedbank,none
Cirsium vulgare,naturalised,fire_killed,2,soil_seedbank,none
Conium maculatum,naturalised,resprouts,4,,bud-bearing_root
Conyza bonariensis,naturalised,fire_killed,2,soil_seedbank,none
Crepis capillaris,naturalised,fire_killed,2,soil_seedbank,none
Crepis foetida,naturalised,fire_killed,2,soil_seedbank,none
Echium plantagineum,naturalised,fire_killed,2,soil_seedbank,none
Echium vulgare,naturalised,fire_killed,2,soil_seedbank,none
Erodium moschatum,naturalised,fire_killed,2,soil_seedbank,none
Euphorbia peplus,naturalised,fire_killed,2,soil_seedbank,none
Galium aparine,naturalised,fire_killed,2,soil_seedbank,none
Geranium molle,naturalised,fire_killed,2,soil_seedbank,none
Holcus lanatus,naturalised,fire_killed,2,soil_seedbank,none
Hordeum leporinum,naturalised,fire_killed,2,soil_seedbank,none
Hypochoeris glabra,naturalised,fire_killed,2,soil_seedbank,none
Hypochoeris radicata,naturalised,resprouts,4,,bud-bearing_root
Lactuca serriola,naturalised,fire_killed,2,soil_seedbank,none
Leucanthemum vulgare,naturalised,fire_killed resprouts,2; 4,soil_seedbank,none bud-bearing_root
Linaria pelisseriana,naturalised,fire_killed,2,soil_seedbank,none
Medicago sp.,naturalised,fire_killed,2,soil_seedbank,none
Mentha pulegium,naturalised,resprouts,4,,bud-bearing_root
