species,LMA (g  m?2),Dry matter content (%),Leaf lifespan (months),Leaf P per area (mg P m?2),Dry seed mass (mg),Seed P concentration (mg g?1)
Banksia attenuata,318,60,20,85.5,88.8,10.4
Banksia burdettii,324,61,32,54,33.9,10.2
Banksia chamaephyton,519,65,,54,116.4,6.6
Banksia hookeriana,268,54,24,51,33.7,11.3
Banksia lanata,349,58,24,66.3,36.6,12.2
Banksia laricina,228,53,27,34,20.6,11.8
Banksia menziesii,358,60,30,88,77.5,12.1
Banksia prionotes,286,64,26,71.9,23.5,11.8
Banksia scabrella,302,57,33,99,29.6,11.5
