var_name,character,unit
LMA (g  m?2),specific_leaf_area,g/m2
Dry matter content (%),leaf_dry_matter_content,%
Leaf lifespan (months),leaf_lifespan,month
Leaf P per area (mg P m?2),leaf_P_per_area,mg/m2
Dry seed mass (mg),seed_mass,mg
Seed P concentration (mg g?1),seed_P_concentration,mg/g
