ID,Ref,AusTraits_key,Long,Lat,leaf_area_m2,dry_mass_g,LMA_g/m2,N_per_area_g/m2,N_per_dry_mass_g/g,thickness_m,water_per_leaf_area_g/m2,liquid_content_%,taxonomy,Species,Country,Common name,Comments,site_name,soil type,lat/lon source,veg_stratum,MAP (mm),elevation (m),description,doi,site_name_complete
1,1,Mooney_1978,150.2,-35.7,0.00274,0.332,121,1.4,0.0115,NA,NA,NA,D,Eucalyptus maculata,Australia,NA,Batemans Bay,Batemans Bay,NA,author,NA,900,NA,tall forest,10.1007/BF00344575,Mooney_1978 Batemans Bay
2,1,Mooney_1978,150.2,-35.7,0.00285,0.366,128,1.5,0.0116,NA,NA,NA,D,Eucalyptus pilularis,Australia,NA,Batemans Bay,Batemans Bay,NA,author,NA,900,NA,tall forest,10.1007/BF00344575,Mooney_1978 Batemans Bay
3,1,Mooney_1978,149.2,-35.3,0.00192,0.344,180,3,0.0168,NA,NA,NA,D,Eucalyptus blakelyi,Australia,NA,Canberra,Canberra,NA,author,NA,590,NA,woodland,10.1007/BF00344575,Mooney_1978 Canberra
4,1,Mooney_1978,149.2,-35.3,9.20E-04,0.164,178,3,0.017,NA,NA,NA,D,Eucalyptus melliodora,Australia,NA,Canberra,Canberra,NA,author,NA,590,NA,woodland,10.1007/BF00344575,Mooney_1978 Canberra
5,1,Mooney_1978,146.1,-35.2,7.50E-04,0.23,307,4,0.0129,NA,NA,NA,D,Eucalyptus gracilis,Australia,NA,Rankin Spring (near Griffith),Rankin Spring,NA,author,NA,400,NA,mallee,10.1007/BF00344575,Mooney_1978 Rankin Spring
6,1,Mooney_1978,146.1,-35.2,0.00123,0.358,291,3.7,0.0127,NA,NA,NA,D,Eucalyptus socialis,Australia,NA,Rankin Spring (near Griffith),Rankin Spring,NA,author,NA,400,NA,mallee,10.1007/BF00344575,Mooney_1978 Rankin Spring
7,2,Landsberg_1995,143,-33.7,7.00E-04,NA,341,3.9,0.0116,NA,274,44.5,D,Eucalyptus spp. (various),Australia,NA,"Lake Mungo, Rich""",Lake Mungo,rich,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Lake Mungo
8,2,Landsberg_1995,142,-35.5,0.00128,NA,249,2,0.0082,NA,214,47.8,D,Eucalyptus spp. (various),Australia,NA,"Wyperfeld, Rich""",Wyperfield,rich,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Wyperfield
9,2,Landsberg_1995,147.5,-34.4,0.00298,NA,281,3.1,0.0109,NA,225,44.9,D,Eucalyptus spp. (various),Australia,NA,"Ingalba, Rich""",Ingalba,rich,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Ingalba
10,2,Landsberg_1995,149.1,-34.8,0.00228,NA,188,2,0.0104,NA,153,44.9,D,Eucalyptus spp. (various),Australia,NA,"Mundoonen, Rich""",Mundoonen,rich,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Mundoonen
11,2,Landsberg_1995,144.2,-37.9,0.0023,NA,172,2.1,0.0121,NA,165,48.7,D,Eucalyptus spp. (various),Australia,NA,"Brisbane Ranges, Rich""",Brisbane Ranges,rich,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Brisbane Ranges
12,2,Landsberg_1995,146.8,-36.5,0.00167,NA,108,1.4,0.0131,NA,133,55,D,Eucalyptus spp. (various),Australia,NA,"Stanley Plateau, Rich""",Stanley Plateau,rich,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Stanley Plateau
13,2,Landsberg_1995,146.8,-36.7,8.60E-04,NA,130,1.8,0.0138,NA,90,40.4,D,Eucalyptus spp. (various),Australia,NA,"Mt Buffalo, Rich""",Mt Buffalo,rich,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Mt Buffalo
14,2,Landsberg_1995,143,-33.7,8.80E-04,NA,370,3.7,0.0102,NA,228,38.3,D,Eucalyptus spp. (various),Australia,NA,"Lake Mungo, Poor""",Lake Mungo,poor,author,NA,NA,NA,NA,10.1111/j.1442-9993.1995.tb00542.x,Landsberg_1995 Lake Mungo
