site_ID,latitude,longitude,name_original,raw_trait_value,trait,units,primary_source_id,metadata_id
Australian National Botanic Gardens,-35.26666667,149.1,Acacia acinacea,1.567,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia alata,1.347,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia ampliceps,1.286,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia argyrophylla,1.613,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia aspera,1.877,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia beckleri,1.762,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia brachybotrya,1.706,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia caesiella,1.898,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia calamifolia,1.631,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia cupularis,1.204,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia dealbata,1.78,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia decurrens,1.721,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia difformis,2.126,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia elata,1.745,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia elongata,1.995,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia extensa,1.58,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia floribunda,1.957,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia genistifolia,1.928,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia hemiteles,1.539,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia howittii,1.687,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia imbricata,1.49,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia implexa,1.762,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia irrorata,1.612,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia iteaphylla,1.342,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia ixiophylla,1.706,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia jibberdingensis,1.272,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia kempeana,1.721,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia lasiocalyx,1.357,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia leiophylla,1.817,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia leptoneura,1.421,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia longissima,1.653,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia melanoxylon,1.55,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia merrallii,1.428,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia microcarpa,1.463,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia mucronata,1.992,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia pulchella,2.035,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia pycnantha,1.658,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia pyrifolia,1.254,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia retinodes,1.733,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia rubida,1.894,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia rupicola,1.301,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia salicina,1.275,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia schinoides,1.632,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia stricta,1.503,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia subulata,1.499,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia tetragonophylla,1.305,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia verticillata,1.816,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia viscidula,1.619,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia longifolia,2.128,genome size,picograms,4,4
Australian National Botanic Gardens,-35.26666667,149.1,Acacia mearnsii,1.557,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia acuminata,1.854,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia auriculiformis,1.372,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia brachystachya,3.021,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia cardiophylla,1.801,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia cognata,1.769,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia deanei,1.871,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia decora,1.642,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia flexifolia,1.879,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia hakeoides,2.081,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia jonesii,1.806,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia lanigera,1.963,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia lineata,1.558,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia macradenia,1.501,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia montana,1.755,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia myrtifolia,1.499,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia neriifolia,1.958,genome size,picograms,4,4
Mount Annan Botanic Gardens,-34.06666667,150.7833333,Acacia paradoxa,1.78,genome size,picograms,4,4
