"","location_name","latitude (deg)","longitude (deg)"
"1","lat_-35.58_lon_150.03",-35.58333333,150.0333333
"2","lat_-32.7_lon_149.03",-32.7,149.0333333
"3","lat_-32.65_lon_116.02",-32.65,116.0166667
"4","lat_-42.68_lon_146.58",-42.68333333,146.5833333
"5","lat_-30.04_lon_116.22",-30.04111111,116.2166667
"6","lat_-31.75_lon_115.95",-31.75,115.95
"7","lat_-30.04_lon_116.21",-30.03833333,116.2116667
"8","lat_-12.49_lon_131.15",-12.48527778,131.15
"9","lat_-19.18_lon_145.75",-19.18333333,145.75
"10","lat_-17.38_lon_145.54",-17.375,145.5361111
"11","lat_-32.15_lon_116.15",-32.15,116.15
"12","lat_-12.05_lon_130.75",-12.05,130.75
"13","lat_-14.07_lon_132.65",-14.06666667,132.65
"14","lat_-17.12_lon_133.77",-17.11666667,133.7666667
"15","lat_-33.98_lon_140.87",-33.98333333,140.8666667
"16","lat_-37.69_lon_143.79",-37.68777778,143.7877778
"17","lat_-37.61_lon_143.64",-37.6125,143.64
"18","lat_-37.61_lon_144.03",-37.61111111,144.0305556
"19","lat_-37.58_lon_149.02",-37.58333333,149.0166667
"20","lat_-27.08_lon_152.6",-27.08333333,152.6
"21","lat_-26_lon_152.08",-26,152.083333
"22","lat_-33.07_lon_151.02",-33.06666667,151.0166667
"23","lat_-34.02_lon_151.02",-34.01666667,151.0166667
"24","lat_-43.3_lon_147.02",-43.3,147.0166667
"25","lat_-41.02_lon_147.28",-41.01666667,147.2833333
"26","lat_-43.35_lon_146.9",-43.35,146.9
"27","lat_-41.2_lon_147.27",-41.2,147.2666667
"28","lat_-42.82_lon_147.6",-42.81666667,147.6
"29","lat_-41.08_lon_148.1",-41.08333333,148.1
"30","lat_-35.7_lon_148.05",-35.7,148.05
"31","lat_-36.42_lon_145",-36.41666667,145
"32","lat_-21.9_lon_133.85",-21.9,133.85
"33","lat_-22.03_lon_133.32",-22.03333333,133.3166667
"34","lat_-41.3_lon_146.12",-41.3,146.1166667
"35","lat_-12.42_lon_130.88",-12.41666667,130.8833333
"36","lat_-37.48_lon_149.58",-37.48333333,149.5833333
"37","lat_-33.66_lon_150.78",-33.66166667,150.7827778
"38","lat_-33.19_lon_151.32",-33.19083333,151.3163889
"39","lat_-34.1_lon_151.06",-34.09805556,151.0594444
"40","lat_-32.81_lon_146.93",-32.8125,146.9336111
"41","lat_-37.78_lon_145.43",-37.78333333,145.4333333
"42","lat_-37.57_lon_145.63",-37.56666667,145.6333333
"43","lat_-32.97_lon_146.15",-32.96666667,146.15
"44","lat_-33.69_lon_151.14",-33.69388889,151.1430556
"45","lat_-36.6_lon_145.93",-36.6,145.9333333
"46","lat_-31.08_lon_150.12",-31.08333333,150.1166667
"47","lat_-17.12_lon_145.63",-17.119444,145.632222
"48","lat_-42.82_lon_147.5",-42.816667,147.5
"49","lat_-38.38_lon_146.68",-38.383333,146.683333
"50","lat_-34.6_lon_118.09",-34.598611,118.089167
"51","lat_-33.38_lon_151.15",-33.383333,151.15
"52","lat_-33.38_lon_151.32",-33.383333,151.316667
"53","lat_-33.58_lon_151.29",-33.578889,151.292222
"54","lat_-32.98_lon_146.15",-32.976389,146.145833
"55","lat_-41.78_lon_147.68",-41.78333333,147.6833333
"56","lat_-38.87_lon_143.58",-38.86666667,143.5833333
"57","lat_-38.58_lon_144.6",-38.58333333,144.6
"58","lat_-38.3_lon_148.32",-38.3,148.3166667
"59","lat_-37.28_lon_147.12",-37.28333333,147.1166667
"60","lat_-37.57_lon_144.48",-37.566667,144.483333
"61","lat_-37.38_lon_149.38",-37.38333333,149.3833333
