dataset_id,taxon_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name,StemDensity,study
Buckton_2019,Argyrodendron peralatum,Cape Tribulation,NA,Buckton_2019_061,wood_density,0.585625409,mg/mm3,NA,raw_value,1,Agyrodendron peralatum,0.6888,Wells_2012
Buckton_2019,Argyrodendron peralatum,Cape Tribulation,NA,Buckton_2019_061,wood_density,0.585625409,mg/mm3,NA,raw_value,1,Agyrodendron peralatum,0.78698,Wells_2012
Buckton_2019,Argyrodendron peralatum,Cape Tribulation,NA,Buckton_2019_062,wood_density,0.531981505,mg/mm3,NA,raw_value,1,Agyrodendron peralatum,0.6888,Wells_2012
Buckton_2019,Argyrodendron peralatum,Cape Tribulation,NA,Buckton_2019_062,wood_density,0.531981505,mg/mm3,NA,raw_value,1,Agyrodendron peralatum,0.78698,Wells_2012
Buckton_2019,Alstonia scholaris,Cape Tribulation,Sun,Buckton_2019_063,wood_density,0.320711744,mg/mm3,NA,raw_value,1,Alstonia scholaris,0.339,Wells_2012
Buckton_2019,Alstonia scholaris,Cape Tribulation,Sun,Buckton_2019_063,wood_density,0.320711744,mg/mm3,NA,raw_value,1,Alstonia scholaris,0.3444,Wells_2012
Buckton_2019,Alstonia scholaris,Cape Tribulation,Sun,Buckton_2019_063,wood_density,0.320711744,mg/mm3,NA,raw_value,1,Alstonia scholaris,0.42161,Wells_2012
Buckton_2019,Alstonia scholaris,Cape Tribulation,NA,Buckton_2019_064,wood_density,0.295015144,mg/mm3,NA,raw_value,1,Alstonia scholaris,0.339,Wells_2012
Buckton_2019,Alstonia scholaris,Cape Tribulation,NA,Buckton_2019_064,wood_density,0.295015144,mg/mm3,NA,raw_value,1,Alstonia scholaris,0.3444,Wells_2012
Buckton_2019,Alstonia scholaris,Cape Tribulation,NA,Buckton_2019_064,wood_density,0.295015144,mg/mm3,NA,raw_value,1,Alstonia scholaris,0.42161,Wells_2012
Buckton_2019,Cardwellia sublimis,Cape Tribulation,NA,Buckton_2019_066,wood_density,0.492687584,mg/mm3,NA,raw_value,1,Cardwelia sublimis,0.48216,Wells_2012
Buckton_2019,Cardwellia sublimis,Cape Tribulation,NA,Buckton_2019_066,wood_density,0.492687584,mg/mm3,NA,raw_value,1,Cardwelia sublimis,0.56313,Wells_2012
Buckton_2019,Cardwellia sublimis,Cape Tribulation,NA,Buckton_2019_067,wood_density,0.526299779,mg/mm3,NA,raw_value,1,Cardwelia sublimis,0.48216,Wells_2012
Buckton_2019,Cardwellia sublimis,Cape Tribulation,NA,Buckton_2019_067,wood_density,0.526299779,mg/mm3,NA,raw_value,1,Cardwelia sublimis,0.56313,Wells_2012
Buckton_2019,Cardwellia sublimis,Cape Tribulation,NA,Buckton_2019_068,wood_density,0.53622653,mg/mm3,NA,raw_value,1,Cardwelia sublimis,0.48216,Wells_2012
Buckton_2019,Cardwellia sublimis,Cape Tribulation,NA,Buckton_2019_068,wood_density,0.53622653,mg/mm3,NA,raw_value,1,Cardwelia sublimis,0.56313,Wells_2012
Buckton_2019,Castanospermum australe,Cape Tribulation,Sun,Buckton_2019_069,wood_density,0.429263334,mg/mm3,NA,raw_value,1,Castanospermum australe,0.596133333,Wells_2012
Buckton_2019,Castanospermum australe,Cape Tribulation,Sun,Buckton_2019_069,wood_density,0.429263334,mg/mm3,NA,raw_value,1,Castanospermum australe,0.650055,Wells_2012
Buckton_2019,Castanospermum australe,Cape Tribulation,Sun,Buckton_2019_069,wood_density,0.429263334,mg/mm3,NA,raw_value,1,Castanospermum australe,0.61976,Wells_2012
Buckton_2019,Castanospermum australe,Cape Tribulation,Sun,Buckton_2019_069,wood_density,0.429263334,mg/mm3,NA,raw_value,1,Castanospermum australe,0.63,Wells_2012
Buckton_2019,Castanospermum australe,Cape Tribulation,NA,Buckton_2019_070,wood_density,0.422972824,mg/mm3,NA,raw_value,1,Castanospermum australe,0.596133333,Wells_2012
Buckton_2019,Castanospermum australe,Cape Tribulation,NA,Buckton_2019_070,wood_density,0.422972824,mg/mm3,NA,raw_value,1,Castanospermum australe,0.650055,Wells_2012
Buckton_2019,Castanospermum australe,Cape Tribulation,NA,Buckton_2019_070,wood_density,0.422972824,mg/mm3,NA,raw_value,1,Castanospermum australe,0.61976,Wells_2012
Buckton_2019,Castanospermum australe,Cape Tribulation,NA,Buckton_2019_070,wood_density,0.422972824,mg/mm3,NA,raw_value,1,Castanospermum australe,0.63,Wells_2012
Buckton_2019,Rockinghamia angustifolia,Cape Tribulation,Understory,Buckton_2019_095,wood_density,0.458368448,mg/mm3,NA,raw_value,1,Rockinghamia angustifolia,0.6888,Wells_2012
Buckton_2019,Rockinghamia angustifolia,Cape Tribulation,Understory,Buckton_2019_095,wood_density,0.458368448,mg/mm3,NA,raw_value,1,Rockinghamia angustifolia,0.62898,Wells_2012
Buckton_2019,Rockinghamia angustifolia,Cape Tribulation,Understory,Buckton_2019_096,wood_density,0.532566898,mg/mm3,NA,raw_value,1,Rockinghamia angustifolia,0.6888,Wells_2012
Buckton_2019,Rockinghamia angustifolia,Cape Tribulation,Understory,Buckton_2019_096,wood_density,0.532566898,mg/mm3,NA,raw_value,1,Rockinghamia angustifolia,0.62898,Wells_2012
Buckton_2019,Rockinghamia angustifolia,Cape Tribulation,NA,Buckton_2019_097,wood_density,0.474533333,mg/mm3,NA,raw_value,1,Rockinghamia angustifolia,0.6888,Wells_2012
Buckton_2019,Rockinghamia angustifolia,Cape Tribulation,NA,Buckton_2019_097,wood_density,0.474533333,mg/mm3,NA,raw_value,1,Rockinghamia angustifolia,0.62898,Wells_2012
Falster_2005_1,Alphitonia petriei,Atherton,NA,Falster_2005_1_03,wood_density,0.413,mg/mm3,2002-11,site_mean,3,Alphitonia petriei,0.443434748,Wells_2012
Falster_2005_1,Alphitonia petriei,Atherton,NA,Falster_2005_1_03,wood_density,0.413,mg/mm3,2002-11,site_mean,3,Alphitonia petriei,0.4125,Wells_2012
Falster_2005_1,Alphitonia petriei,Atherton,NA,Falster_2005_1_03,wood_density,0.413,mg/mm3,2002-11,site_mean,3,Alphitonia petriei,0.4935,Wells_2012
Falster_2005_1,Melicope elleryana,Atherton,NA,Falster_2005_1_06,wood_density,0.346,mg/mm3,2002-11,site_mean,3,Melicope elleryana,0.52521,Wells_2012
