original_term,fruit_type,fruit_dehiscence,fruit_fleshiness,dispersal_appendage
"Fleshy (berry, pome, pepo, etc.)",NA,,fleshy,
"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",NA,dehiscent,dry,fleshy_reward
Dry dehiscent or indehsicent without attractant or wing,NA,,dry,
"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",NA,indehiscent,dry,
Spore,spore,,,
