Species,LF,HeightMax,ReproAge,ReproCLE,Pollination_syndrome,Fruit_type,FruitFG,DispClass,DispSimple,DispC3,SeedDM,cotsExp,cotsEH,cotsFR,LEE,StemDensitys1,LDMs1,LDVs1,LAs1,LtLeafs1,LMAs1,LSleafs1,LSSs1,StemDensitys2,LDMs2,LDVs2,LAs2,LtLeafs2,LMAs2,LSleafs2,LSSs2
Acronychia vestita,T,25,2,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,8.2,1,1,1,3,0.43,0.22,0.24,38.96,0.18,44.32,1.58,8.62,0.54,0.32,0.39,100.01,0.21,82.4,2.11,9.86
Aglaia sapindina,T,20,2,5.5,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivLs,Flying,DivLs,288.917,0,0,0,1.5,0.49,0.28,0.31,24.86,0.15,46.97,1.47,9.74,0.44,0.35,0.39,64.38,0.18,69.3,1.79,10.13
Aglaia ferruginea,S,17,3,5,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivAv,Flying,DivAv,319.0559,0,0,0,1.6,0.54,0.3,0.31,26.1,0.12,37.91,1.12,9.12,0.69,0.32,0.39,29.29,0.14,53.67,1.45,10.65
Alangium villosum ssp. polyosmoides,T,26,3,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,236,1,1,1,2.2,0.42,0.25,0.25,31.39,0.15,37.15,1.41,9.52,0.61,0.29,0.31,25.97,0.17,52.75,1.86,10.91
Aleurites rockinghamensis,C,33,2,7,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,Nonflying,CHR,4310.271,1,1,1,4,0.2,0.24,0.29,70.74,0.16,47.25,1.2,7.33,0.42,0.32,0.43,367.48,0.27,116.03,3.9,14.79
Alphitonia petriei,C,31,1,7.5,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,19,1,1,1,5,0.41,0.37,0.41,25.48,0.18,70.71,0.69,3.88,0.45,0.46,0.52,40.76,0.21,120.46,1.47,7.16
Alphitonia whitei,T,27,2,6,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,55.398,1,1,1,1.8,0.59,0.39,0.47,45.82,0.1,51.85,0.99,9.98,0.61,0.47,0.5,90.55,0.26,133.24,4.13,18.34
Alpinia arctiflora,H,4,1,5.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,CLFor,Flying,AvFor,6.9768,0,0,0,3.5,0.07,0.13,0.15,34.23,0.14,20.75,1.51,10.77,,,,423.4,,,,
Alpinia caerulea,H,3,1,5.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,Avian,Flying,AvFor,13.6818,0,0,0,2.7,0.13,0.15,0.15,24.14,0.18,26.98,1.84,10.16,,,,222.68,,,,
Alpinia modesta,H,1.4,1,4.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,Avian,Flying,AvFor,10.645,0,0,0,1.2,0.23,0.2,0.19,14.57,0.14,27.5,2.14,14.76,,,,58.24,,,,
