Species,StrataBinary,Site,SeedDM,seed_mass_to_use,seed_mass_duplicate,taxon_name
Xanthophyllum octandrum,Stratum_2_adult_plant,Lit,0.6888,0.6888,NA,NA
Acronychia vestita,Stratum_1_seedling,NA,8.9,NA,Duplicate of Grubb_1996_054,Acronychia vestita
Acronychia vestita,Stratum_1_seedling,NA,7.5,7.5,NA,NA
Aglaia sapindina,Stratum_1_seedling,NA,233,233,NA,NA
Aglaia sapindina,Stratum_1_seedling,NA,303.751,303.751,NA,NA
Aglaia sapindina,Stratum_1_seedling,NA,330,NA,Duplicate of Grubb_1996_031,Aglaia sapindina
Aglaia tomentosa,Stratum_1_seedling,NA,298,NA,Duplicate of RBGK_2014_014,Aglaia ferruginea
Aglaia tomentosa,Stratum_1_seedling,NA,340.1119,340.1119,NA,NA
Alangium villosum ssp. polyosmoides,Stratum_1_seedling,NA,204,204,NA,NA
Alangium villosum ssp. polyosmoides,Stratum_1_seedling,NA,268,268,NA,NA
Aleurites rockinghamensis,Stratum_1_seedling,NA,2748.41,2748.41,NA,NA
Aleurites rockinghamensis,Stratum_1_seedling,NA,2282.403,2282.403,NA,NA
Aleurites rockinghamensis,Stratum_1_seedling,NA,7900,7900,NA,NA
Alphitonia petriei,Stratum_1_seedling,NA,19,NA,Duplicate of Grubb_1996_078,Alphitonia petriei
Alphitonia whitei,Stratum_1_seedling,NA,96,NA,Duplicate of Kew_2019_1_12314,Alphitonia whitei
Alphitonia whitei,Stratum_1_seedling,NA,62,62,NA,NA
Alphitonia whitei,Stratum_1_seedling,NA,35.5922,35.5922,NA,NA
Alphitonia whitei,Stratum_1_seedling,NA,28,NA,Duplicate of Grubb_1996_080,Alphitonia whitei
Alpinia arctiflora,Stratum_1_seedling,NA,8.6,NA,Duplicate of Grubb_1996_056,Alpinia arctiflora
Alpinia arctiflora,Stratum_1_seedling,NA,5.3535,5.3535,NA,NA
Alpinia caerulea,Stratum_1_seedling,NA,16,NA,Duplicate of Grubb_1996_057,Alpinia caerulea
Alpinia caerulea,Stratum_1_seedling,NA,11.3635,11.3635,NA,NA
Alpinia modesta,Stratum_1_seedling,NA,6.2901,6.2901,NA,NA
Alpinia modesta,Stratum_1_seedling,NA,15,NA,Duplicate of Kew_2019_1_13728,Alpinia modesta
Alstonia muelleriana,Stratum_1_seedling,QRS,2.9,NA,Duplicate of Kew_2019_1_00542,Alstonia muelleriana
Alstonia scholaris,Stratum_1_seedling,QRS,13.3,NA,Duplicate of Kew_2019_1_00545,Alstonia scholaris
Alstonia scholaris,Stratum_1_seedling,QRS,17.54385965,17.54385965,NA,NA
Antirhea tenuiflora,Stratum_1_seedling,QRS,75.563,75.563,NA,NA
Apodytes brachystylis,Stratum_1_seedling,QRS,110,NA,Duplicate of Kew_2019_1_04050,Apodytes brachystylis
Apodytes brachystylis,Stratum_1_seedling,QRS,180,NA,Duplicate of Kew_2019_1_04051,Apodytes brachystylis
Apodytes brachystylis,Stratum_1_seedling,QRS,164.3797,164.3797,NA,NA
Archidendron vaillantii,Stratum_1_seedling,QRS,75,75,NA,NA
Argyrodendron peralatum,Stratum_1_seedling,QRS,447,447,NA,NA
Argyrodendron peralatum,Stratum_1_seedling,QRS,419,419,NA,NA
Argyrodendron peralatum,Stratum_1_seedling,QRS,700,NA,Duplicate of RBGK_2014_284,Argyrodendron peralatum
Argyrodendron trifoliolatum,Stratum_1_seedling,QRS,110,NA,Duplicate of RBGK_2014_285,Argyrodendron trifoliolatum
Atractocarpus hirtus,Stratum_1_seedling,QRS,32,NA,Duplicate of Grubb_1996_050,Atractocarpus hirtus
Atractocarpus merikin,Stratum_1_seedling,QRS,39,39,NA,NA
