error,dataset_id,taxon_name,site_name,context_name,observation_id,trait_name,value,unit,date,value_type,replicates,original_name
Duplicate of Metcalfe_2009_016,Wells_2012,Alstonia scholaris,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0631,plant_height,40,m,NA,expert_max,NA,Alstonia scholaris
Duplicate of Kooyman_2011_1206,Wells_2012,Atractocarpus hirtus,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0644,plant_height,4,m,NA,expert_max,NA,Atractocarpus hirtus
Duplicate of Kooyman_2011_1207,Wells_2012,Atractocarpus merikin,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0647,plant_height,5,m,NA,expert_max,NA,Atractocarpus merikin
Duplicate of Kooyman_2011_1883,Wells_2012,Brombya platynema,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0654,plant_height,20,m,NA,expert_max,NA,Brombya platynema
Duplicate of Kooyman_2011_1445,Wells_2012,Bubbia semecarpoides,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0659,plant_height,12,m,NA,expert_max,NA,Bubbia semecarpoides
Duplicate of Barlow_1981_0698,Wells_2012,Cinnamomum laubatii,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0673,plant_height,35,m,NA,expert_max,NA,Cinnamomum laubatii
Duplicate of Barlow_1981_0704,Wells_2012,Citronella smythii,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0674,plant_height,25,m,NA,expert_max,NA,Citronella smythii
Duplicate of Barlow_1981_0956,Wells_2012,Cryptocarya pleurosperma,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0697,plant_height,30,m,NA,expert_max,NA,Cryptocarya pleurosperma
Duplicate of Barlow_1981_1627,Wells_2012,Galbulimima baccata,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0753,plant_height,40,m,NA,expert_max,NA,Galbulimima baccata
Duplicate of Metcalfe_2009_132,Wells_2012,Glochidion sumatranum,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0760,plant_height,25,m,NA,expert_max,NA,Glochidion sumatranum
Duplicate of Kooyman_2011_0771,Wells_2012,Gossia dallachiana,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0766,plant_height,15,m,NA,expert_max,NA,Gossia dallachiana
Duplicate of Barlow_1981_2645,Wells_2012,Polyalthia hispida,Brooks Valley Mungalli,Stratum_2_adult_plant,Wells_2012_0779,plant_height,12,m,NA,expert_max,NA,Haplostichanthus sp. (Johnstone River L.W.Jessup+ 471)
