Species,LF,HeightMax,ReproAge,ReproCLE,Pollination_syndrome,Fruit_type,FruitFG,DispClass,DispSimple,DispC3,cotsExp,cotsEH,cotsFR,LEE
Acronychia vestita,T,25,2,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,1,1,1,3
Aglaia sapindina,T,20,2,5.5,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,1.5
Aglaia ferruginea,S,17,3,5,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivAv,Flying,DivAv,0,0,0,1.6
Alangium villosum ssp. polyosmoides,T,26,3,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2
Aleurites rockinghamensis,C,33,2,7,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,Nonflying,CHR,1,1,1,4
Alphitonia petriei,C,31,1,7.5,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,5
Alphitonia whitei,T,27,2,6,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,1.8
Alpinia arctiflora,H,4,1,5.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,CLFor,Flying,AvFor,0,0,0,3.5
Alpinia caerulea,H,3,1,5.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,Avian,Flying,AvFor,0,0,0,2.7
Alpinia modesta,H,1.4,1,4.5,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,Avian,Flying,AvFor,0,0,0,1.2
Alstonia muelleriana,C,37,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4
Alstonia scholaris,C,41,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4.5
Antirhea tenuiflora,S,16,3,5.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,1,1,1,3
Apodytes brachystylis,S,18,2,5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.2
Archidendron vaillantii,T,27,3,7,Moths,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,Avian,Flying,AvFor,0,1,0,2.4
Argyrodendron peralatum,C,53,4,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,0,1.25
Argyrodendron trifoliolatum,C,53,4,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,0,1
Atractocarpus hirtus,S,4,3,3.5,Moths,"Fleshy (berry, pome, pepo, etc.)",DrM,CHr,Nonflying,CHR,1,1,1,1.9
Atractocarpus merikin,S,5,3,4,Moths,"Fleshy (berry, pome, pepo, etc.)",Multi,DivAv,Flying,DivAv,1,1,1,1.2
Austrobaileya scandens,L,40,3,7,Flies,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,1,1,1,1.6
Austromatthaea elegans,S,6,3,4,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,CLFor,Flying,AvFor,0,0,0,1.3
Austrosteenisia stipularis,L,36,2,6,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,3.5
Beilschmiedia bancroftii,C,39,4,7,Beetles,Dry dehiscent or indehsicent without attractant or wing,Wood,Rod,Nonflying,CHR,0,0,0,1.24
Beilschmiedia tooram,C,28,4,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.9
Breynia cernua,S,9,1,5.5,Wind,"Fleshy (berry, pome, pepo, etc.)",MultiS,DivAv,Flying,DivAv,1,1,1,3.3
Brombya platynema,T,19,2,6,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,Avian,Flying,AvFor,1,1,1,1.4
Bubbia semecarpoides,S,12,3,5.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",Multi,DivAv,Flying,DivAv,1,1,1,1.2
Calamus australis,L,38,1,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,1.6
Calamus moti,L,37,1,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,1.33
Calamus radicalis,L,36,1,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,0,0,0,2.2
Callicarpa longifolia,S,5,1,6,Butterflies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.8
Canarium muelleri,C,36,3,7,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,CLFor,Flying,AvFor,1,1,1,2.75
Cardwellia sublimis,C,41,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.92
Carnarvonia araliifolia var. araliifolia,C,34,2,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.35
Carronia protensa,L,34,2,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,2.14
Castanospermum australe,C,40,3,7,Bees,Dry dehiscent or indehsicent without attractant or wing,Wood,CHr,Nonflying,CHR,0,0,0,2.05
Castanospora alphandii,C,33,3,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.08
Celastrus subspicata,L,31,2,6.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,1.65
Chionanthus ramiflora,T,22,2,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,1.8
Chisocheton longistipitatus,C,40,4,7,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrL,CLFor,Flying,AvFor,0,0,0,2.75
Cinnamomum laubatii,C,34,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,2.1
Cissus vinosa,L,39,3,7,Flies,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,0,0,0,3.3
Citronella moorei,T,25,3,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,1,1,1,2.1
Citronella smythii,T,25,3,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,1,1,1,1.9
Cnesmocarpon dasyantha,T,23,3,6,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,0,0,0,1.85
Connarus conchocarpus ssp. conchocarpus,L,34,3,7,Bees,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrM,DivAv,Flying,DivAv,1,1,0,1.2
Cordyline cannifolia,H,5,3,4.5,Bees,"Fleshy (berry, pome, pepo, etc.)",Multi,CHr,Nonflying,CHR,0,0,0,1.28
Corynocarpus cribbianus,T,20,3,6,Bees,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,2.1
Cryptocarya angulata,C,32,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,1.3
Cryptocarya corrugata,C,40,4,7.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,1.22
Cryptocarya grandis,C,34,3,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,0,0,0,1.16
Cryptocarya mackinnoniana,C,28,3,5.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,1.05
Cryptocarya murrayi,C,28,3,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivAv,Flying,DivAv,0,0,0,1.32
Cryptocarya oblata,C,32,4,7,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.46
Cryptocarya pleurosperma,C,30,3,6,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrL,CHr,Nonflying,CHR,0,0,0,1.65
