species,fresh_area_mm2,SLA_mm2_mg,latitude (deg),longitude (deg),site
Acacia buxifolia,116,3.706565068,-34.591425,149.6663944,site_at_ 34.591425 _deg_S_and_ 149.6663944 _deg_E
Acacia buxifolia,100.8,3.675707022,-34.591425,149.6663944,site_at_ 34.591425 _deg_S_and_ 149.6663944 _deg_E
Acacia buxifolia,127.2,4.06868536,-34.591425,149.6663944,site_at_ 34.591425 _deg_S_and_ 149.6663944 _deg_E
Acacia buxifolia,162.4,3.673012904,-34.591425,149.6663944,site_at_ 34.591425 _deg_S_and_ 149.6663944 _deg_E
Acacia buxifolia,168,4.049507868,-34.591425,149.6663944,site_at_ 34.591425 _deg_S_and_ 149.6663944 _deg_E
Acacia dealbata,1306.2,1.937580734,-34.591425,149.6663944,site_at_ 34.591425 _deg_S_and_ 149.6663944 _deg_E
Acacia dealbata,956.2,2.062822391,-34.591425,149.6663944,site_at_ 34.591425 _deg_S_and_ 149.6663944 _deg_E
Acacia dealbata,1478.6,1.9028142,-34.591425,149.6663944,site_at_ 34.591425 _deg_S_and_ 149.6663944 _deg_E
Acacia dealbata,1270.4,2.224597443,-34.591425,149.6663944,site_at_ 34.591425 _deg_S_and_ 149.6663944 _deg_E
Acacia dealbata,974.6,2.476240978,-34.591425,149.6663944,site_at_ 34.591425 _deg_S_and_ 149.6663944 _deg_E
Acacia parramattensis,2366.4,2.424186852,-34.6107028,149.2202944,site_at_ 34.6107028 _deg_S_and_ 149.2202944 _deg_E
Acacia parramattensis,1988.8,2.436738316,-34.6107028,149.2202944,site_at_ 34.6107028 _deg_S_and_ 149.2202944 _deg_E
Acacia parramattensis,3285.6,2.865172497,-34.6107028,149.2202944,site_at_ 34.6107028 _deg_S_and_ 149.2202944 _deg_E
Acacia parramattensis,2072,2.464438347,-34.6107028,149.2202944,site_at_ 34.6107028 _deg_S_and_ 149.2202944 _deg_E
Acacia parramattensis,2236.8,2.781926887,-34.6107028,149.2202944,site_at_ 34.6107028 _deg_S_and_ 149.2202944 _deg_E
Acacia penninervis,364.2,4.027625498,-34.61925,149.2210444,site_at_ 34.61925 _deg_S_and_ 149.2210444 _deg_E
Acacia penninervis,322.4,3.920773208,-34.61925,149.2210444,site_at_ 34.61925 _deg_S_and_ 149.2210444 _deg_E
Acacia penninervis,510.2,3.859085151,-34.61925,149.2210444,site_at_ 34.61925 _deg_S_and_ 149.2210444 _deg_E
Acacia penninervis,340.8,3.889922092,-34.61925,149.2210444,site_at_ 34.61925 _deg_S_and_ 149.2210444 _deg_E
Acacia rubida,414.6,4.198319439,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Acacia rubida,476.2,4.226917124,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Acacia rubida,400.6,5.251240314,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Acacia rubida,496.6,5.080254796,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Acacia rubida,423.8,4.647497276,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Acacia verniciflua,248.8,6.116627223,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Acacia verniciflua,324,7.790147314,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Acacia verniciflua,303.2,6.396688018,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
Acacia verniciflua,264.8,7.926134036,-34.8627694,149.1543611,site_at_ 34.8627694 _deg_S_and_ 149.1543611 _deg_E
