var_name,trait_name,unit
region,NA,NA
seed mass (mg),seed_mass,mg
GF,plant_growth_form,NA
leaf area (mm2),leaf_area,mm2
SLA  mm2/mg-1,specific_leaf_area,mm2/mg
LDMC (mg/g-1),leaf_dry_matter_content,mg/g
height (cm),plant_height,cm
notes,NA,NA
