site,Latitude,Longitude,Altitude (m)
Below Clarke 4,-36.434,148.301,1875
Betts Creek,-36.427,148.372,
Between Clarke 3 and 2,-36.433,148.293,2034
Charlotte Pass below Mt Stilwell,-36.443,148.323,
Charlotte Pass Café,-36.435,148.332,1681
Charlotte Pass Carpark,-36.432,148.331,1804
Charlotte Pass Chairlift,-36.439,148.324,1953
Charlotte Pass Lodge,-36.437,148.335,1785
Charlotte Pass Phenology Site,-36.430,148.331,1870
Charlotte Pass Phenology Site,-36.430,148.331,1870
Club Lake Creek Pool,-36.428,148.301,
Club Lake Creek,-36.430,148.304,1786
Club Lake FF,-36.417,148.286,
Dainers Gap carpark,-36.372,148.471,1688
Dainers Gap SAG3 Site,-36.376,148.472,1668
Dainers Gap,-36.376,148.472,1671
East of main range 500m from junction,-36.448,148.267,2121
Edge of track Mt Kosciuszko,-36.457,148.264,2234
Feldmark,-36.406,148.297,2073
FMUB1,-36.416,148.286,2080
FMUB2,-36.412,148.287,2109
Near Snowy river,-36.431,148.319,1742
On way to Club Lake,-36.420,148.302,1901
Rennix Walk Car Park,-36.361,148.507,1601
Saw Pitt Creek Waterfall Walk,-36.345,148.559,1225
Snow bank1,-36.447,148.326,2045
Snowbank below Stillwell,-36.443,148.326,1987
Snowy River Phebalium heath,-36.431,148.322,1745
Spencers Creek,-36.429,148.358,1720
Start of Club Lake Creek,-36.415,148.292,1944
Stillwell Basin,-36.442,148.325,1989
Stillwell Path between chairlift and Charlotte Pass1,-36.436,148.325,1924
Stillwell Path chairlift,-36.438,148.324,
Tall alpine herbfield near Club Lake,-36.419,148.294,1870
Tall alpine herbfield next to snowbank,-36.448,148.324,2029
Tall alpine herbfield next to Snowy River1,-36.459,148.297,1954
Tall alpine herbfield next to Snowy River2,-36.420,148.296,1842
Tall alpine herbfield raised bog,36.444,158.331,2022
Tall alpine herbfield1,-36.453,148.294,1943
Tall alpine herbfield10,-36.404,148.301,2117
Tall alpine herbfield11,-36.401,148.305,2108
Tall alpine herbfield2,-36.452,148.301,1928
Tall alpine herbfield3,-36.452,148.305,1903
Tall alpine herbfield4,-36.452,148.298,1953
Tall alpine herbfield5,-36.447,148.327,2047
Tall alpine herbfield6,-36.447,148.326,2045
Tall alpine herbfield7,-36.419,148.301,1918
Tall alpine herbfield8,-36.418,148.293,1884
Tall alpine herbfield9,-36.404,148.304,2110
Up Heartbreak Hill,-36.431,148.323,1758
Up Lodge,-36.396,148.404,1783
