"site_name","trait_name","unit","value"
"Below Clarke 4","elevation","m","1875"
"Betts Creek","elevation","m",NA
"Between Clarke 3 and 2","elevation","m","2034"
"Charlotte Pass below Mt Stilwell","elevation","m",NA
"Charlotte Pass Café","elevation","m","1681"
"Charlotte Pass Carpark","elevation","m","1804"
"Charlotte Pass Chairlift","elevation","m","1953"
"Charlotte Pass Lodge","elevation","m","1785"
"Charlotte Pass Phenology Site","elevation","m","1870"
"Charlotte Pass Phenology Site","elevation","m","1870"
"Club Lake Creek Pool","elevation","m",NA
"Club Lake Creek","elevation","m","1786"
"Club Lake FF","elevation","m",NA
"Dainers Gap carpark","elevation","m","1688"
"Dainers Gap SAG3 Site","elevation","m","1668"
"Dainers Gap","elevation","m","1671"
"East of main range 500m from junction","elevation","m","2121"
"Edge of track Mt Kosciuszko","elevation","m","2234"
"Feldmark","elevation","m","2073"
"FMUB1","elevation","m","2080"
"FMUB2","elevation","m","2109"
"Near Snowy river","elevation","m","1742"
"On way to Club Lake","elevation","m","1901"
"Rennix Walk Car Park","elevation","m","1601"
"Saw Pitt Creek Waterfall Walk","elevation","m","1225"
"Snow bank1","elevation","m","2045"
"Snowbank below Stillwell","elevation","m","1987"
"Snowy River Phebalium heath","elevation","m","1745"
"Spencers Creek","elevation","m","1720"
"Start of Club Lake Creek","elevation","m","1944"
"Stillwell Basin","elevation","m","1989"
"Stillwell Path between chairlift and Charlotte Pass1","elevation","m","1924"
"Stillwell Path chairlift","elevation","m",NA
"Tall alpine herbfield near Club Lake","elevation","m","1870"
"Tall alpine herbfield next to snowbank","elevation","m","2029"
"Tall alpine herbfield next to Snowy River1","elevation","m","1954"
"Tall alpine herbfield next to Snowy River2","elevation","m","1842"
"Tall alpine herbfield raised bog","elevation","m","2022"
"Tall alpine herbfield1","elevation","m","1943"
"Tall alpine herbfield10","elevation","m","2117"
"Tall alpine herbfield11","elevation","m","2108"
"Tall alpine herbfield2","elevation","m","1928"
"Tall alpine herbfield3","elevation","m","1903"
"Tall alpine herbfield4","elevation","m","1953"
"Tall alpine herbfield5","elevation","m","2047"
"Tall alpine herbfield6","elevation","m","2045"
"Tall alpine herbfield7","elevation","m","1918"
"Tall alpine herbfield8","elevation","m","1884"
"Tall alpine herbfield9","elevation","m","2110"
"Up Heartbreak Hill","elevation","m","1758"
"Up Lodge","elevation","m","1783"
