Species,region,seed mass (mg),GF,site,leaf area (mm2),SLA  mm2/mg-1,LDMC (mg/g-1),height (cm),,
Acaena ovina,Subalpine ,,Herb,Rennix Walk Car Park_72,536.4666,9.408393546,386.0528097,,,
Acaena sp.,Alpine,,Herb,Tall alpine herbfield next to Snowy River1_72,46.1727,19.98818182,385,,,
Acetosella vulgaris,Alpine,0.4732,,,799.18965,,,20,,
Aciphylla glacialis,Alpine,,Herb,Snowbank below Stillwell_72,4176.289,7.030789899,255.2642888,,,
Aciphylla simplicifolia,Alpine,,Herb,Tall alpine herbfield raised bog_72,604.7821,264.0969869,5.571776156,,,
Agrostis meionectes,Alpine,,graminoid,Tall alpine herbfield4_72,22.844,2.928717949,975,,,
Agrostis muelleriana,Alpine,0.100694444,,,99,,,20,,
Agrostis muelleriana ,Alpine,,graminoid,Start of Club Lake Creek_72,31.9484,6.725978947,395.8333333,,,
Agrostis mulleriana dwarf form,Alpine,,graminoid,FMUB2_72,6.0565,10.26525424,49.16666667,,,
Arthropodium milleflorum,Subalpine ,,Herb,Dainers Gap SAG3 Site_72,1152.9,21.04600219,180.0788955,,,
Asperula gunnii,Alpine,,Herb,Tall alpine herbfield1_72,4.141,21.79684211,593.75,,,
Asperula scoparia,Subalpine ,,Herb,Dainers Gap SAG3 Site_72,2.253,22.53,100,,,
Astelia alpina var. novae-hollandiae,Alpine,,Herb,Tall alpine herbfield next to Snowy River1_72,1516.4802,9.190789091,226.6483516,,,
Australopyrum velutinum,Alpine,,graminoid,Tall alpine herbfield next to Snowy River1_72,303.097,101.0324667,53.57142857,,,
Austrodanthonia alpicola,Alpine,,graminoid,Charlotte Pass Phenology Site_72,81.899,8.53109375,484.8484848,,,
Baeckea gunniana,Alpine,,Shrub,Spencers Creek_72,2.8925,20.66071429,175,,,
Baeckea utilis var. utilis,Alpine,,Shrub,Snowy River Phebalium heath_72,7.4,7.872340426,408.6956522,,,
Brachyscome nivalis,Alpine,,Herb,Charlotte Pass Carpark_72,133.007,12.37911065,193.7875752,,,
Brachyscome obovata,Alpine,,Herb,Charlotte Pass Lodge_72,164.887,9.885305755,22.51012146,,,
Brachyscome scapigera,Alpine,,Herb,Snow bank1_72,442.9147,23.3113,124.1830065,,,
Brachyscome sp. (aff. tadgellii),Alpine,,Herb,,125.795,7.642454435,227.6625173,,,
Brachyscome sp. (aff. tenuiscapa),Alpine,,Herb,Club Lake Creek Pool_72,217.2,13.78170685,17.45293466,,,
Brachyscome spathulata,Alpine,0.239,,,195.3333333,,,30,,
Brachysome spatulatha subsp. spathulata,Alpine,,Herb,,160.3296,22.90422857,71.42857143,,,
Brachysome stolonifera,Alpine,,Herb,Tall alpine herbfield5_72,46.3554,7.951183533,364.375,,,
Caltha introloba,Alpine,,Herb,Snow bank1_72,188.186,376.372,5.102040816,,,
Cardamine lilacina s.l.,Alpine,,Herb,Charlotte Pass Phenology Site_73,101.652,19.39923664,188.4892086,,,
Cardamine robusta,Alpine,,Herb,Start of Club Lake Creek_72,521.978,43.49816667,68.96551724,,,
Cardamine robusta,Alpine,0.537777778,,,227.0748299,,,25,,
Carex appressa ,Subalpine ,,graminoid,Dainers Gap SAG3 Site_72,1572.1,17.64026032,390.1926445,,,
Carex breviculmis,Alpine,,graminoid,Tall alpine herbfield1_72,137.2486,16.81968137,354.7826087,,,
Carex breviculmis,Alpine,1.035185185,,,186.6882667,,,15,,
Carex canescens,Alpine,,graminoid,Club Lake FF_72,498.748,19.26412901,30.45882353,,,
Carex cephalotes,Alpine,0.8344,,,104.2857143,,,20,,
Carex echinata,Alpine,,graminoid,Charlotte Pass Lodge_72,158.137,17.74828283,29.89932886,,,
Carex gaudichaudiana,Alpine,,graminoid,Tall alpine herbfield next to snowbank_72,314.1021,78.525525,66.66666667,,,
Carex gaudichaudiana,Alpine,0.4672,,,372.7272727,,,40,,
Carex hebes,Alpine,,graminoid,Between Clarke 3 and 2_72,168.81,19.09615385,394.6428571,,,
Carpha nivicola,Alpine,,graminoid,On way to Club Lake_72,142.0231,8.364140165,361.2765957,,,
Celmisia costiniana,Alpine,,Herb,Snowbank below Stillwell_72,289.666,9.655536667,205.4794521,,,
Celmisia costiniana,Alpine,2.641875,,,428.88,,,15,,
Celmisia pugioniformis,Alpine,,Herb,,303.9083,17.87695882,118.8811189,,,
Chionochloa frigida,Alpine,,graminoid,On way to Club Lake_72,2562.100778,6.981201029,474.7736093,,,
Chionogentias muelleriana subsp. alpestris,Alpine,,Herb,Tall alpine herbfield11_72,28.244,15.26686486,616.6666667,,,
Chionohebe densifolia,Alpine,,Shrub,FMUB2_72,6.893,10.94095238,42,,,
Colobanthus nivicola,Alpine,,,Tall alpine herbfield next to Snowy River1_72,18.8024,12.05282051,222.8571429,,,
Colobanthus nivicola,Alpine,0.049130435,,,5.06,,,2,,
Colobanthus pulvinatus,Alpine,,Herb,,1.66,0.458563536,603.3333333,,,
Coprosma niphophila,Alpine,,Shrub,East of main range 500m from junction_72,9.425,9.921052632,263.8888889,,,
Cotula alpina,Alpine,,Herb,Tall alpine herbfield next to Snowy River1_72,39.6281,11.8647006,256.9230769,,,
Cotula alpina,Alpine,0.2268,,,54.174,,,5,,
Craspedia alba,Alpine,,Herb,Tall alpine herbfield next to Snowy River1_72,86.855,18.67849462,258.3333333,,,
Craspedia aurantia,Alpine,,Herb,Charlotte Pass Lodge_72,837.246,23.73146259,19.93220339,,,
Craspedia costiniana,Alpine,,Herb,Tall alpine herbfield5_72,1763.408,22.9013987,103.4328358,,,
Craspedia lamicola,Alpine,,Herb,Snowbank below Stillwell_72,1003.4104,20.90438333,112.412178,,,
Craspedia lamicola,Alpine,1.1308,,,1841.565217,,,50,,
Craspedia maxgrayi,Alpine,,Herb,Snowbank below Stillwell_72,1041.0999,28.13783514,86.24708625,,,
Craspedia sp. B,Alpine,,Herb,Start of Club Lake Creek_72,909.721,15.96001228,199.3006993,,,
Derwentia derwentiana,Subalpine,,Herb,Snowy River Phebalium heath_72,1565.2,8.919026725,297.0379147,,,
Derwentia derwentiana subsp. maideniana ,Subalpine ,,Herb,Dainers Gap SAG3 Site_72,2005.1898,10.33123705,258.8556949,,,
Deyeuxia carinata,Alpine,,graminoid,Charlotte Pass Lodge_72,352.965,12.69200647,32.75618375,,,
