Site,latitude (deg),longitude (deg),species_name,Time,Year,Plant ID,Sex,No. flws,No. frt,% frt set,Male frt,No. lvs (flw),No. lvs (frt),"stem (cm) (at flowering for males, fruiting for females)",pedicel (mg),Flws for mean,Flw mass for mn,mean flw (mg),total flw (mg),"total lf (mg) (at flowering for males, fruiting for females)","total stm (mg) (at flowering for males, fruiting for females)",Frts for mean,Frt mass for mn,mean frt (mg),total frt (mg),# lvs/stm(cm),lf(mg)/stm(mg),# flws/# lvs,# flws/stm(cm),flw(mg)/lf(mg),flw(mg)/stm(mg),reprod tissue,RA(leafbio),Diameter
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,1,male,122,,,1,9,,27,0.0279,5,0.0106,0.00212,0.28654,0.1588,0.355,5,0.0291,0.00582,,0.333333333,0.447323944,13.55555556,4.518518519,1.80440806,0.80715493,0.28654,1.80440806,2.8
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,3,male,111,,,0,6,,14,0.0468,5,0.0131,0.00262,0.33762,0.0788,0.1541,,,,,0.428571429,0.511356262,18.5,7.928571429,4.284517766,2.19091499,0.33762,4.284517766,3.2
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,5,male,107,,,1,15,,17.5,0.0322,5,0.0127,0.00254,0.30398,0.1873,0.2143,5,0.034,0.0068,,0.857142857,0.874008399,7.133333333,6.114285714,1.622957822,1.418478768,0.30398,1.622957822,8.1
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,7,male,47,,,1,6,,14,0.0072,5,0.0156,0.00312,0.15384,0.0593,0.1054,5,0.0203,0.00406,,0.428571429,0.562618596,7.833333333,3.357142857,2.594266442,1.459582543,0.15384,2.594266442,2
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,9,male,113,,,1,13,,20,0.0336,5,0.0131,0.00262,0.32966,0.1817,0.2076,5,0.0413,0.00826,,0.65,0.875240848,8.692307692,5.65,1.814309301,1.587957611,0.32966,1.814309301,2.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,11,male,62,,,0,5,,10.5,0.0213,6,0.0134,0.002233333,0.159766667,0.0191,0.0944,,,,,0.476190476,0.202330508,12.4,5.904761905,8.364746946,1.692443503,0.159766667,8.364746946,4
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,13,male,184,,,1,6,,13.5,0.0657,5,0.0135,0.0027,0.5625,0.0431,0.1314,5,0.0249,0.00498,,0.444444444,0.328006088,30.66666667,13.62962963,13.05104408,4.280821918,0.5625,13.05104408,9.1
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,15,male,213,,,1,21,,14,0.0243,5,0.0131,0.00262,0.58236,0.2819,0.2452,5,0.027,0.0054,,1.5,1.149673736,10.14285714,15.21428571,2.06583895,2.375040783,0.58236,2.06583895,3.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,17,male,152,,,1,15,,11.5,0.0119,5,0.0122,0.00244,0.38278,0.108,0.1521,5,0.0387,0.00774,,1.304347826,0.710059172,10.13333333,13.2173913,3.544259259,2.516633794,0.38278,3.544259259,1.9
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,19,male,52,,,1,9,,25.5,0.015,5,0.016,0.0032,0.1814,0.0733,0.3616,5,0.0587,0.01174,,0.352941176,0.202710177,5.777777778,2.039215686,2.474761255,0.501659292,0.1814,2.474761255,2
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,21,male,123,,,1,13,,16,0.0098,4,0.01,0.0025,0.3173,0.1135,0.2006,5,0.0475,0.0095,,0.8125,0.565802592,9.461538462,7.6875,2.795594714,1.581754736,0.3173,2.795594714,3
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,23,male,60,,,1,15,,13.5,0.0069,5,0.0111,0.00222,0.1401,0.0358,0.1352,5,0.0565,0.0113,,1.111111111,0.264792899,4,4.444444444,3.913407821,1.036242604,0.1401,3.913407821,3.1
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,25,male,113,,,1,16,,12.5,0.0113,6,0.0186,0.0031,0.3616,0.0303,0.1334,5,0.0422,0.00844,,1.28,0.227136432,7.0625,9.04,11.9339934,2.710644678,0.3616,11.9339934,4
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,27,male,149,,,1,23,,25,0.031,5,0.0152,0.00304,0.48396,0.2992,0.4101,5,0.0664,0.01328,,0.92,0.729578152,6.47826087,5.96,1.617513369,1.180102414,0.48396,1.617513369,2.8
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,29,male,110,,,1,40,,33,0.0179,5,0.0099,0.00198,0.2357,0.5402,0.4966,5,0.0482,0.00964,,1.212121212,1.08779702,2.75,3.333333333,0.436319882,0.474627467,0.2357,0.436319882,7
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,31,male,81,,,0,10,,11,0.0165,5,0.0095,0.0019,0.1704,0.0576,0.1229,,,,,0.909090909,0.468673718,8.1,7.363636364,2.958333333,1.386493084,0.1704,2.958333333,7
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,33,male,65,,,0,7,,12.5,0.0234,5,0.0112,0.00224,0.169,0.0765,0.1146,,,,,0.56,0.667539267,9.285714286,5.2,2.209150327,1.47469459,0.169,2.209150327,7.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,35,male,89,,,1,7,,10,0.0165,5,0.0122,0.00244,0.23366,0.1345,0.1192,5,0.0294,0.00588,,0.7,1.128355705,12.71428571,8.9,1.737249071,1.960234899,0.23366,1.737249071,7.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,37,male,107,,,1,20,,17.5,0.021,5,0.0155,0.0031,0.3527,0.1701,0.2499,5,0.051,0.0102,,1.142857143,0.680672269,5.35,6.114285714,2.073486185,1.411364546,0.3527,2.073486185,9
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,39,male,129,,,1,8,,13.5,0.0427,5,0.0124,0.00248,0.36262,0.213,0.1484,5,0.0469,0.00938,,0.592592593,1.435309973,16.125,9.555555556,1.702441315,2.443530997,0.36262,1.702441315,3.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,41,male,81,,,0,5,,9,0.0227,5,0.0145,0.0029,0.2576,0.1239,0.1244,,,,,0.555555556,0.995980707,16.2,9,2.079096045,2.07073955,0.2576,2.079096045,3.2
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,43,male,46,,,1,6,,11.5,0.0226,5,0.02,0.004,0.2066,0.0975,0.108,5,0.0706,0.01412,,0.52173913,0.902777778,7.666666667,4,2.118974359,1.912962963,0.2066,2.118974359,4
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,45,male,38,,,0,21,,17.5,0.011,5,0.013,0.0026,0.1098,0.2537,0.1726,,,,,1.2,1.469872538,1.80952381,2.171428571,0.432794639,0.636152955,0.1098,0.432794639,8.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,47,male,128,,,1,12,,14.5,0.0594,5,0.0157,0.00314,0.46132,0.1896,0.1558,5,0.0626,0.01252,,0.827586207,1.216944801,10.66666667,8.827586207,2.433122363,2.96097561,0.46132,2.433122363,8
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,49,male,75,,,1,12,,21.5,0.0297,5,0.0139,0.00278,0.2382,0.0936,0.3584,5,0.0576,0.01152,,0.558139535,0.261160714,6.25,3.488372093,2.544871795,0.664620536,0.2382,2.544871795,1.6
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,51,male,72,,,0,14,,20.5,0.0262,5,0.0103,0.00206,0.17452,0.3148,0.3822,,,,,0.682926829,0.823652538,5.142857143,3.512195122,0.554383736,0.456619571,0.17452,0.554383736,1.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,53,male,44,,,1,8,,5,0.0116,,,,,0.1013,0.0568,5,0.0249,0.00498,,1.6,1.783450704,5.5,8.8,0.114511352,0.204225352,0,0,3
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,55,male,96,,,1,33,,15.5,0.0319,5,0.0151,0.00302,0.32182,0.3218,0.1785,5,0.0521,0.01042,,2.129032258,1.80280112,2.909090909,6.193548387,1.00006215,1.802913165,0.32182,1.00006215,3
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,57,male,30,,,1,6,,5,0.0138,5,0.0199,0.00398,0.1332,0.0483,0.0405,5,0.0535,0.0107,,1.2,1.192592593,5,6,2.757763975,3.288888889,0.1332,2.757763975,4.7
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,59,male,14,,,0,5,,8,0.0006,5,0.0102,0.00204,0.02916,0.0155,0.0817,,,,,0.625,0.189718482,2.8,1.75,1.881290323,0.356915545,0.02916,1.881290323,1.9
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,61,male,83,,,1,15,,8.5,0.0798,6,0.0162,0.0027,0.3039,0.0978,0.0732,5,0.0536,0.01072,,1.764705882,1.336065574,5.533333333,9.764705882,3.107361963,4.151639344,0.3039,3.107361963,3.8
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,63,male,41,,,1,3,,7.5,0.0116,5,0.0137,0.00274,0.12394,0.0031,0.0728,5,0.05,0.01,,0.4,0.042582418,13.66666667,5.466666667,39.98064516,1.702472527,0.12394,39.98064516,5.5
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,65,male,67,,,1,9,,11.5,0.0612,5,0.0102,0.00204,0.19788,0.1859,0.1358,6,0.0379,0.006316667,,0.782608696,1.36892489,7.444444444,5.826086957,1.064443249,1.457142857,0.19788,1.064443249,11
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,67,male,53,,,0,23,,16,0.016,5,0.0086,0.00172,0.10716,0.1175,0.1789,,,,,1.4375,0.656791504,2.304347826,3.3125,0.912,0.598993851,0.10716,0.912,3.2
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,69,male,91,,,0,27,,17.5,0.0426,5,0.015,0.003,0.3156,0.3732,0.1505,,,,,1.542857143,2.479734219,3.37037037,5.2,0.845659164,2.097009967,0.3156,0.845659164,4
Orroral Valley,-35.66255,148.988483,Gynatrix pulchella,flowering,2002,71,male,38,,,0,6,,6.5,0.0216,5,0.0102,0.00204,0.09912,0.1155,0.0556,,,,,0.923076923,2.077338129,6.333333333,5.846153846,0.858181818,1.782733813,0.09912,0.858181818,2.3
