context,sex,reproductive stage,type,description
female plant at flowering stage,female plant,measurements made on flowering plant,field,measurements repeated on male/female plants at different reproductive stages
male plant at flowering stage,male plant,measurements made on flowering plant,field,measurements repeated on male/female plants at different reproductive stages
female plant at fruiting stage,female plant,measurements made on fruiting plant,field,measurements repeated on male/female plants at different reproductive stages
male plant at fruiting stage,male plant,measurements made on fruiting plant,field,measurements repeated on male/female plants at different reproductive stages
female plant at post-fruit stage,female plant,measurements made on plant at post-fruiting stage,field,measurements repeated on male/female plants at different reproductive stages
male plant at post-fruit stage,male plant,measurements made on plant at post-fruiting stage,field,measurements repeated on male/female plants at different reproductive stages
