Site,latitude (deg),longitude (deg),species_name,Time,Year,Plant ID,Sex,No. flws,No. frt,% frt set,Male frt,No. lvs (flw),No. lvs (frt),"stem (cm) (at flowering for males, fruiting for females)",pedicel (mg),Flws for mean,Flw mass for mn,mean flw (mg),total flw (mg),"total lf (mg) (at flowering for males, fruiting for females)","total stm (mg) (at flowering for males, fruiting for females)",Frts for mean,Frt mass for mn,mean frt (mg),total frt (mg),# lvs/stm(cm),lf(mg)/stm(mg),# flws/# lvs,# flws/stm(cm),flw(mg)/lf(mg),flw(mg)/stm(mg),reprod tissue,RA(leaf bio),Diameter,male stm(cm) frt,male stm(mg) frt,male lf(mg) frt,male ped(mg) frt
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,1,male,93,42,,1,12,15,23.5,27.9,5,15.6,3.12,318.06,100.5,346.2,5,0.0307,0.00614,0.1983,0.510638298,0.290294627,7.75,3.957446809,3.164776119,0.918717504,318.06,3.164776119,7,24,0.3126,0.0794,0.0265
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,3,male,103,,,,6,,26,34.3,5,15.6,3.12,355.66,24.1,421.2,,,,,0.230769231,0.057217474,17.16666667,3.961538462,14.75767635,0.844396961,355.66,14.75767635,11,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,5,male,143,24,,1,16,65,21,35.3,5,11.5,2.3,364.2,114,263.3,5,0.0356,0.00712,0.135,0.761904762,0.432966198,8.9375,6.80952381,3.194736842,1.383213065,364.2,3.194736842,10.4,48.5,0.6938,0.3154,0.017
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,7,male,177,,,,22,,25,50.9,5,16.1,3.22,620.84,264.7,474.2,,,,,0.88,0.55820329,8.045454545,7.08,2.345447677,1.309236609,620.84,2.345447677,10.3,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,9,male,78,,,,26,,19.5,17.3,5,13.7,2.74,231.02,130.8,271.4,,,,,1.333333333,0.481945468,3,4,1.766207951,0.851215917,231.02,1.766207951,6.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,11,male,134,,,,14,,17.5,23.8,5,10.1,2.02,294.48,146.3,199.7,,,,,0.8,0.732598898,9.571428571,7.657142857,2.012850308,1.474611918,294.48,2.012850308,3.4,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,13,male,99,,,,23,,16.5,10.5,5,11.8,2.36,244.14,103.4,214.8,,,,,1.393939394,0.481378026,4.304347826,6,2.361121857,1.136592179,244.14,2.361121857,7,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,15,male,53,,,1,18,,16,3.5,5,13.3,2.66,144.48,131.7,194.5,,,,,1.125,0.677120823,2.944444444,3.3125,1.097038724,0.742827763,144.48,1.097038724,6.4,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,17,male,102,,,,7,,11,29.5,5,12.3,2.46,280.42,66.7,103.8,,,,,0.636363636,0.642581888,14.57142857,9.272727273,4.204197901,2.701541426,280.42,4.204197901,2.3,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,19,male,161,,,,27,,27.5,27.2,5,11,2.2,381.4,134.7,396,,,,,0.981818182,0.340151515,5.962962963,5.854545455,2.831477357,0.963131313,381.4,2.831477357,2.8,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,21,male,52,,,,9,,10,12.8,5,14.8,2.96,166.72,57.3,128.7,,,,,0.9,0.445221445,5.777777778,5.2,2.909598604,1.295415695,166.72,2.909598604,3.3,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,23,male,104,,,,16,,16,20.4,5,11.4,2.28,257.52,84.8,177.1,,,,,1,0.478825522,6.5,6.5,3.036792453,1.454093732,257.52,3.036792453,3,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,25,male,73,,,,22,,16,17.6,5,12.3,2.46,197.18,84.1,174.1,,,,,1.375,0.483055715,3.318181818,4.5625,2.344589774,1.13256749,197.18,2.344589774,1.7,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,27,male,128,,,1,7,,16,42.6,5,13.3,2.66,383.08,59.6,169.8,,,,,0.4375,0.351001178,18.28571429,8,6.427516779,2.25606596,383.08,6.427516779,6,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,29,male,105,,,,25,,17.5,36,5,12.9,2.58,306.9,133.9,252.2,,,,,1.428571429,0.530927835,4.2,6,2.292008962,1.216891356,306.9,2.292008962,3.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,31,male,58,,,1,17,,12.5,17.2,5,13.5,2.7,173.8,175.2,160.7,,,,,1.36,1.090230243,3.411764706,4.64,0.992009132,1.081518357,173.8,0.992009132,7.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,33,male,42,,,,18,,15,8.2,5,15.3,3.06,136.72,213.2,214.8,,,,,1.2,0.99255121,2.333333333,2.8,0.641275797,0.636499069,136.72,0.641275797,2.4,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,35,male,131,41,,1,16,7,17,51.7,5,14.1,2.82,421.12,225.2,244.9,5,0.0394,0.00788,0.2242,0.941176471,0.919559004,8.1875,7.705882353,1.869982238,1.719559004,421.12,1.869982238,7,11.5,0.1808,0.0243,0.017
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,37,male,187,24,,1,27,38,17.5,60.5,5,12.4,2.48,524.26,128.3,281.1,5,0.0395,0.0079,0.155,1.542857143,0.456421202,6.925925926,10.68571429,4.086204209,1.865030238,524.26,4.086204209,6.8,30,0.3264,0.1651,0.017
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,39,male,88,26,,1,25,46,18,9.4,5,10.4,2.08,192.44,63.6,260.3,5,0.0464,0.00928,0.1679,1.388888889,0.244333461,3.52,4.888888889,3.025786164,0.739300807,192.44,3.025786164,9,28.5,0.3939,0.1787,0.017
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,41,male,159,,,1,13,,19,55.8,5,12.6,2.52,456.48,73,221,,,,,0.684210526,0.330316742,12.23076923,8.368421053,6.253150685,2.065520362,456.48,6.253150685,4,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,43,male,93,,,,19,,21,74.3,5,15.6,3.12,364.46,370.6,300.8,,,,,0.904761905,1.232047872,4.894736842,4.428571429,0.983432272,1.211635638,364.46,0.983432272,2.3,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,45,male,127,61,,1,43,91,12,18.7,5,11.3,2.26,305.72,136.3,143.2,5,0.0656,0.01312,0.8009,3.583333333,0.951815642,2.953488372,10.58333333,2.242993397,2.134916201,305.72,2.242993397,5.4,23.5,0.3888,0.3809,0.0198
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,47,male,102,,,1,20,,12.5,15.9,5,12.4,2.48,268.86,63.2,153.4,,,,,1.6,0.411994785,5.1,8.16,4.254113924,1.752672751,268.86,4.254113924,8,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,49,male,152,11,,1,22,27,17.5,10.7,5,10.5,2.1,329.9,62,160,5,0.0423,0.00846,0.0813,1.257142857,0.3875,6.909090909,8.685714286,5.320967742,2.061875,329.9,5.320967742,18,14.5,0.0887,0.0628,0.009
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,51,male,75,73,,1,16,33,10,9.6,5,10.3,2.06,164.1,58.1,125.4,5,0.0522,0.01044,0.7715,1.6,0.463317384,4.6875,7.5,2.82444062,1.30861244,164.1,2.82444062,16,15.5,0.2288,0.146,0.0275
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,53,male,97,,,0,28,,10.5,5.3,5,12,2.4,238.1,76.7,151.3,,,,,2.666666667,0.506939855,3.464285714,9.238095238,3.104302477,1.573694646,238.1,3.104302477,8,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,55,male,67,12,,1,7,14,10,17.4,5,14.1,2.82,206.34,79.2,110.2,5,0.0488,0.00976,0.1383,0.7,0.718693285,9.571428571,6.7,2.60530303,1.872413793,206.34,2.60530303,9,14,0.1647,0.0749,0.0075
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,57,male,71,,,0,10,,12.5,8.5,5,13.5,2.7,200.2,10,135.8,,,,,0.8,0.073637703,7.1,5.68,20.02,1.474226804,200.2,20.02,8.5,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,59,male,30,9,,1,7,21,8.5,5.4,5,11.9,2.38,76.8,33.1,91.4,5,0.054,0.0108,0.1461,0.823529412,0.36214442,4.285714286,3.529411765,2.320241692,0.840262582,76.8,2.320241692,6.2,14.5,0.1518,0.0455,0.0025
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,61,male,35,13,,1,15,14,6.5,12.6,5,15.6,3.12,121.8,34.3,73.7,5,0.0725,0.0145,0.1746,2.307692308,0.465400271,2.333333333,5.384615385,3.551020408,1.652645862,121.8,3.551020408,2.8,6,0.053,0.0909,0.0063
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,63,male,107,38,,1,19,7,12,31.1,6,17,2.833333333,334.2666667,75.6,167.9,5,0.0627,0.01254,0.3914,1.583333333,0.450268017,5.631578947,8.916666667,4.421516755,1.99086758,334.2666667,4.421516755,8.1,6.5,0.0504,0.0654,0.023
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,65,male,36,12,,1,21,13,11,11.4,5,15.7,3.14,124.44,53.7,154.8,5,0.0501,0.01002,0.1301,1.909090909,0.346899225,1.714285714,3.272727273,2.317318436,0.803875969,124.44,2.317318436,5,8.5,0.0812,0.0962,0.0073
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,67,male,72,,,1,47,,9.5,5.6,5,14.6,2.92,215.84,146.5,159.2,,,,,4.947368421,0.920226131,1.531914894,7.578947368,1.47331058,1.355778894,215.84,1.47331058,2.4,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,69,male,120,10,,1,19,10,10.5,35.3,5,12.3,2.46,330.5,85.9,122,5,0.0585,0.0117,0.1122,1.80952381,0.704098361,6.315789474,11.42857143,3.84749709,2.709016393,330.5,3.84749709,9.7,5,0.0375,0.0349,0.0078
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,71,male,109,,,0,6,,7.5,18,5,12.5,2.5,290.5,32.5,92.3,,,,,0.8,0.352112676,18.16666667,14.53333333,8.938461538,3.147345612,290.5,8.938461538,3,,,,
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,73,male,60,19,,1,9,8,11,13,5,12.6,2.52,164.2,45.2,136.3,5,0.0594,0.01188,0.1983,0.818181818,0.331621423,6.666666667,5.454545455,3.632743363,1.204695525,164.2,3.632743363,7.4,5,0.0517,0.0214,0.0068
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,75,male,102,36,,1,18,24,16,45,5,12.6,2.52,302.04,31.5,250.1,4,0.0339,0.008475,0.2189,1.125,0.12594962,5.666666667,6.375,9.588571429,1.207676929,302.04,9.588571429,11,22.5,0.1917,0.0741,0.0453
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,77,male,98,44,,1,20,36,13.5,18.5,5,14.1,2.82,294.86,121.3,156.7,5,0.0441,0.00882,0.2473,1.481481481,0.774090619,4.9,7.259259259,2.430832646,1.881684748,294.86,2.430832646,8.8,14.5,0.1781,0.3341,0.0579
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,79,male,60,19,,1,12,10,14,15.1,5,11.5,2.3,153.1,123.2,183.9,5,0.0468,0.00936,0.1441,0.857142857,0.669929309,5,4.285714286,1.242694805,0.832517673,153.1,1.242694805,8.1,10,0.0972,0.0579,0.0113
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,81,male,69,18,,1,20,9,13.5,15.1,5,13.6,2.72,202.78,86.7,222.4,4,0.0392,0.0098,0.1053,1.481481481,0.389838129,3.45,5.111111111,2.338869666,0.911780576,202.78,2.338869666,3,9,0.1292,0.0469,0.0141
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,83,male,38,23,,1,33,61,13,11.9,5,14.9,2.98,125.14,151,131.2,5,0.0372,0.00744,0.1389,2.538461538,1.150914634,1.151515152,2.923076923,0.828741722,0.953810976,125.14,0.828741722,2.4,19,0.2586,0.2063,0.0046
Googong Foreshores ,-35.49617,149.26335,Gynatrix pulchella,flowering,2002,85,male,49,,,0,34,,15,7.1,5,10.4,2.08,109.02,173,224.2,,,,,2.266666667,0.771632471,1.441176471,3.266666667,0.63017341,0.486262266,109.02,0.63017341,5,,,,
