site,taxon,leaf area cm2,LMA (mg cm2),standard error LMA (mg cm2),lamina thickness (um),stomate_density (mm-2),upper cuticle thickness (um)
BunyipSP,Hedycarya angustifolia,21.47,7,0,242,147,1.8
BunyipSP,Acacia myrtifolia,0.2,28,3,580,109,15
BunyipSP,Acacia genistifolia,1.65,18,1,307,51,4.7
BunyipSP,Pultenea muelleri,0.22,8,0,123,405,3.2
BunyipSP,Pultenea weindorferi,0.09,10,0,200,182,3.5
BunyipSP,Boronia muelleri,2.93,7,2,201,250,4.5
BunyipSP,Correa reflexa,9.66,9,0,200,145,1.8
BunyipSP,Phebalium bilobum,1.32,9,0,213,267,5.3
BunyipSP,Zieria arborescens,35.4,6,1,164,133,2.3
BunyipSP,Pomaderris aspera,34.83,8,1,122,97,2.3
BunyipSP,Spyridium parvifolium,1.7,10,1,109,269,2.4
BunyipSP,Banksia marginata,2,26,1,259,136,6.5
BunyipSP,Banksia spinulosa,3.07,14,1,252,218,4.8
BunyipSP,Grevillea barklyana,41.21,15,1,234,161,14.7
BunyipSP,Hakea sericea,0.37,48,3,937,54,17.3
BunyipSP,Hakea ulicina,1.18,27,1,408,87,9
BunyipSP,Lomatia fraseri,31.69,14,1,273,191,2.9
BunyipSP,Prostanthera lasianthos,14.06,8,1,222,210,2.1
