taxon_name,trait_name,value_type,value,unit,original_name,observation_id,value_new
Abrus precatorius,seed_height,minimum,4.5,mm,Abrus precatorius,001,NA
Abrus precatorius,seed_height,maximum,6,mm,Abrus precatorius,001,NA
Acacia alleniana,seed_height,minimum,2.5,mm,Acacia alleniana,002,NA
Acacia alleniana,seed_height,maximum,2.5,mm,Acacia alleniana,002,NA
Acacia alleniana,seed_width,minimum,2.5,mm,Acacia alleniana,002,NA
Acacia alleniana,seed_width,maximum,2.5,mm,Acacia alleniana,002,NA
Acacia conspersa,seed_height,minimum,2,mm,Acacia conspersa,005,NA
Acacia conspersa,seed_height,maximum,3,mm,Acacia conspersa,005,NA
Acacia difficilis,seed_height,minimum,2.7,mm,Acacia difficilis,006,NA
Acacia difficilis,seed_height,maximum,3.7,mm,Acacia difficilis,006,NA
Acacia dimidiata,seed_height,minimum,3.5,mm,Acacia dimidiata,007,NA
Acacia dimidiata,seed_height,maximum,4,mm,Acacia dimidiata,007,NA
Vachellia farnesiana,leaf_width,minimum,2,mm,Acacia farnesiana,009,NA
Vachellia farnesiana,leaf_width,maximum,3.2,mm,Acacia farnesiana,009,NA
Vachellia farnesiana,seed_height,minimum,4.5,mm,Acacia farnesiana,009,NA
Vachellia farnesiana,seed_height,maximum,5.5,mm,Acacia farnesiana,009,NA
Vachellia farnesiana,seed_length,minimum,6,mm,Acacia farnesiana,009,NA
Acacia gonocarpa,seed_height,minimum,2.2,mm,Acacia gonocarpa,010,NA
Acacia gonocarpa,seed_height,maximum,2.5,mm,Acacia gonocarpa,010,NA
Acacia gonocarpa,seed_length,minimum,5,mm,Acacia gonocarpa,010,NA
Acacia gonocarpa,seed_width,minimum,2.2,mm,Acacia gonocarpa,010,NA
Acacia gonocarpa,seed_width,maximum,2.5,mm,Acacia gonocarpa,010,NA
Acacia helicophylla,seed_height,minimum,4,mm,Acacia helicophylla,011,NA
Acacia helicophylla,seed_height,maximum,4,mm,Acacia helicophylla,011,NA
Acacia helicophylla,seed_width,minimum,4,mm,Acacia helicophylla,011,NA
Acacia hemignosta,seed_height,minimum,5.5,mm,Acacia hemignosta,012,NA
Acacia hemignosta,seed_height,maximum,6.5,mm,Acacia hemignosta,012,NA
Acacia holosericea,seed_height,minimum,2,mm,Acacia holosericea,013,NA
Acacia holosericea,seed_height,maximum,3,mm,Acacia holosericea,013,NA
Acacia humifusa,seed_height,minimum,3,mm,Acacia humifusa,014,NA
Acacia humifusa,seed_height,maximum,3,mm,Acacia humifusa,014,NA
Acacia humifusa,seed_length,minimum,6.5,mm,Acacia humifusa,014,NA
Acacia humifusa,seed_width,minimum,3,mm,Acacia humifusa,014,NA
Acacia latescens,seed_height,minimum,5,mm,Acacia latescens,015,NA
Acacia latescens,seed_height,maximum,7,mm,Acacia latescens,015,NA
Acacia leptocarpa,seed_height,minimum,2,mm,Acacia leptocarpa,016,NA
Acacia leptocarpa,seed_height,maximum,3,mm,Acacia leptocarpa,016,NA
Acacia mimula,seed_height,minimum,7,mm,Acacia mimula,018,NA
Acacia mimula,seed_height,maximum,9,mm,Acacia mimula,018,NA
Acacia mimula,seed_length,minimum,10,mm,Acacia mimula,018,NA
Acacia mountfordiae,seed_height,minimum,3,mm,Acacia mountfordiae,019,NA
Acacia mountfordiae,seed_height,maximum,4,mm,Acacia mountfordiae,019,NA
Acacia multisiliqua,seed_height,minimum,2,mm,Acacia multisiliqua,020,NA
Acacia multisiliqua,seed_height,maximum,3,mm,Acacia multisiliqua,020,NA
Acacia nuperrima,seed_height,minimum,1.7,mm,Acacia nuperrima,021,NA
Acacia nuperrima,seed_height,maximum,2.2,mm,Acacia nuperrima,021,NA
Acacia oligoneura,seed_height,minimum,2,mm,Acacia oligoneura,022,NA
Acacia oligoneura,seed_height,maximum,2.5,mm,Acacia oligoneura,022,NA
Acacia oncinocarpa,seed_height,minimum,2,mm,Acacia oncinocarpa,023,NA
Acacia oncinocarpa,seed_height,maximum,3.5,mm,Acacia oncinocarpa,023,NA
Vachellia pallidifolia,seed_height,minimum,8.5,mm,Acacia pallidifolia,025,NA
Vachellia pallidifolia,seed_height,maximum,8.5,mm,Acacia pallidifolia,025,NA
Vachellia pallidifolia,seed_length,minimum,9,mm,Acacia pallidifolia,025,NA
Vachellia pallidifolia,seed_width,minimum,8.5,mm,Acacia pallidifolia,025,NA
Acacia pellita,seed_height,minimum,3,mm,Acacia pellita,026,NA
Acacia pellita,seed_height,maximum,4,mm,Acacia pellita,026,NA
Acacia platycarpa,seed_height,minimum,6,mm,Acacia platycarpa,027,NA
Acacia platycarpa,seed_height,maximum,7,mm,Acacia platycarpa,027,NA
Acacia plectocarpa,seed_height,minimum,2.5,mm,Acacia plectocarpa,028,NA
Acacia plectocarpa,seed_height,maximum,3.7,mm,Acacia plectocarpa,028,NA
Acacia praelongata,seed_height,minimum,5.5,mm,Acacia praelongata,029,NA
Acacia praelongata,seed_height,maximum,7,mm,Acacia praelongata,029,NA
Acacia praetermissa,seed_height,minimum,4,mm,Acacia praetermissa,030,NA
Acacia praetermissa,seed_height,maximum,4,mm,Acacia praetermissa,030,NA
Acacia praetermissa,seed_length,minimum,6,mm,Acacia praetermissa,030,NA
Acacia praetermissa,seed_width,minimum,4,mm,Acacia praetermissa,030,NA
Acacia tolmerensis,seed_height,minimum,7,mm,Acacia tolmerensis,031,NA
Acacia tolmerensis,seed_height,maximum,7.5,mm,Acacia tolmerensis,031,NA
Acacia torulosa,seed_height,minimum,3,mm,Acacia torulosa,032,NA
Acacia torulosa,seed_height,maximum,4.7,mm,Acacia torulosa,032,NA
Acacia umbellata,seed_height,minimum,2,mm,Acacia umbellata,033,NA
Acacia umbellata,seed_height,maximum,2.5,mm,Acacia umbellata,033,NA
Adenanthera pavonina,seed_length,minimum,8,mm,Adenanthera pavonina,038,NA
Adenanthera pavonina,seed_length,maximum,10,mm,Adenanthera pavonina,038,NA
Aeschynomene aspera,seed_height,minimum,4,mm,Aeschynomene aspera,041,NA
Aeschynomene aspera,seed_height,maximum,5,mm,Aeschynomene aspera,041,NA
Aeschynomene indica,seed_height,minimum,3,mm,Aeschynomene indica,042,NA
Aeschynomene indica,seed_height,maximum,3,mm,Aeschynomene indica,042,NA
Aeschynomene indica,seed_length,minimum,4,mm,Aeschynomene indica,042,NA
Aeschynomene indica,seed_width,minimum,3,mm,Aeschynomene indica,042,NA
Albizia canescens,seed_height,minimum,8.5,mm,Albizia canescens,043,NA
Albizia canescens,seed_height,maximum,8.5,mm,Albizia canescens,043,NA
Albizia canescens,seed_length,minimum,8.5,mm,Albizia canescens,043,NA
Albizia canescens,seed_length,maximum,8.5,mm,Albizia canescens,043,NA
Albizia canescens,seed_width,minimum,8.5,mm,Albizia canescens,043,NA
Albizia canescens,seed_width,maximum,8.5,mm,Albizia canescens,043,NA
Albizia lebbeck,seed_height,minimum,7,mm,Albizia lebbeck,044,NA
Albizia lebbeck,seed_height,maximum,7,mm,Albizia lebbeck,044,NA
Albizia lebbeck,seed_length,minimum,9,mm,Albizia lebbeck,044,NA
Albizia lebbeck,seed_width,minimum,7,mm,Albizia lebbeck,044,NA
Albizia lebbeck,seed_width,maximum,7,mm,Albizia lebbeck,044,NA
Alysicarpus schomburgkii,seed_height,minimum,1.2,mm,Alysicarpus glumaceus,048,NA
Alysicarpus schomburgkii,seed_height,maximum,1.8,mm,Alysicarpus glumaceus,048,NA
Alysicarpus muelleri,seed_height,minimum,1.8,mm,Alysicarpus rugosus,050,NA
Alysicarpus muelleri,seed_height,maximum,2,mm,Alysicarpus rugosus,050,NA
Antidesma ghaesembilla,seed_length,minimum,5,mm,Antidesma ghesaembilla,064,NA
Antidesma ghaesembilla,seed_length,maximum,6,mm,Antidesma ghesaembilla,064,NA
Antidesma ghaesembilla,seed_width,minimum,4,mm,Antidesma ghesaembilla,064,NA
Antidesma ghaesembilla,seed_width,maximum,4,mm,Antidesma ghesaembilla,064,NA
Aristolochia holtzei,seed_length,minimum,4,mm,Aristolochia holtzei,065,NA
Aristolochia pubera,seed_length,minimum,4,mm,Aristolochia pubera,066,NA
Austrodolichos errabundus,seed_height,minimum,3,mm,Austrodolichos errabundus,071,NA
Austrodolichos errabundus,seed_height,maximum,3.5,mm,Austrodolichos errabundus,071,NA
Banksia dentata,seed_length,minimum,11,mm,Banksia dentata,072,NA
Bergia pedicellaris,seed_height,minimum,0.1,mm,Bergia pedicellaris,076,NA
Bergia pedicellaris,seed_height,maximum,0.15,mm,Bergia pedicellaris,076,NA
Bergia pedicellaris,seed_length,minimum,0.25,mm,Bergia pedicellaris,076,NA
Bergia pedicellaris,seed_width,minimum,0.1,mm,Bergia pedicellaris,076,NA
Bergia pedicellaris,seed_width,maximum,0.15,mm,Bergia pedicellaris,076,NA
Bergia pusilla,seed_height,minimum,0.1,mm,Bergia pusilla,077,NA
Bergia pusilla,seed_height,maximum,0.1,mm,Bergia pusilla,077,NA
Bergia pusilla,seed_length,minimum,0.3,mm,Bergia pusilla,077,NA
Bergia pusilla,seed_width,minimum,0.1,mm,Bergia pusilla,077,NA
Berrya javanica,seed_height,minimum,4,mm,Berrya javanica,078,NA
Berrya javanica,seed_height,maximum,5,mm,Berrya javanica,078,NA
Boerhavia albiflora,leaf_length,minimum,62,mm,Boerhavia albiflora,079,NA
Boerhavia albiflora,leaf_width,minimum,42,mm,Boerhavia albiflora,079,NA
Boerhavia burbidgeana,leaf_length,minimum,40,mm,Boerhavia burbidgeana,080,NA
Boerhavia burbidgeana,leaf_width,minimum,19,mm,Boerhavia burbidgeana,080,NA
Boerhavia coccinea,leaf_length,minimum,55,mm,Boerhavia coccinea,081,NA
Boerhavia coccinea,leaf_width,minimum,28,mm,Boerhavia coccinea,081,NA
Boerhavia gardneri,leaf_length,minimum,35,mm,Boerhavia gardneri,082,NA
Boerhavia gardneri,leaf_width,minimum,20,mm,Boerhavia gardneri,082,NA
Bossiaea bossiaeoides,leaf_width,minimum,15,mm,Bossiaea bossiaeoides,084,NA
Bossiaea bossiaeoides,leaf_width,maximum,55,mm,Bossiaea bossiaeoides,084,NA
Bossiaea bossiaeoides,seed_height,minimum,2.5,mm,Bossiaea bossiaeoides,084,NA
Bossiaea bossiaeoides,seed_height,maximum,2.5,mm,Bossiaea bossiaeoides,084,NA
Bossiaea bossiaeoides,seed_length,minimum,4,mm,Bossiaea bossiaeoides,084,NA
Bossiaea bossiaeoides,seed_width,minimum,2.5,mm,Bossiaea bossiaeoides,084,NA
Breynia cernua,seed_length,minimum,4,mm,Breynia cernua,085,NA
Byblis aquatica,seed_height,minimum,0.8,mm,Byblis aquatica,088,NA
Byblis aquatica,seed_width,minimum,0.8,mm,Byblis aquatica,088,NA
Cajanus acutifolius,seed_height,minimum,3,mm,Cajanus acutifolius,091,NA
Cajanus acutifolius,seed_height,maximum,3.5,mm,Cajanus acutifolius,091,NA
Cajanus marmoratus,seed_height,minimum,4.5,mm,Cajanus marmoratus,094,NA
Cajanus marmoratus,seed_height,maximum,4.5,mm,Cajanus marmoratus,094,NA
Callitris intratropica,leaf_length,minimum,2,mm,Callitris intratropica,098,NA
Callitris intratropica,seed_length,minimum,4,mm,Callitris intratropica,098,NA
Callitris intratropica,seed_length,maximum,4,mm,Callitris intratropica,098,NA
Calophyllum soulattri,plant_height,maximum,20,m,Calophyllum soulattri,101,NA
Camptostemon schultzii,leaf_length,minimum,35,mm,Camptostemon schultzii,106,NA
Camptostemon schultzii,leaf_length,maximum,145,mm,Camptostemon schultzii,106,NA
Camptostemon schultzii,leaf_width,minimum,10,mm,Camptostemon schultzii,106,NA
Camptostemon schultzii,leaf_width,maximum,50,mm,Camptostemon schultzii,106,NA
Camptostemon schultzii,seed_length,minimum,10,mm,Camptostemon schultzii,106,NA
Canavalia cathartica,seed_height,minimum,11,mm,Canavalia cathartica,107,NA
Canavalia cathartica,seed_height,maximum,11,mm,Canavalia cathartica,107,NA
Canavalia cathartica,seed_length,minimum,15,mm,Canavalia cathartica,107,NA
Canavalia cathartica,seed_width,minimum,11,mm,Canavalia cathartica,107,NA
Canavalia cathartica,seed_width,maximum,11,mm,Canavalia cathartica,107,NA
Capparis quiniflora,seed_length,minimum,6,mm,Capparis quiniflora,111,NA
Cassytha candida,seed_height,minimum,4.5,mm,Cassytha candida,115,NA
