species_name,individual,fresh_mass_g,leaf_area_mm2,dry_mass_mg,leaflet_area_mm2,sla_mm2_mg,ldmc,replicates,stem_dry_mass_mg,stem_volume_mm3,wood_density_mg_mm3,root_dry_mass_g,root_dry_mass_mg,root_length_m,root_volume_mm3,srl_m_g,rtd_mg_mm3,site_name
ACLA,1,0.4972,1382.466667,129.9,1382.466667,10.6444265,259.9713068,3,672.6,890,0.755730337,0.0983,98.3,1.765869,313,17.96407935,0.314057508,Oxley Creek Common
ACLA,2,0.5661,1303.233333,133.9333333,1303.233333,9.770962859,236.6320395,3,801.6,1100,0.728727273,0.0801,80.1,2.07358,368,25.88739076,0.217663043,Oxley Creek Common
ACLA,3,0.5797,1799,131.9333333,1799,13.75803946,226.0516234,3,337.1,480,0.702291667,0.0516,51.6,2.107532,271,40.84364341,0.190405904,Oxley Creek Common
ACLA,4,0.362633333,1015.666667,85.23333333,1015.666667,11.92919974,235.0939497,3,405.2,580,0.69862069,0.2071,207.1,5.363126,735,25.89631096,0.281768707,Oxley Creek Common
ACLA,5,0.559833333,1698.133333,125.5333333,1698.133333,13.49021268,224.4618062,3,326.2,470,0.694042553,0.0294,29.4,1.6375,177,55.69727891,0.166101695,Oxley Creek Common
ACLE,1,0.4556,1554.066667,121.6,1554.066667,12.7928181,266.8145036,3,185.8,370,0.502162162,0.0202,20.2,3.14821,89,155.8519802,0.226966292,Oxley Creek Common
ACLE,2,0.385333333,1418.466667,93.13333333,1418.466667,15.21219587,241.6953527,3,169,350,0.482857143,0.016,16,2.778855,130,173.6784375,0.123076923,Oxley Creek Common
ACLE,3,0.489633333,1636.966667,113.7,1636.966667,14.42120759,232.7707368,3,159.3,440,0.362045455,0.0129,12.9,2.538247,85,196.7633333,0.151764706,Oxley Creek Common
ACLE,4,0.3608,1307.166667,95,1307.166667,13.78867739,263.0818779,3,167.8,270,0.621481481,0.0404,40.4,4.601787,252,113.9056188,0.16031746,Oxley Creek Common
ACLE,5,0.3324,1140.766667,88,1140.766667,12.95761387,264.4562868,3,110.1,240,0.45875,0.0122,12.2,1.407261,80,115.3492623,0.1525,Oxley Creek Common
ALEX,1,0.2107,1513.85,73.25,1513.85,20.8921716,346.8228268,2,74.9,120,0.624166667,0.0289,28.9,1.0833,151,37.48442907,0.191390728,Oxley Creek Common
ALEX,2,0.20405,1312.7,65.75,1312.7,19.79980156,321.924226,2,71.6,130,0.550769231,0.0287,28.7,1.416224,166,49.34578397,0.172891566,Oxley Creek Common
