var_name,character,unit
SLA (cm2/g),specific leaf area,cm2/g
WD (g/cm3),wd,g/cm3
LA/SA (cm2/cm2),LA/SA,cm2/cm2
Kh (kg*m/Mpa*s),Kh,kg*m/Mpa*s
Ks,Ks,
Kl,Kl,
