original_term,fruit_type,fruit_dehiscence,fruit_fleshiness,dispersal_appendage,fruit_texture,dispersal_syndrome
berry,,,,,,
legume,,,,,,
achene,,,,,,
capsule,,,,,,
cypsela,achene,,,,,
drupe,,,,,,
nut/winged,nut,,,wings,,
utricle,,,,,,
follicle,,,,,,
utricle/spiny,utricle,,,,spiny,
anthocarp/nut,anthocarp nut,indehiscent,dry,,,
schizocarp,,,,,,
nut,,,,,,
utricle/p.fleshy,utricle,,fleshy,,,
capsule/sds (wing),capsule,,,wings,,
achnene,achene,,,,,
legume/indeh,legume_indehiscent,,,,,
drupe/end-elast,drupe,,,,,
anthocarp/viscid,anthocarp,,,,,
nutlet,,,,,,
utrticle,utricle,,,,,
legindehiscent,legume_indehiscent,,,,,
drupe/fibrous,drupe,,,,,
"capsule/sd, aril",capsule,,,aril,,
capsule/explosive,capsule,,,,,explosive
berry/inf,berry,,,,,
