name_original,raw_trait_value,trait,units
Plectranthus alloplectus,0.104,volume seed,mm3
Plantago debilis,0.109,volume seed,mm3
Nicotiana megalosiphon,0.1131,volume seed,mm3
Melaleuca incana,0.1152,volume seed,mm3
Cotula coronopifolia,0.1173,volume seed,mm3
Logania ovata,0.1225,volume seed,mm3
Eucalyptus curtisii,0.1258,volume seed,mm3
Drosera eryrthrorhiza,0.1319,volume seed,mm3
Logania scrabrella,0.1319,volume seed,mm3
Drosera bulbosa,0.1414,volume seed,mm3
Hydrocotyle verticillata,0.1508,volume seed,mm3
Logania fasciculata,0.1532,volume seed,mm3
Logania minor,0.1532,volume seed,mm3
Vernonia cinerea,0.159,volume seed,mm3
Melaleuca thymifolia,0.1677,volume seed,mm3
Cuphanotus andreanus,0.1729,volume seed,mm3
Logania stenophylla,0.1769,volume seed,mm3
Plectranthus parviflorus,0.189,volume seed,mm3
Helichrysum ledifolium,0.1965,volume seed,mm3
Peperomia leptostachya,0.2,volume seed,mm3
Leptospermum liversidgei,0.2199,volume seed,mm3
Spermacoce brachystemma,0.2262,volume seed,mm3
Beaufortia orbifolia,0.2346,volume seed,mm3
Eucalyptus argophloia,0.2356,volume seed,mm3
Oxalis corniculatus,0.2356,volume seed,mm3
Chenopodium cristatum,0.2358,volume seed,mm3
Eucalyptus normantonensis,0.2513,volume seed,mm3
Youngia japonica,0.256,volume seed,mm3
Callistemon sieberi,0.2592,volume seed,mm3
Callistemon viminalis,0.2592,volume seed,mm3
Alternanthera denticulata,0.2675,volume seed,mm3
Drosera arcturi,0.2723,volume seed,mm3
Randia sessiliflorus,0.277,volume seed,mm3
Ranunculus sessiliflorus,0.277,volume seed,mm3
Holosarcia indica,0.2827,volume seed,mm3
Phyllanthus tenellus,0.288,volume seed,mm3
Eucalyptus propinqua,0.2882,volume seed,mm3
Scleranthus biflorus,0.2934,volume seed,mm3
Hydrocotyle pedicellosa,0.3,volume seed,mm3
Solanum aviculare,0.3,volume seed,mm3
Eucalypyus porosa,0.3016,volume seed,mm3
Richardia stellaris,0.3142,volume seed,mm3
Galium nigricans,0.323,volume seed,mm3
Calythrix tetragona,0.3272,volume seed,mm3
Eucalyptus melanophloia,0.331,volume seed,mm3
Cyathodes parvifolia,0.34,volume seed,mm3
