name_original,raw_trait_value,trait,units
Mackinlaya macrosciadea,berry,fruit type,CATEGORICAL
Memecylon pauciflorum,berry,fruit type,CATEGORICAL
Peperomia leptostachya,berry,fruit type,CATEGORICAL
Peperomia tetraphylla,berry,fruit type,CATEGORICAL
Pernettya lanceolata,berry,fruit type,CATEGORICAL
Pilidiostigma rhytispermum,berry,fruit type,CATEGORICAL
Planchonella australis,berry,fruit type,CATEGORICAL
Randia chartacea,berry,fruit type,CATEGORICAL
Randia sessilis,berry,fruit type,CATEGORICAL
Randia sessiliflorus,berry,fruit type,CATEGORICAL
Rhagodia nutans,berry,fruit type,CATEGORICAL
Rhagodia spinescens,berry,fruit type,CATEGORICAL
Siphonodon australis,berry,fruit type,CATEGORICAL
Solanum aviculare,berry,fruit type,CATEGORICAL
Solanum densivestitum,berry,fruit type,CATEGORICAL
Syzygium alatoramulum,berry,fruit type,CATEGORICAL
Syzygium alliilignium,berry,fruit type,CATEGORICAL
Syzygium angophoroides,berry,fruit type,CATEGORICAL
Syzygium apodophyllum,berry,fruit type,CATEGORICAL
Syzygium argyropdium,berry,fruit type,CATEGORICAL
Syzygium armstrongii,berry,fruit type,CATEGORICAL
Syzygium australe,berry,fruit type,CATEGORICAL
Syzygium bamagense,berry,fruit type,CATEGORICAL
Syzygium banksii,berry,fruit type,CATEGORICAL
Syzygium bleerseri,berry,fruit type,CATEGORICAL
Syzygium booje,berry,fruit type,CATEGORICAL
Syzygium branderhorstii,berry,fruit type,CATEGORICAL
Syzygium buettneranum,berry,fruit type,CATEGORICAL
Syzygium bungadinnia,berry,fruit type,CATEGORICAL
Syzygium canicortis,berry,fruit type,CATEGORICAL
Syzygium coolminianum,berry,fruit type,CATEGORICAL
Syzygium cormiflorum,berry,fruit type,CATEGORICAL
Syzygium corynanthum,berry,fruit type,CATEGORICAL
Syzygium crebrinerve,berry,fruit type,CATEGORICAL
Syzygium danesiei,berry,fruit type,CATEGORICAL
Syzygium endophloium,berry,fruit type,CATEGORICAL
Syzygium erythrocalyx,berry,fruit type,CATEGORICAL
Syzygium erythrodoxum,berry,fruit type,CATEGORICAL
Syzygium eucalyptoides,berry,fruit type,CATEGORICAL
Syzygium fibrosum,berry,fruit type,CATEGORICAL
Syzygium forte,berry,fruit type,CATEGORICAL
Syzygium francisii,berry,fruit type,CATEGORICAL
Syzygium gustavioides,berry,fruit type,CATEGORICAL
Syzygium kuranda,berry,fruit type,CATEGORICAL
Syzygium luehmannii,berry,fruit type,CATEGORICAL
Syzygium macilwraith.,berry,fruit type,CATEGORICAL
Syzygium malaccense,berry,fruit type,CATEGORICAL
Syzygium minutiflorum,berry,fruit type,CATEGORICAL
Syzygium mootei,berry,fruit type,CATEGORICAL
Syzygium oleosum,berry,fruit type,CATEGORICAL
Syzygium operculatum,berry,fruit type,CATEGORICAL
Syzygium paniculatum,berry,fruit type,CATEGORICAL
Syzygium papyraceum,berry,fruit type,CATEGORICAL
Syzygium pseudofastig.,berry,fruit type,CATEGORICAL
Syzygium puberulum,berry,fruit type,CATEGORICAL
Syzygium rubrimolle,berry,fruit type,CATEGORICAL
Syzygium sayeri,berry,fruit type,CATEGORICAL
Syzygium sharmae,berry,fruit type,CATEGORICAL
Syzygium suborbiculare,berry,fruit type,CATEGORICAL
Syzygium tierneyanum,berry,fruit type,CATEGORICAL
Syzygium trachyphloia,berry,fruit type,CATEGORICAL
Syzygium velae,berry,fruit type,CATEGORICAL
Syzygium wex,berry,fruit type,CATEGORICAL
Syzygium wilsonii,berry,fruit type,CATEGORICAL
Syzygium xerampilum,berry,fruit type,CATEGORICAL
Waterhousea floribunda,berry/inf,fruit type,CATEGORICAL
Waterhousea hedraiaphylla,berry/inf,fruit type,CATEGORICAL
Waterhousea mulgraveana,berry/inf,fruit type,CATEGORICAL
Waterhousea unipunctata,berry/inf,fruit type,CATEGORICAL
Acalypha nemorum,capsule,fruit type,CATEGORICAL
Actephila lindleyi,capsule,fruit type,CATEGORICAL
Alchornea ilicifolia,capsule,fruit type,CATEGORICAL
Alectryon repando.,capsule,fruit type,CATEGORICAL
Alectryon cornatus,capsule,fruit type,CATEGORICAL
Alectryon tomentosus,capsule,fruit type,CATEGORICAL
Aleurites moluccana,capsule,fruit type,CATEGORICAL
Ammannia multiflora,capsule,fruit type,CATEGORICAL
Angophora floribunda,capsule,fruit type,CATEGORICAL
Angophora woodsiana,capsule,fruit type,CATEGORICAL
Asteromyrtus symphio.,capsule,fruit type,CATEGORICAL
Avicennia marina,capsule,fruit type,CATEGORICAL
Baloghia lucida,capsule,fruit type,CATEGORICAL
Banksia oblongifolia,capsule,fruit type,CATEGORICAL
Barklya syringifolia,capsule,fruit type,CATEGORICAL
Bertya gummifera,capsule,fruit type,CATEGORICAL
Bertya pinifolia,capsule,fruit type,CATEGORICAL
Beyeria leschenaultii,capsule,fruit type,CATEGORICAL
Brachychiton acerifolius,capsule,fruit type,CATEGORICAL
Brachychiton australis,capsule,fruit type,CATEGORICAL
Brachychiton collinus,capsule,fruit type,CATEGORICAL
Brachychiton compactus,capsule,fruit type,CATEGORICAL
Brachychiton diversifolius,capsule,fruit type,CATEGORICAL
Brachychiton obtusilobus,capsule,fruit type,CATEGORICAL
Brachychiton populneus,capsule,fruit type,CATEGORICAL
Brachychiton rupestris,capsule,fruit type,CATEGORICAL
Bursaria spinosa,capsule,fruit type,CATEGORICAL
Calandrinia eremaea,capsule,fruit type,CATEGORICAL
Callistemon pachyphyllus,capsule,fruit type,CATEGORICAL
Callistemon phoeniceus,capsule,fruit type,CATEGORICAL
Callistemon polandii,capsule,fruit type,CATEGORICAL
Callistemon pungens,capsule,fruit type,CATEGORICAL
Callistemon salignus,capsule,fruit type,CATEGORICAL
Callistemon sieberi,capsule,fruit type,CATEGORICAL
Callistemon subulatus,capsule,fruit type,CATEGORICAL
Callistemon viminalis,capsule,fruit type,CATEGORICAL
Calothamnus quadrifidus,capsule,fruit type,CATEGORICAL
Calothamnus lomatophyllus,capsule,fruit type,CATEGORICAL
Castanospermum australe,capsule,fruit type,CATEGORICAL
Comesperma defoliatum,capsule,fruit type,CATEGORICAL
Cossinia australina,capsule,fruit type,CATEGORICAL
Crassula sieberiana,capsule,fruit type,CATEGORICAL
Cupaniopsis anarcardioides,capsule,fruit type,CATEGORICAL
Cuphanotus andreanus,capsule,fruit type,CATEGORICAL
Denhamia celastroides,capsule,fruit type,CATEGORICAL
Dodonaea viscosa,capsule,fruit type,CATEGORICAL
Drosera arcturi,capsule,fruit type,CATEGORICAL
Drosera binata,capsule,fruit type,CATEGORICAL
Drosera bulbosa,capsule,fruit type,CATEGORICAL
Drosera burmanii,capsule,fruit type,CATEGORICAL
Drosera eryrthrorhiza,capsule,fruit type,CATEGORICAL
Drosera indica,capsule,fruit type,CATEGORICAL
Drosera peltata,capsule,fruit type,CATEGORICAL
Drosera spatulata,capsule,fruit type,CATEGORICAL
Drosera stolonifera,capsule,fruit type,CATEGORICAL
Elatine gratiolioides,capsule,fruit type,CATEGORICAL
Epacris obtusifolius,capsule,fruit type,CATEGORICAL
Epilobium billardieranum,capsule,fruit type,CATEGORICAL
Eucalyptus argophloia,capsule,fruit type,CATEGORICAL
Eucalyptus barberi,capsule,fruit type,CATEGORICAL
Eucalyptus baxteri,capsule,fruit type,CATEGORICAL
Eucalyptus camaldulensis,capsule,fruit type,CATEGORICAL
Eucalyptus cloeziana,capsule,fruit type,CATEGORICAL
Eucalyptus cosmophylla,capsule,fruit type,CATEGORICAL
Eucalyptus curtisii,capsule,fruit type,CATEGORICAL
Eucalyptus decorticans,capsule,fruit type,CATEGORICAL
Eucalyptus drepanophylla,capsule,fruit type,CATEGORICAL
Eucalyptus erythrocorys,capsule,fruit type,CATEGORICAL
Eucalyptus intermedia,capsule,fruit type,CATEGORICAL
Eucalyptus ficifolia,capsule,fruit type,CATEGORICAL
Eucalyptus gunnii,capsule,fruit type,CATEGORICAL
Eucalyptus lansdowneana,capsule,fruit type,CATEGORICAL
Eucalyptus macrorhyncha,capsule,fruit type,CATEGORICAL
Eucalyptus maculata,capsule,fruit type,CATEGORICAL
Eucalyptus megacornuta,capsule,fruit type,CATEGORICAL
Eucalyptus melanophloia,capsule,fruit type,CATEGORICAL
Eucalyptus mensalis,capsule,fruit type,CATEGORICAL
Eucalyptus microcarpa,capsule,fruit type,CATEGORICAL
Eucalyptus microcorys,capsule,fruit type,CATEGORICAL
Eucalyptus normantonensis,capsule,fruit type,CATEGORICAL
Eucalyptus obliqua,capsule,fruit type,CATEGORICAL
Eucalyptus planchoniana,capsule,fruit type,CATEGORICAL
Eucalypyus porosa,capsule,fruit type,CATEGORICAL
Eucalyptus propinqua,capsule,fruit type,CATEGORICAL
Eucalyptus ptychocarpa,capsule,fruit type,CATEGORICAL
Eucalyptus robusta,capsule,fruit type,CATEGORICAL
Eucalyptus rubida,capsule,fruit type,CATEGORICAL
Eucalyptus sideroxylon,capsule,fruit type,CATEGORICAL
Eucalyptus socialis,capsule,fruit type,CATEGORICAL
Eucalyptus tenuipes,capsule,fruit type,CATEGORICAL
Eucalyptus tereticornis,capsule,fruit type,CATEGORICAL
Eucalyptus torelliana,capsule,fruit type,CATEGORICAL
Eucalyptus torquata,capsule,fruit type,CATEGORICAL
Eucalyptus umbra,capsule,fruit type,CATEGORICAL
Eucalyptus viminalis,capsule,fruit type,CATEGORICAL
Euodia elleryana,capsule,fruit type,CATEGORICAL
Excocaria agallochia,capsule,fruit type,CATEGORICAL
Gaultheria hispida,capsule,fruit type,CATEGORICAL
Goodia latifolia,capsule,fruit type,CATEGORICAL
Goodenia leiosperma,capsule,fruit type,CATEGORICAL
Goodenia rotundifolia,capsule,fruit type,CATEGORICAL
Grevillea robusta,capsule,fruit type,CATEGORICAL
Hardenbergia violacea,capsule,fruit type,CATEGORICAL
Harpullia pendula,capsule,fruit type,CATEGORICAL
Hedyotis corymbosa,capsule,fruit type,CATEGORICAL
Hedyotis trachymenoides,capsule,fruit type,CATEGORICAL
Hibbertia scandens,capsule,fruit type,CATEGORICAL
Hymenosporum flavum,capsule,fruit type,CATEGORICAL
Hypericum graminifolium,capsule,fruit type,CATEGORICAL
Indigofera australis,capsule,fruit type,CATEGORICAL
Indigofera fruticosa,capsule,fruit type,CATEGORICAL
Indigofera linifolia,capsule,fruit type,CATEGORICAL
Jagera pseudorhus,capsule,fruit type,CATEGORICAL
Justicia peploides,capsule,fruit type,CATEGORICAL
Kunzea flavescens,capsule,fruit type,CATEGORICAL
Kunzea parvifolia,capsule,fruit type,CATEGORICAL
Lambertia formosa,capsule,fruit type,CATEGORICAL
Lepidium oxytrichum,capsule,fruit type,CATEGORICAL
Leptospermum liversidgei,capsule,fruit type,CATEGORICAL
Leptospermum petersonii,capsule,fruit type,CATEGORICAL
Lophostemon confertus,capsule,fruit type,CATEGORICAL
Lysiphyllum carronii,capsule,fruit type,CATEGORICAL
Melaleuca arcana,capsule,fruit type,CATEGORICAL
Melaleuca armillaris,capsule,fruit type,CATEGORICAL
Melaleuca bracteata,capsule,fruit type,CATEGORICAL
Melaleuca capitata,capsule,fruit type,CATEGORICAL
Melaleuca dealbata,capsule,fruit type,CATEGORICAL
Melaleuca decora,capsule,fruit type,CATEGORICAL
Melaleuca decussata,capsule,fruit type,CATEGORICAL
Melaleuca ericifolia,capsule,fruit type,CATEGORICAL
Melaleuca fulgens,capsule,fruit type,CATEGORICAL
Melaleuca globifera,capsule,fruit type,CATEGORICAL
Melaleuca hypericifolia,capsule,fruit type,CATEGORICAL
Melaleuca incana,capsule,fruit type,CATEGORICAL
Melaleuca nodosa,capsule,fruit type,CATEGORICAL
Melaleuca quinque.,capsule,fruit type,CATEGORICAL
Melaleuca thymifolia,capsule,fruit type,CATEGORICAL
Nicotiana megalosiphon,capsule,fruit type,CATEGORICAL
Omalanthus populifolius,capsule,fruit type,CATEGORICAL
Oxalis corniculatus,capsule,fruit type,CATEGORICAL
Pandorea jasminoides,capsule,fruit type,CATEGORICAL
Phyllanthus maderaspatensis,capsule,fruit type,CATEGORICAL
Phyllanthus subcrenulatus,capsule,fruit type,CATEGORICAL
Phyllanthus tenellus,capsule,fruit type,CATEGORICAL
Phyllanthus virgatus,capsule,fruit type,CATEGORICAL
Pithecolobium muellerana,capsule,fruit type,CATEGORICAL
Pittosporum bicolor,capsule,fruit type,CATEGORICAL
Pittosporum ferrugineum,capsule,fruit type,CATEGORICAL
Pittosporum revolutum,capsule,fruit type,CATEGORICAL
Pittosporum undulatum,capsule,fruit type,CATEGORICAL
Plantago debilis,capsule,fruit type,CATEGORICAL
Polymeria calycina,capsule,fruit type,CATEGORICAL
Portulaca oleracea,capsule,fruit type,CATEGORICAL
Ruellia australis,capsule,fruit type,CATEGORICAL
Spermacoce brachystemma,capsule,fruit type,CATEGORICAL
Stylidium graminifolium,capsule,fruit type,CATEGORICAL
Syncarpia glomulifera,capsule,fruit type,CATEGORICAL
Syncarpia hillii,capsule,fruit type,CATEGORICAL
Synoum glandulosum,capsule,fruit type,CATEGORICAL
Tillaea sieberiana,capsule,fruit type,CATEGORICAL
Wahlenbergia tumidif.,capsule,fruit type,CATEGORICAL
Weinmannia lachnocarpa,capsule,fruit type,CATEGORICAL
Xanthostemon chrysanthos,capsule,fruit type,CATEGORICAL
Zieria microflora,capsule,fruit type,CATEGORICAL
Zieria smithii,capsule,fruit type,CATEGORICAL
Viola hederacea,capsule/explosive,fruit type,CATEGORICAL
Toechima dasyrrhache,"capsule/sd, aril",fruit type,CATEGORICAL
Toechima pterocarpum,"capsule/sd, aril",fruit type,CATEGORICAL
Hippocratea australis,capsule/sds (wing),fruit type,CATEGORICAL
Acomis acoma,cypsela,fruit type,CATEGORICAL
Brachyscome ciliaris,cypsela,fruit type,CATEGORICAL
Calotis dentex,cypsela,fruit type,CATEGORICAL
Calotis hispidula,cypsela,fruit type,CATEGORICAL
Calotis lappulacea,cypsela,fruit type,CATEGORICAL
Calotis squamigera,cypsela,fruit type,CATEGORICAL
Cotula australis,cypsela,fruit type,CATEGORICAL
Cotula coronopifolia,cypsela,fruit type,CATEGORICAL
Eclipta prostrata,cypsela,fruit type,CATEGORICAL
Gnaphalium lut-alb,cypsela,fruit type,CATEGORICAL
Helichrysum bracteatum,cypsela,fruit type,CATEGORICAL
Helichrysum ledifolium,cypsela,fruit type,CATEGORICAL
Helichrysum ramossisimum,cypsela,fruit type,CATEGORICAL
Leptorhynchos squamatus,cypsela,fruit type,CATEGORICAL
Nablonium calyceroides,cypsela,fruit type,CATEGORICAL
Olearia nernstii,cypsela,fruit type,CATEGORICAL
Olearia phlogopappa,cypsela,fruit type,CATEGORICAL
Sigesbeckia orientalis,cypsela,fruit type,CATEGORICAL
Solenogyne bellioides,cypsela,fruit type,CATEGORICAL
Vernonia cinerea,cypsela,fruit type,CATEGORICAL
Vittadenia dissecta,cypsela,fruit type,CATEGORICAL
Youngia japonica,cypsela,fruit type,CATEGORICAL
Acronychia laevis,drupe,fruit type,CATEGORICAL
Alphitonia excelsa,drupe,fruit type,CATEGORICAL
Aphananthe philippensis,drupe,fruit type,CATEGORICAL
Callicarpa pedunculata,drupe,fruit type,CATEGORICAL
Cryptocarya triplinervis,drupe,fruit type,CATEGORICAL
Elaeocarpus carnea,drupe,fruit type,CATEGORICAL
Elaeocarpus grandis,drupe,fruit type,CATEGORICAL
Erythroxylum australe,drupe,fruit type,CATEGORICAL
Grewia latifolius,drupe,fruit type,CATEGORICAL
Guilfoylia monostylis,drupe,fruit type,CATEGORICAL
Hemicyclia australasica,drupe,fruit type,CATEGORICAL
Melia azedarach,drupe,fruit type,CATEGORICAL
Monotoca elliptica,drupe,fruit type,CATEGORICAL
Persoonia cornifolia,drupe,fruit type,CATEGORICAL
Persoonia gunnii,drupe,fruit type,CATEGORICAL
Persoonia virgata,drupe,fruit type,CATEGORICAL
Phaleria clerodendron,drupe,fruit type,CATEGORICAL
Phaleria octandra,drupe,fruit type,CATEGORICAL
Pleiogynium timorense,drupe,fruit type,CATEGORICAL
Polyscias australiana,drupe,fruit type,CATEGORICAL
Polyscias elegans,drupe,fruit type,CATEGORICAL
Psychotria loniceroides,drupe,fruit type,CATEGORICAL
Rubus rosifolius,drupe,fruit type,CATEGORICAL
Stephania japonica,drupe,fruit type,CATEGORICAL
Trema aspera,drupe,fruit type,CATEGORICAL
Trochocarpa laurina,drupe,fruit type,CATEGORICAL
Petalostigma pubescens,drupe/end-elast,fruit type,CATEGORICAL
Terminalia catappa,drupe/fibrous,fruit type,CATEGORICAL
Banksia integrifolia,follicle,fruit type,CATEGORICAL
Grevillea obliquistigma,follicle,fruit type,CATEGORICAL
Grevillea pteridifolia,follicle,fruit type,CATEGORICAL
Hakea actites,follicle,fruit type,CATEGORICAL
Macadamia ternifolia,follicle,fruit type,CATEGORICAL
Stenocarpus sinuatus,follicle,fruit type,CATEGORICAL
Pongamia pinnata,legindehiscent,fruit type,CATEGORICAL
Abrus precatorius,legume,fruit type,CATEGORICAL
Acacia accola,legume,fruit type,CATEGORICAL
Acacia alata,legume,fruit type,CATEGORICAL
Acacia aneura,legume,fruit type,CATEGORICAL
Acacia armata,legume,fruit type,CATEGORICAL
Acacia aspera,legume,fruit type,CATEGORICAL
Acacia aulocarpa,legume,fruit type,CATEGORICAL
Acacia binervata,legume,fruit type,CATEGORICAL
Acacia buxifolia,legume,fruit type,CATEGORICAL
Acacia chalkeri,legume,fruit type,CATEGORICAL
Acacia complanata,legume,fruit type,CATEGORICAL
Acacia crassiuscula,legume,fruit type,CATEGORICAL
Acacia cunninghamii,legume,fruit type,CATEGORICAL
Acacia dawsoni,legume,fruit type,CATEGORICAL
Acacia falcata,legume,fruit type,CATEGORICAL
Acacia fimbriata,legume,fruit type,CATEGORICAL
Acacia flocktoniae,legume,fruit type,CATEGORICAL
Acacia glaucescens,legume,fruit type,CATEGORICAL
Acacia harpophylla,legume,fruit type,CATEGORICAL
Acacia hispidula,legume,fruit type,CATEGORICAL
Acacia holosericea,legume,fruit type,CATEGORICAL
Acacia howittii,legume,fruit type,CATEGORICAL
Acacia juniperina,legume,fruit type,CATEGORICAL
Acacia leiocalyx,legume,fruit type,CATEGORICAL
Acacia leiophylla,legume,fruit type,CATEGORICAL
Acacia leprosa,legume,fruit type,CATEGORICAL
Acacia linearis,legume,fruit type,CATEGORICAL
Acacia linifolia,legume,fruit type,CATEGORICAL
Acacia mabellae,legume,fruit type,CATEGORICAL
Acacia maidenii,legume,fruit type,CATEGORICAL
Acacia melanoxylon,legume,fruit type,CATEGORICAL
Acacia montana,legume,fruit type,CATEGORICAL
Acacia myrtifolia,legume,fruit type,CATEGORICAL
Acacia obtusata,legume,fruit type,CATEGORICAL
Acacia oxycedrus,legume,fruit type,CATEGORICAL
Acacia penninervis,legume,fruit type,CATEGORICAL
Acacia perangusta,legume,fruit type,CATEGORICAL
Acacia podalyriafolia,legume,fruit type,CATEGORICAL
Acacia pravissima,legume,fruit type,CATEGORICAL
Acacia prominens,legume,fruit type,CATEGORICAL
Acacia pubescens,legume,fruit type,CATEGORICAL
Acacia spectabilis,legume,fruit type,CATEGORICAL
Acacia stricta,legume,fruit type,CATEGORICAL
Acacia suaevolens,legume,fruit type,CATEGORICAL
Acacia triptera,legume,fruit type,CATEGORICAL
Acacia undulifolia,legume,fruit type,CATEGORICAL
Acacia verniciflua,legume,fruit type,CATEGORICAL
Acacia vestita,legume,fruit type,CATEGORICAL
Albizia lebbek,legume,fruit type,CATEGORICAL
Crudia papuana,legume,fruit type,CATEGORICAL
Daviesia arborea,legume,fruit type,CATEGORICAL
Daviesia buxifolia,legume,fruit type,CATEGORICAL
Daviesia corymbosa,legume,fruit type,CATEGORICAL
Daviesia elliptica,legume,fruit type,CATEGORICAL
Daviesia laevis,legume,fruit type,CATEGORICAL
Daviesia latifolia,legume,fruit type,CATEGORICAL
Daviesia leptophylla,legume,fruit type,CATEGORICAL
Daviesia longifolia,legume,fruit type,CATEGORICAL
Daviesia pauciflora,legume,fruit type,CATEGORICAL
Daviesia suaevolens,legume,fruit type,CATEGORICAL
Daviesia umbellulata,legume,fruit type,CATEGORICAL
Dillwynia juniperina,legume,fruit type,CATEGORICAL
Erythrina vespertilio,legume,fruit type,CATEGORICAL
Galactia tenuiflora,legume,fruit type,CATEGORICAL
Glycine clandestina,legume,fruit type,CATEGORICAL
Glycine tabacina,legume,fruit type,CATEGORICAL
Hovea purpurea,legume,fruit type,CATEGORICAL
Isotropis filicaulis,legume,fruit type,CATEGORICAL
Kennedia prostrata,legume,fruit type,CATEGORICAL
Kennedia rubicunda,legume,fruit type,CATEGORICAL
Milletia megasperma,legume,fruit type,CATEGORICAL
Mirbelia rubiifolia,legume,fruit type,CATEGORICAL
Lespedeza juncea,legume/indeh,fruit type,CATEGORICAL
Cyathodes parvifolia,nut,fruit type,CATEGORICAL
Rumex brownii,nut,fruit type,CATEGORICAL
Scleranthus biflorus,nut,fruit type,CATEGORICAL
Agastachys odorata,nut/winged,fruit type,CATEGORICAL
Allocasuarina inophloia,nut/winged,fruit type,CATEGORICAL
Allocasuarina leuhmannii,nut/winged,fruit type,CATEGORICAL
Allocasuarina littoralis,nut/winged,fruit type,CATEGORICAL
Allocasuarina rigida,nut/winged,fruit type,CATEGORICAL
Calythrix tetragona,nut/winged,fruit type,CATEGORICAL
Casuarina cristata,nut/winged,fruit type,CATEGORICAL
Casuarina equisetifolia,nut/winged,fruit type,CATEGORICAL
Casuarina monilifera,nut/winged,fruit type,CATEGORICAL
Casuarina oligodon,nut/winged,fruit type,CATEGORICAL
Casuarina rapuana,nut/winged,fruit type,CATEGORICAL
Casuarina torulosa,nut/winged,fruit type,CATEGORICAL
Plectranthus alloplectus,nutlet,fruit type,CATEGORICAL
Plectranthus argenteus,nutlet,fruit type,CATEGORICAL
Plectranthus graveolens,nutlet,fruit type,CATEGORICAL
Plectranthus parviflorus,nutlet,fruit type,CATEGORICAL
Callitriche muelleri,schizocarp,fruit type,CATEGORICAL
Codonocarpus cotonif.,schizocarp,fruit type,CATEGORICAL
Erodium crinitum,schizocarp,fruit type,CATEGORICAL
Galium nigricans,schizocarp,fruit type,CATEGORICAL
Gaultheria depressa,schizocarp,fruit type,CATEGORICAL
Hydrocotyle acutiloba,schizocarp,fruit type,CATEGORICAL
Hydrocotyle pedicellosa,schizocarp,fruit type,CATEGORICAL
Hydrocotyle verticillata,schizocarp,fruit type,CATEGORICAL
Stackhousia viminea,schizocarp,fruit type,CATEGORICAL
Alternanthera denticulata,utricle,fruit type,CATEGORICAL
Alternanthera nana,utricle,fruit type,CATEGORICAL
Chenopodium carinatum,utricle,fruit type,CATEGORICAL
Chenopodium melano.,utricle,fruit type,CATEGORICAL
Chenopodium rhadin.,utricle,fruit type,CATEGORICAL
Chenopodium cristatum,utricle,fruit type,CATEGORICAL
Chenopodium trigonum,utricle,fruit type,CATEGORICAL
Dysphania glomulifera,utricle,fruit type,CATEGORICAL
Maireana carnosa,utricle,fruit type,CATEGORICAL
Maireana excavata,utricle,fruit type,CATEGORICAL
Maireana georgii,utricle,fruit type,CATEGORICAL
Maireana triptera,utricle,fruit type,CATEGORICAL
Polygonum lapathifolium,utricle,fruit type,CATEGORICAL
Enchylaena tomentosa,utricle/p.fleshy,fruit type,CATEGORICAL
Bassia microcarpa,utricle/spiny,fruit type,CATEGORICAL
Bassia sclerolaenoides,utricle/spiny,fruit type,CATEGORICAL
Polygonum attenuatum,utrticle,fruit type,CATEGORICAL
