"Species","Trait","Value","Unit","Citation_author","Citation_full"
"Abrus precatorius","wood.density","0.63","g/cm^3","Chaturvedi, 2013","Chaturvedi, R. K., and A. S. Raghubanshi. 2013. Aboveground biomass estimation of small diameter woody species of tropical dry forest. New Forests 44:509-519."
"Acacia aulacocarpa","wood.density","0.86","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia bakeri","wood.density","0.771","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia cincinnata","wood.density","0.58","g/cm^3","Clark, 1991","Clark, N. B., V. Balodis, F. Guigan, and W. Jingxia. 1991. Pulping properties of tropical Acacias. Pages 138-144 in Advances in Tropical Acacia Research."
"Acacia concurrens","wood.density","0.758","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia difficilis","wood.density","0.77","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia disparrima","wood.density","0.655","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia disparrima","wood.density","0.655","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia excelsa","wood.density","0.938","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia excelsa","wood.density","0.937","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia fasciculifera","wood.density","0.964","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia flavescens","wood.density","0.8","g/cm^3","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Acacia glaucocarpa","wood.density","0.78","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia harpophylla","wood.density","0.908","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia implexa","wood.density","0.589","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia irrorata","wood.density","0.551","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia irrorata","wood.density","0.551","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia julifera","wood.density","1.04","g/cm^3","Karachi, 1997","Karachi, M., D. Shirima, and N. Lema. 1997. Evaluation of 15 leguminous trees and shrubs for forage and wood production in Tanzania. Agroforestry Systems 37:253-263."
"Acacia julifera","wood.density","1.04","g/cm^3","Karachi, 1997","Karachi, M., D. Shirima, and N. Lema. 1997. Evaluation of 15 leguminous trees and shrubs for forage and wood production in Tanzania. Agroforestry Systems 37:253-263."
"Acacia leiocalyx","wood.density","0.85","g/cm^3","Bootle, 2005","Bootle, K. R. 2005. Wood in Australia: Types, properties and uses. second edition. McGraw-Hill Australia, North Ryde, NSW."
"Acacia leptocarpa","wood.density","1.12","g/cm^3","Karachi, 1997","Karachi, M., D. Shirima, and N. Lema. 1997. Evaluation of 15 leguminous trees and shrubs for forage and wood production in Tanzania. Agroforestry Systems 37:253-263."
"Acacia leucoclada","wood.density","0.62","g/cm^3","Boland, 2006","Boland, D. J., M. I. H. Brooker, G. M. Chippendale, N. Hall, B. P. M. Hyland, R. D. Johnson, D. A. Kleinig, M. W. McDonald, and J. D. Turner. 2006. Forest Trees of Australia. Fifth edition. CSIRO Publishing, Collingwood VIC."
"Acacia longifolia","wood.density","0.51","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia maidenii","wood.density","0.62","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia melanoxylon","wood.density","0.57","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia myrtifolia","wood.density","0.63","g/cm^3","Tng, 2013","Tng, D. Y. P., G. J. Jordan, and D. M. J. S. Bowman. 2013. Plant traits demonstrate that temperate and tropical giant eucalypt forests are ecologically convergent with rainforest not savanna. PLoS ONE 8."
"Acacia obtusifolia","wood.density","0.67","g/cm^3","Knox, 2011","Knox, K. J. E., and P. J. Clarke. 2011. Fire severity and nutrient availability do not constrain resprouting in forest shrubs. Plant Ecology 212:1967-1978."
"Acacia oshanesii","wood.density","0.771","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia oswaldii","wood.density","0.976","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia penninervis","wood.density","0.605","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia penninervis","wood.density","0.605","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia penninervis","wood.density","0.605","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
"Acacia podalyriifolia","wood.density","0.68","g/cm^3","Zanne, 2009","Zanne, A. E., G. Lopez-Gonzalez, D. A. Coomes, J. Ilic, S. Jansen, S. L. Lewis, R. B. Miller, N. G. Swenson, M. C. Wiemann, and J. Chave. 2009. Data from: Towards a worldwide wood economics spectrum. Dryad Digital Repository. http://dx.doi.org/10.5061/dryad.234."
