var_name,character,unit
soil pH,pH,
% soil water,% water,%
% soil organic matter,% organic matter,%
soil oxidised N  (mgN/kg),oxidised N,mgN/kg
soil total Kjehldal N (mgN/kg),total Kjeldahl N,mgN/kg
soil total N (mgN/kg),total N,mgN/kg
soil total p (ppm),total P,mgP/kg
