parasite_type,parasite_species,host_species,n_dry_matter,n_cellulose,n_leaf_water,leaf_dry_matter_d18O_parasite_permil,leaf_dry_matter_d18O_host_permil,leaf_dry_matter_d18O_difference_permil,leaf_cellulose_d18O_parasite_permil,leaf_cellulose_d18O_host_permil,leaf_cellulose_d18O_difference_permil,leaf_water_d18O_parasite_permil,leaf_water_d18O_host_permil,leaf_water_d18O_difference_permil
Mistletoe,Amyema miquelii,Eucalyptus wandoo,10,6,4,27.0±1.4,31.6±0.8,-4.6,33.1±2.6,34.6±2.1,-1.5,8.9±0.5,9.4±0.6,-0.5
Mistletoe,Amyema preissii,Acacia acuminata,10,6,4,25.9±1.8,29.4±1.6,-3.5,34.5±2.2,40.1±1.4,-5.6,17.1±1.5,16.7±4.7,0.4
Holoparasite,Cassytha sp.,Acacia littorea,3,1,2,29.6±2.0,24.0±2.1,5.6,31.4,30.8,0.6,13.4±2.3,12.8±1.6,0.6
Holoparasite,Cassytha sp.,Exocarpos odoratus,1,1,0,24.7,22.6,2.1,29.6,29.2,0.4,,,
Holoparasite,Cassytha sp.,Leucopogon capitellatus,4,1,3,28.2±1.0,26.2±1.6,2.0,32.5,31.2,1.3,9.5±1.7,14.1±1.3,-4.6
Holoparasite,Cassytha sp.,Spyridium globulosum,2,1,1,29.5±0.4,27.7±1.1,1.8,31.5,29.9,1.6,8.8,14.9,-6.1
Holoparasite,Cuscuta campestris,Cakile maritima,1,1,0,22.4,21.5,0.9,28.3,29.1,-0.8,,,
Holoparasite,Cuscuta campestris,Euphorbia paralias,1,0,1,29.2,27.9,1.3,,,,5.3,13.1,-7.8
Holoparasite,Cuscuta campestris,Muehlenbeckia adpressa,2,1,1,25.9±2.9,24.5±3.0,1.4,29.0,28.6,0.4,4.9,10.5,-5.6
Holoparasite,Cuscuta campestris,Pecarisonium sp.,1,1,0,26.4,23.3,3.1,30.0,27.1,2.9,,,
Holoparasite,Cuscuta campestris,Senecio elegans,1,0,1,30.2,24.8,5.4,,,,7.1,9.8,-2.7
Holoparasite,Cuscuta campestris,Unknown host,1,1,0,25.6,20.3,5.3,29.2,28.4,0.8,,,
Holoparasite,Orobanche minor,Ribes sanguineum,1,1,0,27.2,21.8,5.4,28.8,25.4,3.4,,,
Root hemiparasite,Bartsia trixago,Conocephalum sp.,1,0,0,23.9,27.0,-3.1,,,,,,
Root hemiparasite,Bartsia trixago,Senecio lautus,1,0,0,24.3,22.8,1.5,,,,,,
Root hemiparasite,Exocarpos odoratus,Bossiaea lynophylla,1,1,0,22.6,22.5,0.1,29.2,30.8,-1.6,,,
Root hemiparasite,Exocarpos odoratus,Hibbertia sp.,1,0,1,27.1,27.1,0.0,,,,13.3,14.5,-1.2
Root hemiparasite,Exocarpos odoratus,Spyridium globulosum,3,2,1,24.7±1.7,27.2±1.1,-2.5,28.4±0.7,31.7±0.6,-3.3,11.6,13.9,-2.3
Root hemiparasite,Exocarpos sparteus,Pelargonium australe,2,1,1,26.2±0.6,24.9±1.1,1.3,32.2,NA,NA,12.1,9.3,2.8
Root hemiparasite,Exocarpos sparteus,Scaevola nitida,1,1,0,24.7,22.2,2.5,30.9,27.2,3.7,,,
Root hemiparasite,Exocarpos sparteus,Spyridium globulosum,2,1,1,26.4±0.9,28.1±1.4,-1.7,29.2,30.5,-1.3,11.0,12.2,-1.2
Root hemiparasite,Olax phyllanthi,Acacia littorea,1,1,0,23.4,23.0,0.4,30.9,31.6,-0.7,,,
Root hemiparasite,Olax phyllanthi,Hibbertia sp.,1,1,0,23.1,24.3,-1.2,29.1,31.6,-2.5,,,
Root hemiparasite,Olax phyllanthi,Leucopogon parviflorus,2,1,2,22.5±2.0,25.8±2.3,-3.3,29.3,29.2,0.1,12.3,13.5,-1.2
Root hemiparasite,Olax phyllanthi,Spyridium globulosum,5,3,2,25.7±1.0,27.6±0.7,-1.9,30.6±2.4,32.3±0.8,-1.7,13.7±0.7,12.9±0.4,0.8
Root hemiparasite,Olax phyllanthi,Scaevola nitida,1,1,0,23.6,21.6,2.0,31.2,28.3,2.9,,,
Root hemiparasite,Parentucellia viscosa,Anthoxanthum odoratum,2,0,0,21.6±2.0,25.2±0.1,-3.6,,,,,,
Root hemiparasite,Parentucellia viscosa,Hypochaeris radicata,1,0,0,25.1,23.3,1.8,,,,,,
Root hemiparasite,Parentucellia viscosa,Ricinocarpus sp.,1,0,0,24.1,25.3,-1.2,,,,,,
Root hemiparasite,Parentucellia viscosa,Senecio sp.,1,0,0,22.1,21.1,1.0,,,,,,
