parasite_type,parasite_species,host_species,n_dry_matter,n_cellulose,leaf_dry_matter_d13C_parasite_permil,leaf_dry_matter_d13C_host_permil,leaf_dry_matter_d13C_difference_permil,leaf_cellulose_d13C_parasite_permil,leaf_cellulose_d13C_host_permil,leaf_cellulose_d13C_difference_permil
Mistletoe,Amyema miquelii,Eucalyptus wandoo,10,6,-31.0±0.7,-28.0±0.8,-3.0,-27.8±0.6,-25.5±0.9,-2.3
Mistletoe,Amyema preissii,Acacia acuminata,10,6,-29.8±0.4,-29.0±0.5,-0.8,-27.0±0.7,-25.0±0.4,-2.0
Holoparasite,Cassytha sp.,Acacia littorea,3,1,-26.7±2.1,-29.8±1.0,3.1,-27.5,-25.2,-2.3
Holoparasite,Cassytha sp.,Exocarpos odoratus,1,1,-26.1,-26.2,0.1,-24.1,-23.5,-0.6
Holoparasite,Cassytha sp.,Leucopogon capitellatus,4,1,-27.5±1.2,-28.5±0.9,1.0,-24.3,-26.9,2.6
Holoparasite,Cassytha sp.,Spyridium globulosum,2,1,-28.1±2.4,-28.4±0.6,0.3,-25.1,-25.5,0.4
Holoparasite,Cuscuta campestris,Cakile maritima,1,1,-27.2,-28.3,1.1,-26.0,-27.1,1.1
Holoparasite,Cuscuta campestris,Euphorbia paralias,1,0,-25.1,-26.5,1.4,,,
Holoparasite,Cuscuta campestris,Muehlenbeckia adpressa,2,1,-26.1±2.3,-28.0±0.4,1.9,-27.3,-25.6,-1.7
Holoparasite,Cuscuta campestris,Pecarisonium sp.,1,1,-26.0,-28.1,2.1,-25.2,-25.3,0.1
Holoparasite,Cuscuta campestris,Senecio elegans,1,0,-26.1,-28.7,2.6,,,
Holoparasite,Cuscuta campestris,Unknown host,1,0,-28.7,-29.9,1.2,,,
Holoparasite,Orobanche minor,Ribes sanguineum,1,1,-27.0,-27.7,0.7,-25.9,-24.9,-1.0
Root hemiparasite,Bartsia trixago,Conocephalum sp.,1,0,-28.7,-29.3,0.6,,,
Root hemiparasite,Bartsia trixago,Senecio lautus,1,0,-29.9,-29.0,-0.9,,,
Root hemiparasite,Exocarpos odoratus,Bossiaea lynophylla,1,1,-26.2,-27.9,1.7,-23.5,-25.5,2.0
Root hemiparasite,Exocarpos odoratus,Hibbertia sp.,1,0,-28.7,-27.5,-1.2,,,
Root hemiparasite,Exocarpos odoratus,Spyridium globulosum,3,2,-28.9±1.2,-27.1±0.3,-1.8,-25.0±1.6,-25.1±0.2,0.1
Root hemiparasite,Exocarpos sparteus,Pelargonium australe,2,1,-28.3±0.1,-25.8±1.3,-2.5,-24.2,-25.5,1.3
Root hemiparasite,Exocarpos sparteus,Scaevola nitida,1,1,-29.1,-26.0,-3.1,-27.0,NA,NA
Root hemiparasite,Exocarpos sparteus,Spyridium globulosum,2,1,-29.4±0.7,-25.5±1.0,-3.9,-27.8,-24.1,-3.7
Root hemiparasite,Olax phyllanthi,Acacia littorea,1,1,-27.8,-28.7,0.9,-25.7,-24.9,-0.8
Root hemiparasite,Olax phyllanthi,Hibbertia sp.,1,1,-28.0,-27.7,-0.3,-25.8,-24.3,-1.5
Root hemiparasite,Olax phyllanthi,Leucopogon parviflorus,2,1,-28.7±0.6,-28.1±0.5,-0.6,-26.5,-25.1,-1.4
Root hemiparasite,Olax phyllanthi,Spyridium globulosum,5,3,-28.2±1.3,-26.4±0.3,-1.8,-23.8±0.3,-25.7±1.4,1.9
Root hemiparasite,Olax phyllanthi,Scaevola nitida,1,1,-27.4,-27.0,-0.4,-24.4,NA,NA
Root hemiparasite,Parentucellia viscosa,Anthoxanthum odoratum,1,0,-30.4,-29.0,-1.4,,,
Root hemiparasite,Parentucellia viscosa,Hypochaeris radicata,1,0,-27.9,-28.7,0.8,,,
Root hemiparasite,Parentucellia viscosa,Ricinocarpus sp.,1,0,-29.5,-29.6,0.1,,,
Root hemiparasite,Parentucellia viscosa,Senecio sp.,1,0,-31.3,-30.4,-0.9,,,
