site,location,latitude (deg),longitude (deg),parasite_species,host_species,type_of_parasite
William Bay National Park,"35°01'25""S, 117°14'12""E",-35.02361,117.23667,Cassytha sp.,Acacia littorea Maslin,Holoparasite
William Bay National Park,"35°01'25""S, 117°14'12""E",-35.02361,117.23667,Cassytha sp.,Leucopogon capitellatus DC.,Holoparasite
William Bay National Park,"35°01'25""S, 117°14'12""E",-35.02361,117.23667,Cassytha sp.,Spyridium globulosum (Labill.)Benth.,Holoparasite
William Bay National Park,"35°01'25""S, 117°14'12""E",-35.02361,117.23667,Cuscuta campestris Yunck.,Cakile maritima Scop.,Holoparasite
William Bay National Park,"35°01'25""S, 117°14'12""E",-35.02361,117.23667,Cuscuta campestris Yunck.,Euphorbia paralias L.,Holoparasite
William Bay National Park,"35°01'25""S, 117°14'12""E",-35.02361,117.23667,Cuscuta campestris Yunck.,Muehlenbeckia adpressa (Labill.)Meisn.,Holoparasite
William Bay National Park,"35°01'25""S, 117°14'12""E",-35.02361,117.23667,Cuscuta campestris Yunck.,Pecarisonium sp.,Holoparasite
William Bay National Park,"35°01'25""S, 117°14'12""E",-35.02361,117.23667,Cuscuta campestris Yunck.,Senecio elegans L.,Holoparasite
William Bay National Park,"35°01'25""S, 117°14'12""E",-35.02361,117.23667,Cuscuta campestris Yunck.,Unknown host,Holoparasite
William Bay National Park,"35°01'25""S, 117°14'12""E",-35.02361,117.23667,Exocarpos odoratus (Miq.)A.DC.,Spyridium globulosum (Labill.)Benth.,Root hemiparasite
William Bay National Park,"35°01'25""S, 117°14'12""E",-35.02361,117.23667,Olax phyllanthi (Labill.)R.Br.,Acacia littorea Maslin,Root hemiparasite
William Bay National Park,"35°01'25""S, 117°14'12""E",-35.02361,117.23667,Olax phyllanthi (Labill.)R.Br.,Spyridium globulosum (Labill.)Benth.,Root hemiparasite
Ocean Beach,"35°02'12""S, 117°19'53""E",-35.03667,117.33139,Cassytha sp.,Exocarpos odoratus (Miq.)A.DC.,Holoparasite
Ocean Beach,"35°02'12""S, 117°19'53""E",-35.03667,117.33139,Exocarpos odoratus (Miq.)A.DC.,Bossiaea linophylla R.Br.,Root hemiparasite
Ocean Beach,"35°02'12""S, 117°19'53""E",-35.03667,117.33139,Exocarpos odoratus (Miq.)A.DC.,Hibbertia sp.,Root hemiparasite
Ocean Beach,"35°02'12""S, 117°19'53""E",-35.03667,117.33139,Exocarpos odoratus (Miq.)A.DC.,Spyridium globulosum (Labill.)Benth.,Root hemiparasite
Ocean Beach,"35°02'12""S, 117°19'53""E",-35.03667,117.33139,Exocarpos sparteus R.Br.,Pelargonium australe Willd.,Root hemiparasite
Ocean Beach,"35°02'12""S, 117°19'53""E",-35.03667,117.33139,Exocarpos sparteus R.Br.,Spyridium globulosum (Labill.)Benth.,Root hemiparasite
Ocean Beach,"35°02'12""S, 117°19'53""E",-35.03667,117.33139,Olax phyllanthi (Labill.)R.Br.,Hibbertia sp.,Root hemiparasite
Ocean Beach,"35°02'12""S, 117°19'53""E",-35.03667,117.33139,Olax phyllanthi (Labill.)R.Br.,Leucopogon parviflorus (Andrews)Lindl.,Root hemiparasite
Ocean Beach,"35°02'12""S, 117°19'53""E",-35.03667,117.33139,Olax phyllanthi (Labill.)R.Br.,Spyridium globulosum (Labill.)Benth.,Root hemiparasite
Lights Beach,"35°01'20""S, 117°16'31""E",-35.02222,117.27528,Bartsia trixago L.,Conocephalum sp.,Root hemiparasite
Lights Beach,"35°01'20""S, 117°16'31""E",-35.02222,117.27528,Bartsia trixago L.,Senecio lautus Willd.,Root hemiparasite
Lights Beach,"35°01'20""S, 117°16'31""E",-35.02222,117.27528,Exocarpos sparteus R.Br.,Scaevola nitida R.Br.,Root hemiparasite
Pate Property,"34°57'55""S, 117°17'19""E",-34.96528,117.28861,Olax phyllanthi (Labill.)R.Br.,Scaevola nitida R.Br.,Root hemiparasite
Pate Property,"34°57'55""S, 117°17'19""E",-34.96528,117.28861,Orobanche minor Sm.,Ribes sanguineum,Holoparasite
Pate Property,"34°57'55""S, 117°17'19""E",-34.96528,117.28861,Parentucellia viscosa (L.)Caruel,Anthoxanthum odoratum L.,Root hemiparasite
Pate Property,"34°57'55""S, 117°17'19""E",-34.96528,117.28861,Parentucellia viscosa (L.)Caruel,Hypochaeris radicata L.,Root hemiparasite
Pate Property,"34°57'55""S, 117°17'19""E",-34.96528,117.28861,Parentucellia viscosa (L.)Caruel,Ricinocarpus sp.,Root hemiparasite
Pate Property,"34°57'55""S, 117°17'19""E",-34.96528,117.28861,Parentucellia viscosa (L.)Caruel,Senecio sp.,Root hemiparasite
Tunney,"32°33'19""S, 119°17'55""E",-32.55528,119.29861,Amyema miquelii (Miq.)Tiegh.,Eucalyptus wandoo Blakely,Mistletoe
Williams,"32°59'49""S, 116°51'01""E",-32.99694,116.85028,Amyema preissii (Miq.)Tiegh.,Acacia acuminata Benth.,Mistletoe
