Scientific Name,metadata_id,primary_source_id,SLA (mg/mm2),longevity,Height (cm),Seed Dispersal,Seed mass (mg),Growth form,LDMC (mg/g),LDMC (%),Leaf area (mm2)
Acacia acinacea s.l.,87,83,NA,perennial,150,Ant,NA,NA,NA,NA,NA
Acacia aculeatissima,87,83,NA,perennial,40,Ant,NA,NA,NA,NA,NA
Acacia baileyana,87,83,NA,perennial,500,Ant,NA,NA,NA,NA,NA
Acacia dealbata,87,83,NA,perennial,3000,Ant,NA,NA,NA,NA,NA
Acacia gunnii,87,83,NA,perennial,100,Ant,NA,NA,NA,NA,NA
Acacia hakeoides,87,83,NA,perennial,400,Ant,NA,NA,NA,NA,NA
Acacia iteaphylla,87,83,NA,perennial,300,Ant,NA,NA,NA,NA,NA
Acacia longifolia s.l.,87,83,NA,perennial,1000,Ant,NA,NA,NA,NA,NA
Acacia mearnsii,87,83,NA,perennial,1200,Ant,NA,NA,NA,NA,NA
Acacia melanoxylon,87,83,NA,perennial,3000,Ant,NA,NA,NA,NA,NA
Acacia myrtifolia,87,83,NA,perennial,100,Ant,NA,NA,NA,NA,NA
Acacia paradoxa,87,83,NA,perennial,200,Ant,NA,NA,NA,NA,NA
Acacia spinescens,87,83,NA,perennial,100,Ant,NA,NA,NA,NA,NA
Acacia verniciflua,87,83,NA,perennial,600,Ant,NA,NA,NA,NA,NA
Acacia verticillata,87,83,NA,perennial,400,Ant,NA,NA,NA,NA,NA
Acaena agnipila,87,83,NA,perennial,50,Adhesion,NA,NA,NA,NA,NA
Acaena echinata,87,83,NA,perennial,40,Adhesion,NA,NA,NA,NA,NA
Acaena novae-zelandiae,87,83,NA,perennial,20,Adhesion,NA,NA,NA,NA,NA
Acetosella vulgaris,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Acrotriche serrulata,87,83,NA,perennial,30,Ingestion,NA,NA,NA,NA,NA
Allocasuarina luehmannii,87,83,NA,perennial,1500,Wind,NA,NA,NA,NA,NA
Allocasuarina torulosa,87,83,NA,perennial,1000,Wind,NA,NA,NA,NA,NA
Allocasuarina verticillata,87,83,NA,perennial,1000,Wind,NA,NA,NA,NA,NA
Amphibromus neesii,87,83,NA,perennial,150,Undefined,NA,NA,NA,NA,NA
Amyema pendula,87,83,NA,perennial,2500,Ingestion,NA,NA,NA,NA,NA
Angianthus preissianus,87,83,NA,annual,8,Wind,NA,NA,NA,NA,NA
Aphelia gracilis,87,83,NA,annual,4,Undefined,NA,NA,NA,NA,NA
Aphelia pumilio,87,83,NA,annual,3,Undefined,NA,NA,NA,NA,NA
Arthropodium milleflorum s.s.,87,83,NA,perennial,100,Mobile,NA,NA,NA,NA,NA
Arthropodium minus,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Arthropodium strictum,87,83,NA,perennial,120,Undefined,NA,NA,NA,NA,NA
Asperula conferta,87,83,NA,perennial,15,Undefined,NA,NA,NA,NA,NA
Asperula scoparia,87,83,NA,perennial,15,Undefined,NA,NA,NA,NA,NA
Asplenium flabellifolium,87,83,NA,perennial,100,Mobile,NA,NA,NA,NA,NA
Astroloma conostephioides,87,83,NA,perennial,100,Ingestion,NA,NA,NA,NA,NA
Astroloma humifusum,87,83,NA,perennial,50,Ingestion,NA,NA,NA,NA,NA
Atriplex prostrata,87,83,NA,annual,50,Undefined,NA,NA,NA,NA,NA
Austrodanthonia caespitosa,87,83,NA,perennial,90,Adhesion,NA,NA,NA,NA,NA
Austrodanthonia duttoniana,87,83,NA,perennial,80,Adhesion,NA,NA,NA,NA,NA
Austrodanthonia eriantha,87,83,NA,perennial,60,Adhesion,NA,NA,NA,NA,NA
Austrodanthonia geniculata,87,83,NA,perennial,25,Adhesion,NA,NA,NA,NA,NA
Austrodanthonia laevis,87,83,NA,perennial,60,Adhesion,NA,NA,NA,NA,NA
Austrodanthonia penicillata,87,83,NA,perennial,70,Adhesion,NA,NA,NA,NA,NA
Austrodanthonia racemosa var. racemosa,87,83,NA,perennial,60,Adhesion,NA,NA,NA,NA,NA
Austrodanthonia setacea,87,83,NA,perennial,100,Adhesion,NA,NA,NA,NA,NA
Austrostipa bigeniculata,87,83,NA,perennial,120,Adhesion,NA,NA,NA,NA,NA
Austrostipa mollis,87,83,NA,perennial,120,Adhesion,NA,NA,NA,NA,NA
Austrostipa oligostachya,87,83,NA,perennial,100,Adhesion,NA,NA,NA,NA,NA
Austrostipa pubinodis,87,83,NA,perennial,130,Adhesion,NA,NA,NA,NA,NA
Austrostipa scabra subsp. falcata,87,83,NA,perennial,60,Adhesion,NA,NA,NA,NA,NA
Austrostipa semibarbata,87,83,NA,perennial,90,Adhesion,NA,NA,NA,NA,NA
Austrostipa setacea,87,83,NA,perennial,80,Adhesion,NA,NA,NA,NA,NA
Banksia marginata,87,83,NA,perennial,1200,Wind,NA,NA,NA,NA,NA
Baumea arthrophylla,87,83,NA,perennial,130,Undefined,NA,NA,NA,NA,NA
Baumea juncea,87,83,NA,perennial,90,Undefined,NA,NA,NA,NA,NA
Boronia coerulescens subsp. coerulescens,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Bossiaea prostrata,87,83,NA,perennial,10,Undefined,NA,NA,NA,NA,NA
Brachyloma daphnoides,87,83,NA,perennial,200,Undefined,NA,NA,NA,NA,NA
Brunonia australis,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Bulbine bulbosa,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Burchardia umbellata,87,83,NA,perennial,65,Undefined,NA,NA,NA,NA,NA
Bursaria spinosa subsp. spinosa,87,83,NA,perennial,800,Undefined,NA,NA,NA,NA,NA
Caesia calliantha,87,83,NA,perennial,70,Undefined,NA,NA,NA,NA,NA
Caladenia carnea sensu Willis (1970),87,83,NA,perennial,25,Mobile,NA,NA,NA,NA,NA
Calandrinia calyptrata,87,83,NA,annual,5,Undefined,NA,NA,NA,NA,NA
Calocephalus lacteus,87,83,NA,perennial,70,Wind,NA,NA,NA,NA,NA
Carex appressa,87,83,NA,perennial,150,Undefined,NA,NA,NA,NA,NA
Carex breviculmis,87,83,NA,perennial,30,Undefined,NA,NA,NA,NA,NA
Carex inversa,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Carex tereticaulis,87,83,NA,perennial,120,Undefined,NA,NA,NA,NA,NA
Carthamus lanatus,87,83,NA,annual,100,Wind,NA,NA,NA,NA,NA
Casuarina glauca,87,83,NA,perennial,1000,Wind,NA,NA,NA,NA,NA
Centrolepis aristata,87,83,NA,annual,10,Undefined,NA,NA,NA,NA,NA
Centrolepis cephaloformis subsp. cephaloformis,87,83,NA,annual,1,Undefined,NA,NA,NA,NA,NA
Centrolepis polygyna,87,83,NA,annual,5,Undefined,NA,NA,NA,NA,NA
Centrolepis strigosa subsp. strigosa,87,83,NA,annual,10,Mobile,NA,NA,NA,NA,NA
Chamaescilla corymbosa var. corymbosa,87,83,NA,perennial,15,Undefined,NA,NA,NA,NA,NA
Chasmanthe floribunda,87,83,NA,perennial,150,Undefined,NA,NA,NA,NA,NA
Cheilanthes austrotenuifolia,87,83,NA,perennial,25,Mobile,NA,NA,NA,NA,NA
Chloris truncata,87,83,NA,perennial,40,Wind,NA,NA,NA,NA,NA
Chrysocephalum apiculatum,87,83,NA,perennial,60,Wind,NA,NA,NA,NA,NA
Clematis microphylla,87,83,NA,perennial,200,Wind,NA,NA,NA,NA,NA
Convolvulus erubescens,87,83,NA,perennial,15,Undefined,NA,NA,NA,NA,NA
Correa reflexa var. scabridula,87,83,NA,perennial,50,Undefined,NA,NA,NA,NA,NA
Corybas incurvus,87,83,NA,perennial,2,Mobile,NA,NA,NA,NA,NA
Corymbia ficifolia,87,83,NA,perennial,1000,Undefined,NA,NA,NA,NA,NA
Corymbia maculata,87,83,NA,perennial,6000,Undefined,NA,NA,NA,NA,NA
Cotula australis,87,83,NA,annual,10,Undefined,NA,NA,NA,NA,NA
Cotula coronopifolia,87,83,NA,perennial,10,Undefined,NA,NA,NA,NA,NA
Crassula closiana,87,83,NA,annual,10,Mobile,NA,NA,NA,NA,NA
Crassula decumbens var. decumbens,87,83,NA,annual,10,Mobile,NA,NA,NA,NA,NA
Crassula helmsii,87,83,NA,perennial,10,Mobile,NA,NA,NA,NA,NA
Crassula multicava subsp. multicava,87,83,NA,perennial,40,Undefined,NA,NA,NA,NA,NA
Crassula peduncularis,87,83,NA,annual,3,Mobile,NA,NA,NA,NA,NA
Crassula sieberiana,87,83,NA,annual,10,Mobile,NA,NA,NA,NA,NA
Cymbonotus preissianus,87,83,NA,perennial,10,Wind,NA,NA,NA,NA,NA
Cynodon dactylon var. dactylon,87,83,NA,perennial,20,Wind,NA,NA,NA,NA,NA
Cynoglossum spp.,87,83,NA,perennial,0,Adhesion,NA,NA,NA,NA,NA
Cynoglossum suaveolens,87,83,NA,perennial,30,Adhesion,NA,NA,NA,NA,NA
Daucus carota,87,83,NA,perennial,150,Adhesion,NA,NA,NA,NA,NA
Daucus glochidiatus,87,83,NA,annual,50,Adhesion,NA,NA,NA,NA,NA
Daviesia brevifolia,87,83,NA,perennial,100,Undefined,NA,NA,NA,NA,NA
Daviesia latifolia,87,83,NA,perennial,500,Undefined,NA,NA,NA,NA,NA
Deyeuxia quadriseta,87,83,NA,perennial,150,Undefined,NA,NA,NA,NA,NA
Dianella callicarpa,87,83,NA,perennial,100,Ingestion,NA,NA,NA,NA,NA
Dianella revoluta,87,83,NA,perennial,80,Ingestion,NA,NA,NA,NA,NA
Dichelachne crinita,87,83,NA,perennial,100,Adhesion,NA,NA,NA,NA,NA
Dichelachne rara,87,83,NA,perennial,70,Adhesion,NA,NA,NA,NA,NA
Dichelachne sciurea,87,83,NA,perennial,100,Adhesion,NA,NA,NA,NA,NA
Dichondra repens,87,83,NA,perennial,4,Undefined,NA,NA,NA,NA,NA
Dillwynia cinerascens,87,83,NA,perennial,100,Undefined,NA,NA,NA,NA,NA
