Species,Location,root_structure,root type infected,latitude (deg),longitude (deg),lat/lon,lat deg,lat min,lon deg,lon min,locality,state
Andersonia caerulea,Boddington_2,ericoid_mycorrhizal,hair roots only,-32.8,116.4666667,32°48' 116° 28',32,48,116,28,Boddington,WA
Andersonia gracilis,Gingin,ericoid_mycorrhizal,hair roots only,-31.35,115.9,31° 21' 115° 54',31,21,115,54,Gingin,WA
Andersonia involucrata,Boddington_1,ericoid_mycorrhizal,hair roots only,-31.35,115.9,31° 21' 115° 54',31,21,115,54,Boddington,WA
Andersonia lehmanniana ,Perth,ericoid_mycorrhizal,hair roots only,-31.95,115.8666667,"31"" 57' 115° 52'",31,57,115,52,Perth,WA
Astroloma ciliatum,Boddington_1,ericoid_mycorrhizal,hair roots only,-31.35,115.9,31° 21' 115° 54',31,21,115,54,Boddington,WA
Astroloma microcalyx,Perth,ericoid_mycorrhizal,hair roots only,-31.95,115.8666667,"31"" 57' 115° 52'",31,57,115,52,Perth,WA
Astroloma xerophyllum,Gingin,ericoid_mycorrhizal,hair roots only,-31.35,115.9,31° 21' 115° 54',31,21,115,54,Gingin,WA
Brachyloma preissii,Mandurah,ericoid_mycorrhizal,hair roots only,-32.36666667,115.7166667,32° 22' 115° 43',32,22,115,43,Mandurah,WA
Conostephium pendulum,Eneabba,ericoid_mycorrhizal,hair roots only,-29.81666667,115.2666667,29° 49' 115° 16',29,49,115,16,Eneabba,WA
Conostephium pendulum,Gingin,ericoid_mycorrhizal,hair roots only,-31.35,115.9,31° 21' 115° 54',31,21,115,54,Gingin,WA
Leucopogon conostephioides,Gingin,ericoid_mycorrhizal,hair roots only,-31.35,115.9,31° 21' 115° 54',31,21,115,54,Gingin,WA
Leucopogon kingianus,Gingin,ericoid_mycorrhizal,hair roots only,-31.35,115.9,31° 21' 115° 54',31,21,115,54,Gingin,WA
Leucopogon propinquus,Denmark,ericoid_mycorrhizal,hair roots only,-34.95,117.35,34° 57' 117° 21',34,57,117,21,Denmark,WA
Lysinema ciliatum,Eneabba,ericoid_mycorrhizal,hair roots only,-29.81666667,115.2666667,29° 49' 115° 16',29,49,115,16,Eneabba,WA
Sphenotoma sp.,Augusta,ericoid_mycorrhizal,hair roots only,-34.33333333,115.15,34° 20' 115° 09',34,20,115,9,Augusta,WA
