site_text,latitude,longitude,total soil P (ug/g),total soil N %
AgnesBanks_12,-33.6,150.7166667,5,<0.01
Castlereagh1_12,-33.65,150.7,205,0.059
Castlereagh2_12,-33.65,150.7,205,0.059
KCNP_east_12,-33.68333333,151.1333333,94,0.03
KCNP_west_12,-33.68333333,151.1333333,94,0.03
MU_forest_12,-33.78333333,151.1166667,,
MUcampus_12,-33.78333333,151.1166667,,
WestHead_12,-33.56666667,151.2833333,440,0.26
