site_name,trait_name,unit,value,notes
AgnesBanks,longitude,deg,150.7166667,
AgnesBanks,latitude,deg,-33.6,
AgnesBanks,soil total P,ug/g,5,
AgnesBanks,% soil N,%,<0.01,
Castlereagh1,longitude,deg,150.7,
Castlereagh1,latitude,deg,-33.65,
Castlereagh1,soil total P,ug/g,205,
Castlereagh1,% soil N,%,0.059,
Castlereagh2,longitude,deg,150.7,
Castlereagh2,latitude,deg,-33.65,
Castlereagh2,soil total P,ug/g,205,
Castlereagh2,% soil N,%,0.059,
KCNP_east,longitude,deg,151.1333333,
KCNP_east,latitude,deg,-33.68333333,
KCNP_east,soil total P,ug/g,94,
KCNP_east,% soil N,%,0.03,
KCNP_west,longitude,deg,151.1333333,
KCNP_west,latitude,deg,-33.68333333,
KCNP_west,soil total P,ug/g,94,
KCNP_west,% soil N,%,0.03,
MU_forest,longitude,deg,151.1166667,
MU_forest,latitude,deg,-33.78333333,
MU_forest,soil total P,ug/g,NA,
MU_forest,% soil N,%,,
MUcampus,longitude,deg,151.1166667,
MUcampus,latitude,deg,-33.78333333,
MUcampus,soil total P,ug/g,NA,
MUcampus,% soil N,%,,
WestHead,longitude,deg,151.2833333,
WestHead,latitude,deg,-33.56666667,
WestHead,soil total P,ug/g,440,
WestHead,% soil N,%,0.26,
