"site_name","trait_name","unit","value"
"AgnesBanks","soil total P","ug/g","5"
"Castlereagh1","soil total P","ug/g","205"
"Castlereagh2","soil total P","ug/g","205"
"KCNP_east","soil total P","ug/g","94"
"KCNP_west","soil total P","ug/g","94"
"MU_forest","soil total P","ug/g",NA
"MUcampus","soil total P","ug/g",NA
"WestHead","soil total P","ug/g","440"
"AgnesBanks","% soil N","%","<0.01"
"Castlereagh1","% soil N","%","0.059"
"Castlereagh2","% soil N","%","0.059"
"KCNP_east","% soil N","%","0.03"
"KCNP_west","% soil N","%","0.03"
"MU_forest","% soil N","%",""
"MUcampus","% soil N","%",""
"WestHead","% soil N","%","0.26"
