Event ID,Accession Number,Scientific Name,Dataset Title,Locality,Decimal Latitude,Decimal Longitude,Seed/gm,Quantity (count),Quantity (g),Thousand Seed Weight,Storage Relative Humidity,Purity,Storage Temperature,Collection Date,Storage Date,Storage Seed Bank,Collector,Pre-Storage Treatment/History,Plant Form,Form in Storage,Cultivated,Duplicates / Replicates,Permit Number,Collection Fill Rate / X-Ray,Publication DOI,Date Tested,Test Length,Number Germinated,Number Full,Number Empty,Number Not Viable,Number Tested,Germination Rate,Adjusted Germination,Viability,Pre-test Processing Notes,Treatment Media/Substrate,Treatment Day Temp,Treatment Night Temp,Treatment Light Hours,Treatment Dark Hours,Treatment Pretreatment
BGQLD.0977,BGQLD.0977,Aponogeton bullosus,Brisbane Botanic Gardens,,,,,1,,,,,,10/22/2016,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0455,BGQLD.0455,Polyscias sambucifolia,Brisbane Botanic Gardens,,,,,1606,,,,,,2/23/2007,,Brisbane Botanic Gardens,"PB, JH",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0213,BGQLD.0213,Pittosporum angustifolium,Brisbane Botanic Gardens,,,,,1,,,,,,1/17/2006,,Brisbane Botanic Gardens,"PB, DB",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0028,BGQLD.0028,Bursaria spinosa,Brisbane Botanic Gardens,,,,,1,,,,,,3/3/2005,,Brisbane Botanic Gardens,PB,,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0624,BGQLD.0624,Pittosporum spinescens,Brisbane Botanic Gardens,Mt Etna. Approx 22km N of Rockhampton,-23.165278,150.465833,,5738,,,,,,4/24/2009,,Brisbane Botanic Gardens,"JH, FM",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.0878,BGQLD.0878,Pittosporum wingii,Brisbane Botanic Gardens,"Dinden NP, Davies Ck Rd, 50m along disused section from carpark",-17.030917,145.605917,,1,,,,,,11/13/2014,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0458,GAQLD.0458,Trachymene glandulosa,Brisbane Botanic Gardens,"Lawn Hill NP, at entrance grid 3.5km from camp ground",-18.727778,138.4925,,3961,,,,,,6/7/2009,,Greening Australia QLD,"JH, BB",,,,,,,,,,,,,,,,,,,,,,,,,
UQLD.0127,UQLD.0127,Trachymene ochracea,Brisbane Botanic Gardens,,,,,1,,,,,,11/3/2005,,UQ Seed Bank,"Gr, Ge",,,,,,,,,,,,,,,,,,,,,,,,,
BGQLD.1036,BGQLD.1036,Pittosporum venulosum,Brisbane Botanic Gardens,,,,,1,,,,,,4/23/2017,,Brisbane Botanic Gardens,"JH, SB",,,,,,,,,,,,,,,,,,,,,,,,,
GAQLD.0263,GAQLD.0263,Hydrocotyle acutiloba,Brisbane Botanic Gardens,,,,,2127,,,,,,,,Greening Australia QLD,TTD,,,,,,,,,,,,,,,,,,,,,,,,,
