Species,vessel_diameter (um),hydraulic_vessel_diameter (um),longitude (deg),latitude (deg),latitude (dms),vessel_diameter (um) - SE,hydraulic_vessel_diameter (um) - SE,location_name
Aegiceras corniculatum,17.1,24.2,150.2,-35.708,35°42′30′S,0.68,1.22,Batemans Bay
Avicennia marina,19.1,29,150.2,-35.708,35°42′30′S,0.35,0.66,Batemans Bay
Rhizophora stylosa,22.2,35.2,153.37,-27.778,27°46′41′S,1.17,0.9,Jacobs Well
