taxon_name,scientificNameAuthorship,genus_APC,genus_Sjostrom,habit_to_use,lifespan_to_use,sex_type_to_use,fruit_to_use,original_name
Aciphylla glacialis,(F.Muell.) Benth.,Aciphylla,Aciphylla,NA,2,8,15,NA
Aciphylla simplicifolia,(F.Muell.) Benth.,Aciphylla,Aciphylla,NA,2,8,15,NA
Actinotus bellidioides,(Hook.f.) Benth.,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus forsythii,Maiden & Betche,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus gibbonsii,F.Muell.,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus glomeratus,Benth.,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus helianthi,Labill.,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus humilis,(F.Muell. & Tate) Domin,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus laxus,Keighery,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus leucocephalus,Benth.,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus minor,(Sm.) DC.,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus moorei,F.Muell. ex Rodway,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus omnifertilis,(F.Muell.) Benth.,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus paddisonii,R.T.Baker,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus periculosus,Henwood,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus repens,Keighery ex Henwood,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus rhomboideus,(Turcz.) Benth.,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus schwarzii,F.Muell.,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus sp. Comet Vale (A.V.Milewski AVM1093),WA Herbarium,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus suffocatus,(Hook.f.) Rodway,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus superbus,O.H.Sarg.,Actinotus,Actinotus,NA,NA,NA,15,NA
Actinotus whicheranus,Keighery,Actinotus,Actinotus,NA,NA,NA,15,NA
