name_original,SLA (cm2 g)
Atherosperma moschatum,171.5
Eucryphia lucida,148.7
Anopterus glandulosus,152
Nothofagus cunninghamii,143.3
Endiandra microneura,100
Myristica globosa,166
Palaquium galactoxlyon,159.9
Polyscias australiana,297.8
Elaeocarpus angustifolius,271.4
Melicope jonesii,322.9
