Sample,location,Soil,Species,Region,Planted,Tree height [m],Circumference [cm],BHD [cm],Leaf No.,"Celluloseext. durchführt Abt. 14C, Lars  09.2006  [d13C]","2. Celluloseext. durchführt Abt. 14C, Lars  09.2006  [d13C]",av delta C (29.78 per mille VPDB),av d13C,av d13C 1.Result,av d13C 2. Result,av C%,av C% 1.Result,av C% 2.Result, N (g/m2),N 1.Result,N 2.Result,Stemnumber,Leaf area (cm2),Leaf Area (m2),Leaf size [area/Leaf],Dry matter (g) ,Dry matter (kg),Specific Leaf Area (m2 kg),AVG,Comments
1,Coolgardie arboretum,clay,Eucalyptus loxophleba,Coolgardie,1978,8,25,7.96,21,,,-23.84176913,-24.09176913,-24.09961451,-24.08392375,,53.38964462,,3.470614945,1.543825269,,1,167.7,0.01677,7.99,3.77,0.00377,4.448275862,,
2,Coolgardie arboretum,clay,Eucalyptus loxophleba,Coolgardie,1978,7,18,5.73,17,,,-24.66241189,-24.91241189,,,,54.09683609,53.99346542,3.919790714,1.469670892,1.446942329,1,146.6,0.01466,8.62,3.91,0.00391,3.749360614,,
3,Coolgardie arboretum,clay,Eucalyptus loxophleba,Coolgardie,1978,6,15,4.77,14,,,-24.70604677,-24.95604677,,,,54.93438339,,3.915402281,1.488380194,,1,112.9,0.01129,8.06,2.97,0.00297,3.801346801,,
4,Coolgardie arboretum,clay,Eucalyptus loxophleba,Coolgardie,1978,10,26,8.28,14,,,-23.94377869,-24.19377869,,,,54.08911514,,4.628740423,1.743530512,,1,151.8,0.01518,10.84,4.03,0.00403,3.76674938,,
5,Coolgardie arboretum,clay,Eucalyptus intertexta,Coolgardie,1978,3,9,2.86,15,,,-25.42090012,-25.67090012,-25.70679227,-25.63500796,,52.16779327,,5.338806474,1.803181887,,multi,135.1,0.01351,9.01,4,0.004,3.3775,,
6,Coolgardie arboretum,clay,Eucalyptus intertexta,Coolgardie,1978,7,15,4.77,20,,,-24.71826327,-24.96826327,,,,50.63551712,,3.473034774,1.361305594,,1,131.7,0.01317,6.59,3.36,0.00336,3.919642857,,
7,Coolgardie arboretum,clay,Eucalyptus intertexta,Coolgardie,1978,7,18,5.73,17,,,-24.70334724,-24.95334724,,,,51.91667557,51.83567429,4.311193269,1.640947938,1.643256307,1,121.8,0.01218,7.16,3.2,0.0032,3.80625,,damaged leaves
8,Coolgardie arboretum,clay,Eucalyptus intertexta,Coolgardie,1978,4,10,3.18,18,,,-25.28637355,-25.53637355,,,,50.66426849,,4.077522356,1.605451822,,1,138.2,0.01382,7.68,3.51,0.00351,3.937321937,,
9,Coolgardie arboretum,clay,Eucalyptus jutsonii,Coolgardie,1978,5,8,2.55,19,,,-25.71449863,-25.96449863,-25.93528796,-25.9937093,,52.51205063,,4.97687982,1.292876601,,multi,46.5,0.00465,2.45,1.79,0.00179,2.597765363,,small shrub-like (normally grows on sands)
10,Coolgardie arboretum,clay,Eucalyptus jutsonii,Coolgardie,1978,2.5,7,2.23,17,-22.04085645,-21.88590921,-24.51327477,-24.76327477,,,,50.72239685,,5.44073778,1.289559484,,multi,49.3,0.00493,2.9,2.08,0.00208,2.370192308,,small shrub-like (normally grows on sands)
11,Coolgardie arboretum,clay,Eucalyptus jutsonii,Coolgardie,1978,3.5,10,3.18,21,,,-25.02483281,-25.27483281,,,,52.00540161,51.93824387,5.597781883,1.244683266,1.256061912,multi,37.8,0.00378,1.8,1.7,0.0017,2.223529412,,small shrub-like (normally grows on sands) leaves dead at tips
12,Coolgardie arboretum,clay,Eucalyptus jutsonii,Coolgardie,1978,2,7,2.23,20,,,-24.27317654,-24.52317654,,,,52.52914429,,6.191163631,1.276082635,,multi,47.2,0.00472,2.36,2.29,0.00229,2.061135371,,small shrub-like (normally grows on sands)
13,Coolgardie arboretum,clay,Eucalyptus youngiana,Coolgardie,1980,7,13,4.14,10,,,-23.76342691,-24.01342691,,,,52.71589661,,3.867585604,1.046138287,,2,143.9,0.01439,14.39,5.32,0.00532,2.704887218,,each stem 13 m high
14,Coolgardie arboretum,clay,Eucalyptus youngiana,Coolgardie,1980,6,7,2.23,12,,,-25.2917024,-25.5417024,-25.52344126,-25.55996354,,52.58113861,,4.338815841,1.12448895,,2,149.8,0.01498,12.48,5.78,0.00578,2.591695502,,leaf tip burn
15,Coolgardie arboretum,clay,Eucalyptus youngiana,Coolgardie,1980,7,8,2.55,13,,,-24.06881242,-24.31881242,,,,53.02839279,,4.721966395,1.089115739,,2,206.2,0.02062,15.86,8.94,0.00894,2.306487696,,
16,Coolgardie arboretum,clay,Eucalyptus youngiana,Coolgardie,1980,5,6,1.91,10,,,-24.65150368,-24.90150368,,,,53.09486771,53.39261627,4.383905729,1.052137375,1.053234816,multi,202.8,0.02028,20.28,8.45,0.00845,2.4,,
17,Coolgardie arboretum,clay,Eucalyptus youngiana,Coolgardie,1980,5,6,1.91,9,,,-25.07036281,-25.32036281,,,,54.01179504,,4.388574585,1.101532221,,2,125.5,0.01255,13.94,5,0.005,2.51,,
18,Coolgardie arboretum,clay,Eucalyptus calcogona,Coolgardie,1976,7,9,2.86,16,,,-24.05330075,-24.30330075,-24.32482015,-24.28178135,,53.45811844,,4.452037972,1.252720594,,1,93.7,0.00937,5.86,3.33,0.00333,2.813813814,,
19,Coolgardie arboretum,clay,Eucalyptus calcogona,Coolgardie,1976,7,8,2.55,16,,,-23.83475314,-24.08475314,,,,53.17351913,53.14550781,4.846092569,1.40015769,1.376259208,1,88.7,0.00887,5.54,3.07,0.00307,2.889250814,,
20,Coolgardie arboretum,clay,Eucalyptus calcogona,Coolgardie,1976,7,9,2.86,15,,,-24.35025842,-24.60025842,,,,54.25007629,,4.924781046,1.347735882,,multi,71.7,0.00717,4.78,2.62,0.00262,2.736641221,,
21,Coolgardie arboretum,clay,Eucalyptus calcogona,Coolgardie,1976,7,7,2.23,15,,,-24.80152855,-25.05152855,,,,54.7411499,,4.332080377,1.196962833,,multi,106.1,0.01061,7.07,3.84,0.00384,2.763020833,,
22,Coolgardie arboretum,clay,Eucalyptus urna,Coolgardie,1976,9,18,5.73,16,,,-26.0281137,-26.2781137,-26.30730376,-26.24892365,,53.62004852,,4.568627589,1.09360528,,1,137.4,0.01374,8.59,5.74,0.00574,2.393728223,,
23,Coolgardie arboretum,clay,Eucalyptus urna,Coolgardie,1976,9,18,5.73,18,,,-26.06871754,-26.31871754,,,,51.23872375,,4.24617004,1.084896445,,1,102.2,0.01022,5.68,4,0.004,2.555,,
24,Coolgardie arboretum,clay,Eucalyptus urna,Coolgardie,1976,7,13,4.14,25,,,-25.16169852,-25.41169852,,,,54.36663055,54.07382584,4.469535853,1.125903606,1.15918231,2,171.8,0.01718,6.87,6.82,0.00682,2.519061584,,
25,Coolgardie arboretum,clay,Eucalyptus urna,Coolgardie,1976,8,16,5.09,26,-22.75147352,-22.84508913,-25.7345341,-25.9845341,,,,52.43914795,,4.140615015,1.080627084,,1,191.3,0.01913,7.36,7.33,0.00733,2.609822647,,
26,Coolgardie arboretum,clay,Eucalyptus kingsmillii,Coolgardie,1976,4,6,1.91,13,,,-24.73025835,-24.98025835,,,,53.32710266,,3.867850725,0.960837126,,multi,164.7,0.01647,12.67,6.63,0.00663,2.484162896,,mallee form
27,Coolgardie arboretum,clay,Eucalyptus kingsmillii,Coolgardie,1976,4,7,2.23,15,,,-24.06847171,-24.31847171,-24.21422621,-24.42271721,,51.23815918,,4.65608157,1.080210924,,multi,116,0.0116,7.73,5,0.005,2.32,,mallee form
