Tree,Species,location_name,collection_date,Scan_position,Scan_position_age_year,Embolized_vessels_percent,Embolized_area_percent,Theoretical_conductance_nativescan,Theoretical_conductance_controlscan,Percentage_loss_of_conductance,stem_P50
Eucalyptus 1,Eucalyptus pulchella,woodland,10/8/2019,1,2,62.7,61.2,0.5,0.7,65,
Eucalyptus 1,Eucalyptus pulchella,woodland,10/8/2019,2,4,63,66.1,1.6,2.3,67,
Eucalyptus 1,Eucalyptus pulchella,woodland,10/8/2019,3,7,60.1,75.2,3.2,3.7,87,
Eucalyptus 2,Eucalyptus pulchella,woodland,10/8/2019,1,1,16.5,19.6,0.6,2.6,23,
Eucalyptus 2,Eucalyptus pulchella,woodland,10/8/2019,3,3,27.8,38,3.5,7.5,47,
Acacia 1,Acacia mearnsii,woodland,10/8/2019,1,2,9.3,7.3,3,4,8,
Acacia 1,Acacia mearnsii,woodland,10/8/2019,2,4,16.3,11.7,0.4,1.9,23,
Acacia 1,Acacia mearnsii,woodland,10/8/2019,3,7,38.9,40,2.3,5.8,40,
Acacia 2,Acacia mearnsii,woodland,10/8/2019,1,1,10.6,11.7,0.6,4.7,12,
Acacia 2,Acacia mearnsii,woodland,10/8/2019,2,2,27.2,27.5,1.1,4.5,25,
Acacia 2,Acacia mearnsii,woodland,10/8/2019,3,3,24.5,18.4,0.9,6,15,
Callitris 1,Callitris rhomboidea,woodland,10/8/2019,1,2,,1.4,,,,
Callitris 1,Callitris rhomboidea,woodland,10/8/2019,2,4,,0.3,,,,
Callitris 1,Callitris rhomboidea,woodland,10/8/2019,3,5,,0.1,,,,
Callitris 2,Callitris rhomboidea,woodland,10/8/2019,1,3,,0.1,,,,
Callitris 2,Callitris rhomboidea,woodland,10/8/2019,2,4,,0.1,,,,
Callitris 2,Callitris rhomboidea,woodland,10/8/2019,3,7,,0.5,,,,
,Eucalyptus pulchella,woodland,2020/05-2020/08,,,,,,,,-5.18
,Acacia mearnsii,woodland,2020/05-2020/08,,,,,,,,-6.12
,Callitris rhomboidea,woodland,2020/05-2020/08,,,,,,,,-7.24
