var_name,character,unit
SLA(mm2/mg),specific_leaf_area,mm2/mg
Height (cm),plant_height,mm
Leaf Size (mm2),leaf_area,mm2
Seed mass (mg),seed_mass,mg
"GrowthForm 1=tree; 2=shrub; 3=subshrub; 4=forb; 5=grass; 8=fern; 10=climber; 11=orchid, epiphyte.",plant_growth_form,
"Seed Dispersal syndrome 1=unassisted; 2=ant (elaiosome); 3=vertebrate ingestion (fleshy); 4=adhesion (hooks etc); 5=wind (wing, pappus); 6=ballistic+ant; 7=ba llistic; 8=vertebrate.",dispersal_syndrome,
