sort,Species,StrataBinary,Site,Lat_decimal,Long_decimal,SeedDM,seed_mass_to_use,study_with_seed_mass_duplicate,StemDensity,StemDensity_to_use,study_duplicated_for_wood_density,LA,LtLeaf,LMA,LDM,LSleaf,LSS,LSD,HeightM,HeightPlant,L1Lflt2,nLsample,LVleaf,LFrLeaf,LDrLeaf,LH20Leaf,LDV,LLV,LFV,LLA,LFA,SLA,LWC,Lasample,LVsample,LFrWtSample,LDryWtSample,LH20WtSample,LSg,Stem water displacement,Stem dry wt,Diam,UniqueID,LeafID,PlantID,SpTrees,SpID,AngioNon,Notes,Location,LF,HeightMax,ReproAge,ReproCLE,Pollination_syndrome,Fruit_type,FruitFG,DispClass,DispSimple,DispC3,cotsExp,cotsEH,cotsFR,LEE,omit,description
118,Alphitonia whitei,Stratum_2_adult_plant,Kanowski JK15,-17.78676,145.55958,NA,NA,NA,NA,NA,NA,67.8,NA,149.5573104,0.4833,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6864,0.5167,NA,NA,NA,NA,NA,NA,NA,NA,NA,1305,alpwhiAjk8,alpwhiAjk8,Alphitonia_whitei,Awh,0,NA,JK15,T,27,2,6,Flies,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,1.8,Kanowski,TF Rd rhyolite
165,Alstonia muelleriana,Stratum_2_adult_plant,Kanowski JK15,-17.78676,145.55958,NA,NA,NA,NA,NA,NA,49.4,0.2146,89.02896112,0.3293,NA,NA,NA,NA,NA,1,NA,1.060124,NA,NA,NA,0.414860024,NA,NA,NA,NA,11.2323,0.6707,NA,NA,NA,NA,NA,NA,NA,NA,NA,1323,alsmueAjk2,alsmueAjk2,Alstonia_muelleriana,Amu,0,NA,JK15,C,37,2,7,Butterflies,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",Ws,Ws,Wind,W,1,1,1,4,Kanowski,TF Rd rhyolite
437,Cardwellia sublimis,Stratum_2_adult_plant,Kanowski JK15,-17.78676,145.55958,NA,NA,NA,NA,NA,NA,56.4,0.2413,123.0496628,0.4166,NA,NA,NA,NA,NA,2,NA,1.360932,NA,NA,NA,0.509944728,NA,NA,NA,NA,8.1268,0.5834,NA,NA,NA,NA,NA,NA,NA,NA,NA,1452,carsubAjk8,carsubAjk8,Cardwellia_sublimis,Csu,0,NA,JK15,C,41,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.92,Kanowski,TF Rd rhyolite
438,Cardwellia sublimis,Stratum_2_adult_plant,Kanowski JK15,-17.78676,145.55958,NA,NA,NA,NA,NA,NA,67.4,0.254,133.2338521,0.4159,NA,NA,NA,NA,NA,2,NA,1.71196,NA,NA,NA,0.524542725,NA,NA,NA,NA,7.5056,0.5841,NA,NA,NA,NA,NA,NA,NA,NA,NA,1453,carsubAjk9,carsubAjk9,Cardwellia_sublimis,Csu,0,NA,JK15,C,41,3,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.92,Kanowski,TF Rd rhyolite
772,Darlingia darlingiana,Stratum_2_adult_plant,Kanowski JK15,-17.78676,145.55958,NA,NA,NA,NA,NA,NA,63.8,0.34592,185.5804027,0.4643,NA,NA,NA,NA,NA,1,NA,2.2069696,NA,NA,NA,0.536483588,NA,NA,NA,NA,5.3885,0.5357,NA,NA,NA,NA,NA,NA,NA,NA,NA,1616,dardarAjk3,dardarAjk3,Darlingia_darlingiana,Dda,0,NA,JK15,C,38,2,7,Bees,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.6,Kanowski,TF Rd rhyolite
1235,Flindersia bourjotiana,Stratum_2_adult_plant,Kanowski JK15,-17.78676,145.55958,NA,NA,NA,NA,NA,NA,26.6,0.38,165.4122901,0.4112,NA,NA,NA,NA,NA,2,NA,1.0108,NA,NA,NA,0.4352955,NA,NA,NA,NA,6.0455,0.5888,NA,NA,NA,NA,NA,NA,NA,NA,NA,1867,flibouAjk16,flibouAjk16,Flindersia_bourjotiana,Fbo,0,NA,JK15,C,38,2,7,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.86,Kanowski,TF Rd rhyolite
1236,Flindersia bourjotiana,Stratum_2_adult_plant,Kanowski JK15,-17.78676,145.55958,NA,NA,NA,NA,NA,NA,25.8,0.40894,170.5436933,0.4198,NA,NA,NA,NA,NA,2,NA,1.0550652,NA,NA,NA,0.417038424,NA,NA,NA,NA,5.8636,0.5802,NA,NA,NA,NA,NA,NA,NA,NA,NA,1868,flibouAjk17,flibouAjk17,Flindersia_bourjotiana,Fbo,0,NA,JK15,C,38,2,7,Beetles,"Dry indehiscent with wing or plume (e.g. cypsela, samara, plumed achene, etc.)",WL,WL,Wind,W,1,1,1,1.86,Kanowski,TF Rd rhyolite
1910,Polyscias australiana,Stratum_2_adult_plant,Kanowski JK15,-17.78676,145.55958,NA,NA,NA,NA,NA,NA,84.4,0.18606,61.13740019,0.286,NA,NA,NA,NA,NA,2,NA,1.5703464,NA,NA,NA,0.328589703,NA,NA,NA,NA,16.3566,0.714,NA,NA,NA,NA,NA,NA,NA,NA,NA,2197,polausAjk3,polausAjk3,Polyscias_australiana,Pan,0,NA,JK15,S,18,1,5.5,Bees,"Fleshy (berry, pome, pepo, etc.)",DrS,DivLs,Flying,DivLs,1,1,1,2.37,Kanowski,TF Rd rhyolite
2249,Sloanea macbrydei,Stratum_2_adult_plant,Kanowski JK15,-17.78676,145.55958,NA,NA,NA,NA,NA,NA,29.2,0.1886,117.1234481,0.4622,NA,NA,NA,NA,NA,1,NA,0.550712,NA,NA,NA,0.621015101,NA,NA,NA,NA,8.538,0.5378,NA,NA,NA,NA,NA,NA,NA,NA,NA,2368,slomacAjk4,slomacAjk4,Sloanea_macbrydei,Smb,0,NA,JK15,C,31,3,6,Beetles,"Dry dehiscent with fleshy reward  (e.g. aril, funicle, elaiosome, etc.)",DrS,DivAv,Flying,DivAv,1,1,1,2.02,Kanowski,TF Rd rhyolite
2375,Syzygium johnsonii,Stratum_2_adult_plant,Kanowski JK15,-17.78676,145.55958,NA,NA,NA,NA,NA,NA,24.6,0.33576,142.2758444,0.3678,NA,NA,NA,NA,NA,1,NA,0.8259696,NA,NA,NA,0.423742686,NA,NA,NA,NA,7.0286,0.6322,NA,NA,NA,NA,NA,NA,NA,NA,NA,2427,syzjonAjk1,syzjonAjk1,Syzygium_johnsonii,Sjo,0,NA,JK15,C,28,3,6.5,Beetles,"Fleshy (berry, pome, pepo, etc.)",DrM,DivLs,Flying,DivLs,0,0,0,2.06,Kanowski,TF Rd rhyolite
