Site_name,latitude (deg),longitude (deg)
Hawkesbury Forest Experiment,-33.61118333,150.7407833
Hawkesbury campus,-33.61118333,150.7407833
Lesueur National Park,-30.18386667,115.1554417
Illawarra Fly,-34.61828333,150.71325
Daveys Park Reserve,-33.70776667,150.5476333
EucFACE_Richmond,-33.61816667,150.7338
