species,time to flowering (min),time to flowering (max),time to flowering (mean),height at flowering (cm),basal diameter at flowering,seed viability,seed germination,dormancy,seedbank longevity,time to fruiting (days),pollination_syndrome
Calotropis procera,125,250,190,85,45,85,100,none,transient,412,insect
Calotropis gigantea,116,146,125,85,31,,,,,250,insect
