sample #,sample detail,site.id,location detail,GPS coords,species sampled,replicate #,date,country,laboratory,pH (water),pH (CaCl2),Total P_mg.kg,Olsen P_mg.kg,Resin P_mg.kg,Total N_%,%OM,Ca mg / kg,Fe mg / kg,K mg / kg,Mg mg / kg,Mn mg / kg,Ca cmol/kg,Fe cmol/kg,K cmol/kg,Mg cmol/kg,Mn cmol/kg,ECEC
A.4,P.Line 1,P.Line,Bassendean,S30° 09.474' E115° 06.958',"BA,BM,HI,HP.A,PM",1,6/17/2015,Australia,STRI,6.55,5.52,10.5,0.09,0.31,0.012,0.83,79.27,0.73,10.61,17.39,0.35,0.4,0.01,0.03,0.14,0.009,0.61
A.5,P.Line 2,P.Line,Bassendean,S30° 09.474' E115° 06.958',"BA,BM,HI,HP.A,PM",2,6/17/2015,Australia,STRI,6.38,5.41,10.5,0.14,0.40,0.005,0.91,102.52,0.55,8.43,13.93,0.26,0.51,0.01,0.02,0.11,0.009,0.67
A.6,P.Line 3,P.Line,Bassendean,S30° 09.474' E115° 06.958',"BA,BM,HI,HP.A,PM",3,6/17/2015,Australia,STRI,6.02,4.81,12.3,0.14,0.76,0.03,1.54,162.44,0.95,11.61,35.63,0.69,0.81,0.01,0.03,0.29,0.003,1.22
A.7,N. Lesueur 1,N.Lesueur,Bassendean,S30° 08.212' E115° 06.356',BP.A,1,6/17/2015,Australia,STRI,6.17,5.06,8.9,0.14,0.31,0.012,0.89,144.25,1.89,14.29,17.77,0.1,0.72,0.01,0.04,0.15,0,0.98
A.8,N. Lesueur 2,N.Lesueur,Bassendean,S30° 08.212' E115° 06.356',BP.A,2,6/17/2015,Australia,STRI,6.12,4.84,10.3,0.27,0.40,0.005,1.23,206.36,1.24,10.18,26.31,0.29,1.03,0.01,0.03,0.22,0.001,1.34
A.9,N. Lesueur 3,N.Lesueur,Bassendean,S30° 08.212' E115° 06.356',BP.A,3,6/17/2015,Australia,STRI,6.03,4.69,8.4,0.27,0.35,0.005,0.82,156.59,1.73,5.81,20.87,0.04,0.78,0.01,0.01,0.17,0,1.06
A.10,M. Lesueur 1,M.Lesueur,Peron slopes,S30° 09.986' E115° 12.060',PC,1,6/17/2015,Australia,STRI,5.93,4.43,10.2,0.14,0.61,0.005,1.24,181.76,0.69,4.92,19.86,0.94,0.91,0.01,0.01,0.16,0.009,1.14
A.11,M. Lesueur 2,M.Lesueur,Peron slopes,S30° 09.986' E115° 12.060',PC,2,6/17/2015,Australia,STRI,5.91,4.71,10.8,0.14,0.66,0.026,1.45,286.91,1.02,8.1,45.88,0.89,1.43,0.01,0.02,0.38,0.003,1.93
A.12,M. Lesueur 3,M.Lesueur,Peron slopes,S30° 09.986' E115° 12.060',PC,3,6/17/2015,Australia,STRI,5.9,4.57,13,0.27,0.99,0.03,2.3,327.26,1.24,12.04,38.32,0.86,1.63,0.01,0.03,0.32,0.003,2.07
