Species,region,GF,site,leaf area (mm2),SLA  mm2/mg-1,LDMC (mg/g-1)
Stylidium sp. (aff. graminifolium),Alpine,Herb,Below Clarke 4,110.075,10.1827012,1403.896104
Isolepsis aucklandica,Alpine,graminoid,Betts Creek,16.97666667,14.41415094,336.5079365
Isolepsis crassiuscula,Alpine,graminoid,Betts Creek,46.6798,18.59752988,295.2941176
Myriophyllum pedunculatum subsp. pedunculatum,Alpine,Herb,Betts Creek,6.398,22.85,147.3684211
Carex hebes,Alpine,graminoid,Between Clarke 3 and 2,168.81,19.09615385,394.6428571
Melicytus sp. (Hymenanthera auct.),Alpine,Shrub,Between Clarke 3 and 2,27.7,12.14912281,296.1038961
Schizeilema fragoseum,Alpine,Herb,Between Clarke 3 and 2,234.781,12.52833511,183.5455436
Isolepsis montivaga,Alpine,graminoid,Charlotte Pass below Mt Stilwell,25.115,11.62731481,284.2105263
Juncus antarcticus,Alpine,graminoid,Charlotte Pass below Mt Stilwell,15.74744444,13.12287037,444.4444444
Rytidosperma pumilum,Alpine,graminoid,Charlotte Pass below Mt Stilwell,35.6148,11.27050633,478.7878788
Schoenus calyptratus,Alpine,graminoid,Charlotte Pass below Mt Stilwell,13.0548,15.7286747,296.4285714
Juncus falcatus,Alpine,graminoid,Charlotte Pass Cafe,119.8731,14.06961268,314.3911439
Brachyscome nivalis,Alpine,Herb,Charlotte Pass Carpark,133.007,12.37911065,193.7875752
Gonocarpus montanus,Alpine,Herb,Charlotte Pass Chairlift,28,11.40271493,303.1550069
Rhodanthe anthemoides,Alpine,Herb,Charlotte Pass Chairlift,27.125,13.49502488,261.038961
Brachyscome obovata,Alpine,Herb,Charlotte Pass Lodge,164.887,9.885305755,22.51012146
Carex echinata,Alpine,graminoid,Charlotte Pass Lodge,158.137,17.74828283,29.89932886
Craspedia aurantia,Alpine,Herb,Charlotte Pass Lodge,837.246,23.73146259,19.93220339
Deyeuxia carinata,Alpine,graminoid,Charlotte Pass Lodge,352.965,12.69200647,32.75618375
Geranium antrorsum,Alpine,Herb,Charlotte Pass Lodge,458.088,14.3556346,25.73387097
Herpolirion novae-zelandiae,Alpine,Herb,Charlotte Pass Lodge,57.6173,14.66089059,30.46511628
Luzula modesta,Alpine,graminoid,Charlotte Pass Lodge,355.7511111,19.58262997,25.37243948
Oreobolus distichus,Alpine,graminoid,Charlotte Pass Lodge,26.1134,7.635497076,34.2
Ozothamnus secundiflorus,Alpine,Shrub,Charlotte Pass Lodge,88.745,13.59035222,32.00980392
Podocarpus lawrencei,Alpine,Shrub,Charlotte Pass Lodge,20.7753,6.995050505,39.6
Ranunculus dissectifolius,Alpine,Herb,Charlotte Pass Lodge,845.9502,8.709463605,22.61993479
Tasmannia xerophila subsp. xerophila,Alpine,Shrub,Charlotte Pass Lodge,503.1498,7.99157878,31.41716567
Viola fuscoviolacea,Subalpine,Herb,Charlotte Pass Lodge,48.753,26.07112299,18.51485149
Austrodanthonia alpicola,Alpine,graminoid,Charlotte Pass Phenology Site,81.899,8.53109375,484.8484848
Cardamine lilacina s.l.,Alpine,Herb,Charlotte Pass Phenology Site,101.652,19.39923664,188.4892086
Pratia surrepens s.l.,Alpine,Herb,Club Lake Creek,43.45244444,14.75743396,31.32387707
Brachyscome sp. (aff. tenuiscapa),Alpine,Herb,Club Lake Creek Pool,217.2,13.78170685,17.45293466
Carex canescens,Alpine,graminoid,Club Lake FF,498.748,19.26412901,30.45882353
Epilobium tasmanicum,Alpine,Herb,Club Lake FF,12.348,16.24789474,23.03030303
Euchiton nitidulus,Alpine,Herb,Club Lake FF,22.8084,30.01105263,20
Luzula acutifolia subsp. nana,Alpine,graminoid,Club Lake FF,31.6989,15.53867647,27.94520548
Neopaxia australasica,Alpine,Herb,Club Lake FF,47.9489,21.12286344,10.46082949
Oreobolus pumilio subsp. pumilio,Alpine,graminoid,Club Lake FF,33.6433,9.293729282,37.31958763
Rytidosperma nivicola,Alpine,graminoid,Club Lake FF,43.9868,10.75471883,32.98387097
Geranium potentilloides var.,Alpine,Herb,Dainers Gap,629.979,12.89091876,261.0576923
Linum marginale,Subalpine,Herb,Dainers Gap,25.9055,18.90912409,240.3508772
Ozothamnus sp. (aff. hookeri),Alpine,Shrub,Dainers Gap,3.4392,5.732,240
Scaevola hookeri,Subalpine,Herb,Dainers Gap carpark,62.3,15.15815085,202.4630542
Arthropodium milleflorum,Subalpine,Herb,Dainers Gap SAG3 Site,1152.9,21.04600219,180.0788955
Asperula scoparia,Subalpine,Herb,Dainers Gap SAG3 Site,2.253,22.53,100
Carex appressa,Subalpine,graminoid,Dainers Gap SAG3 Site,1572.1,17.64026032,390.1926445
Derwentia derwentiana subsp. maideniana,Subalpine,Herb,Dainers Gap SAG3 Site,2005.1898,10.33123705,258.8556949
Epilobium sarmentaceum,Alpine,Herb,Dainers Gap SAG3 Site,114.3,18.17170111,253.6290323
Erigeron paludicola,Alpine,Herb,Dainers Gap SAG3 Site,564,20.23681378,102.0131772
Myosotis australis,Subalpine,Herb,Dainers Gap SAG3 Site,129.2,21.53333333,215.8273381
Pimelea axiflora subsp. alpina,Alpine,Shrub,Dainers Gap SAG3 Site,68.5,19.24157303,289.4308943
Stellaria pungens,Subalpine,Herb,Dainers Gap SAG3 Site,10.5,16.40625,220.6896552
Stylidium graminifolium,Subalpine,Herb,Dainers Gap SAG3 Site,274.125,10.36389414,207.7225131
Viola hederacea,Subalpine,Herb,Dainers Gap SAG3 Site,214.4,19.05777778,284.0909091
Xerochrysum bracteatum,Subalpine,Herb,Dainers Gap SAG3 Site,564.1111111,10.31281739,239.6786758
Coprosma niphophila,Alpine,Shrub,East of main range 500m from junction,9.425,9.921052632,263.8888889
Epacris microphylla s.l.,Alpine,Shrub,Edge of track Mt Kosciuszko,4.1,6.721311475,554.5454545
Ewartia nubigena,Alpine,Shrub,Edge of track Mt Kosciuszko,14.7,19.86486486,411.1111111
Leucochrysum albicans subsp. alpinum,Alpine,Herb,Feldmark,194.1206,21.56895556,132.3529412
Ranunculus acrophilus,Alpine,Herb,Feldmark,153.8615,51.28716667,35.29411765
Euphrasia collina var. lapidosa,Alpine,Herb,FMUB1,52.517,17.27529605,26.43478261
Agrostis mulleriana dwarf form,Alpine,graminoid,FMUB2,6.0565,10.26525424,49.16666667
Chionohebe densifolia,Alpine,Shrub,FMUB2,6.893,10.94095238,42
Podolepis robusta,Alpine,Herb,Near Snowy river,3073.8,13.07721761,163.1045729
Carpha nivicola,Alpine,graminoid,On way to Club Lake,142.0231,8.364140165,361.2765957
Chionochloa frigida,Alpine,graminoid,On way to Club Lake,2562.100778,6.981201029,474.7736093
Dichosciadium ranunculaceum var. ranunculaceum,Alpine,Herb,On way to Club Lake,411.387,13.71288667,180
Diplaspis nivis,Alpine,Herb,On way to Club Lake,113106.9082,21381.26809,165.3125
Empodisma minus,Alpine,graminoid,On way to Club Lake,8.782,3.70535865,169.2857143
Plantago glacialis,Alpine,Herb,On way to Club Lake,23.109,8.28265233,398.5714286
Ranunculus gunnianus,Alpine,Herb,On way to Club Lake,811.4869,9.327435632,177.5510204
Uncinia sulcata,Alpine,graminoid,On way to Club Lake,237.72,19.81001667,200
Viola betonicifolia subsp. betonicifolia,Alpine,Herb,On way to Club Lake,177.114,17.17883608,234.3181818
Acaena ovina,Subalpine,Herb,Rennix Walk Car Park,536.4666,9.408393546,386.0528097
Wahlenbergia gloriosa,Alpine,Herb,Saw Pitt Creek Waterfall Walk,73.5655,15.39027197,247.6683938
Brachyscome scapigera,Alpine,Herb,Snow bank1,442.9147,23.3113,124.1830065
Caltha introloba,Alpine,Herb,Snow bank1,188.186,376.372,5.102040816
Aciphylla glacialis,Alpine,Herb,Snowbank below Stillwell,4176.289,7.030789899,255.2642888
Celmisia costiniana,Alpine,Herb,Snowbank below Stillwell,289.666,9.655536667,205.4794521
Craspedia lamicola,Alpine,Herb,Snowbank below Stillwell,1003.4104,20.90438333,112.412178
Craspedia maxgrayi,Alpine,Herb,Snowbank below Stillwell,1041.0999,28.13783514,86.24708625
Erigeron bellidiodes,Alpine,Herb,Snowbank below Stillwell,168.8788,84.4394,30.76923077
Erigeron setosus,Alpine,Herb,Snowbank below Stillwell,19.8564,7.69627907,286.6666667
Euphrasia collina var. diversicolor,Alpine,Herb,Snowbank below Stillwell,47.746,9.362039216,283.3333333
Oreomyrrhis pulvinifica,Alpine,Herb,Snowbank below Stillwell,39.6715,14.8582397,205.3846154
Baeckea utilis var. utilis,Alpine,Shrub,Snowy River Phebalium heath,7.4,7.872340426,408.6956522
Derwentia derwentiana,Subalpine,Herb,Snowy River Phebalium heath,1565.2,8.919026725,297.0379147
Epacris paludosa,Alpine,Shrub,Snowy River Phebalium heath,11.5,9.829059829,433.3333333
Gonocarpus montanus,Alpine,Herb,Snowy River Phebalium heath,11.1,18.81355932,256.5217391
Olearia phlogopappa var. flavescens,Alpine,Shrub,Snowy River Phebalium heath,85.4,9.046610169,412.2270742
Ozothamnus rosmarinifolius,Subalpine,Shrub,Snowy River Phebalium heath,29.8,8.739002933,383.1460674
Pimelea ligustrina subsp. ciliata,Alpine,Shrub,Snowy River Phebalium heath,231.2,13.31797235,281.8181818
Podocarpus lawrencei,Alpine,Shrub,Snowy River Phebalium heath,10.1,4.570135747,442
Baeckea gunniana,Alpine,Shrub,Spencers Creek,2.8925,20.66071429,175
Epacris glacialis,Alpine,Shrub,Spencers Creek,5.05,8.859649123,518.1818182
Epacris petrophila,Alpine,Shrub,Spencers Creek,8.502,18.89333333,642.8571429
Kunzea muelleri,Alpine,Shrub,Spencers Creek,4.487,8.0125,622.2222222
Olearia algida,Alpine,Shrub,Spencers Creek,2.075,9.880952381,350
Oschatzia cuneifolia,Alpine,Herb,Spencers Creek,175.6,,0
Pentachondra pumila,Alpine,Shrub,Spencers Creek,7.535,8.970238095,646.1538462
Pimelea alpina,Alpine,Shrub,Spencers Creek,15.388,11.0705036,365.7894737
Plantago alpestris,Alpine,Herb,Spencers Creek,127.8,,0
Richea continentis,Alpine,Shrub,Spencers Creek,97.8,,0
Agrostis muelleriana,Alpine,graminoid,Start of Club Lake Creek,31.9484,6.725978947,395.8333333
Cardamine robusta,Alpine,Herb,Start of Club Lake Creek,521.978,43.49816667,68.96551724
Craspedia sp. B,Alpine,Herb,Start of Club Lake Creek,909.721,15.96001228,199.3006993
Euphrasia collina subs.glacialis,Alpine,Herb,Start of Club Lake Creek,46.9278,29.89031847,65.41666667
Luzula australasica,Alpine,graminoid,Start of Club Lake Creek,47.365,7.354813665,429.3333333
Plantago euryphylla,Alpine,Herb,Start of Club Lake Creek,40614.861,1269.214394,196.3190184
Poa fawcettiae,Alpine,graminoid,Start of Club Lake Creek,366.146,61.0243,115.3846154
Ranunculus niphophilus,Alpine,Herb,Start of Club Lake Creek,147.5606,10.47271824,230.9836066
