species,treatment,percent_germination (%),percent_germination_significance,germination_speed (germinants/week),germination_speed_significance
Arthropodium milleflorum,Control,0,,0,
Arthropodium milleflorum,Heat,0,,0,
Arthropodium milleflorum,Smoke,0,,0,
Arthropodium milleflorum,Smoke + heat,0,,0,
Arthropodium minus,Control,94.4,,2.33,
Arthropodium minus,Heat,94.7,,1.43,
Arthropodium minus,Smoke,95.6,,2.57,
Arthropodium minus,Smoke + heat,93.4,,7.57,significant increase
Austrostipa densiflora,Control,9.33,,2.61,
Austrostipa densiflora,Smoke,18.7,significant increase,4.74,significant increase
Bothriochloa macra,Control,94.7,,2.63,
Bothriochloa macra,Heat,92,,1.52,
Bothriochloa macra,Smoke,94.7,,5.37,
Bothriochloa macra,Smoke + heat,94.7,,7.75,significant increase
Brunonia australis,Control,20,,2.52,
Brunonia australis,Heat,24,,1.38,
Brunonia australis,Smoke,40,significant increase,2.40,
Brunonia australis,Smoke + heat,30.7,,7.37,significant increase
Bulbine bulbosa,Control,91.5,,3.13,
Bulbine bulbosa,Heat,94.7,,2,
Bulbine bulbosa,Smoke,95.7,,2.67,
Bulbine bulbosa,Smoke + heat,95.7,,7.70,significant increase
Bulbine glauca,Control,42.8,,2,
Bulbine glauca,Smoke,48,,1.93,
Bulbine glauca,Smoke + heat,68.7,significant increase,7.60,significant increase
Burchardia umbellata,Control,97.5,,2.20,
Burchardia umbellata,Heat,95.1,,1.17,
Burchardia umbellata,Smoke,93.6,,1.63,
Burchardia umbellata,Smoke + heat,86.3,,7.73,significant increase
Caesia calliantha,Control,25.3,,2.20,
Caesia calliantha,Smoke,77.8,significant increase,2.23,
Calocephalus citreus,Control,4,,2.37,
Calocephalus citreus,Heat,0,,0,
Calocephalus citreus,Smoke,18.9,significant increase,2.63,
Calotis lappulacea,Control,94.7,,2.33,
Calotis lappulacea,Smoke,94.7,,2.20,
Calotis lappulacea,Smoke + heat,93.3,,2.43,
Cheiranthera linearis,Control,80,,2.37,
Cheiranthera linearis,Heat,89.3,,1.50,
Cheiranthera linearis,Smoke,94.6,significant increase,2.63,
Cheiranthera linearis,Smoke + heat,90.9,significant increase,7.73,significant increase
Chrysocephalum apiculatum,Control,12.9,,2.6,
Chrysocephalum apiculatum,Heat,12.8,,2.33,
Chrysocephalum apiculatum,Smoke,34.8,,2,
Chrysocephalum apiculatum,Smoke + heat,98.7,significant increase,7.47,significant increase
Chrysocephalum semipapposum,Control,38.6,,2.43,
Chrysocephalum semipapposum,Heat,30.9,,2.43,
Chrysocephalum semipapposum,Smoke,88.8,significant increase,2.17,
Chrysocephalum semipapposum,Smoke + heat,100,significant increase,7.30,significant increase
Convolvulus remotus,Control,8.31,,2.30,
Convolvulus remotus,Heat,21.3,significant increase,8.40,significant increase
Convolvulus remotus,Smoke,7.78,,2.10,
Convolvulus remotus,Smoke + heat,19.6,significant increase,7.43,significant increase
Craspedia variabilis,Control,55.9,,2.47,
Craspedia variabilis,Heat,13.3,significant decrease,2.37,
Craspedia variabilis,Smoke,60.2,,2.07,
Craspedia variabilis,Smoke + heat,97.3,significant increase,7.33,significant increase
Cynoglossum suaveolens,Control,24,,2.40,
Cynoglossum suaveolens,Smoke + heat,5.7,significant decrease,2.37,
Daucus glochidiatus,Control,90.7,,2.3,
Daucus glochidiatus,Smoke,96,,2.4,
Dianella caerulea,Control,37.9,,3.13,
Dianella caerulea,Heat,33.4,,2.20,
Dianella caerulea,Smoke,48.8,significant increase,1.87,
Dianella caerulea,Smoke + heat,38,,7.45,significant increase
Dianella longifolia,Control,87.8,,2.50,
Dianella longifolia,Heat,76.5,,2.20,
Dianella longifolia,Smoke,82.6,,2.10,
Dianella longifolia,Smoke + heat,80,,7.53,significant increase
Dianella revoluta,Control,21.6,,2.27,
Dianella revoluta,Heat,29.5,,2.33,
Dianella revoluta,Smoke,74.0,significant increase,2.43,
Dianella revoluta,Smoke + heat,32.9,significant increase,7.67,significant increase
Dianella tarda,Control,19.7,,2.07,
Dianella tarda,Heat,39.0,,2.33,
Dianella tarda,Smoke,58.9,significant increase,2.10,
Dianella tarda,Smoke + heat,89.7,significant increase,7.37,significant increase
Dichopogon strictus,Control,93.3,,2.33,
Dichopogon strictus,Heat,95.9,,1.50,
Dichopogon strictus,Smoke,96.1,,2.57,
Dichopogon strictus,Smoke + heat,95.9,,7.83,significant increase
Dillwynia sericea,Control,6.67,,2.42,
Dillwynia sericea,Heat,58.7,significant increase,8,
Dillwynia sericea,Smoke,5.33,,2.42,
Dillwynia sericea,Smoke + heat,5.33,,7.55,significant increase
Eryngium ovinum,Control,37.6,,2.78,
Eryngium ovinum,Heat,36.6,,1.20,
Eryngium ovinum,Smoke,45,,2.63,
Eryngium ovinum,Smoke + heat,40.4,,7.73,significant increase
Glycine tabacina,Control,23.6,,2.27,
Glycine tabacina,Heat,42.6,significant increase,8.40,significant increase
Glycine tabacina,Smoke,37.3,significant increase,2.27,
Glycine tabacina,Smoke + heat,56.3,significant increase,7.35,significant increase
Gonocarpus tetragynus,Control,2.67,,2.50,
Gonocarpus tetragynus,Smoke,10.7,significant increase,2.53,
Gonocarpus tetragynus,Smoke + heat,20,significant increase,7.53,significant increase
Hardenbergia violacea,Control,5.33,,2.42,
Hardenbergia violacea,Heat,73.3,significant increase,7.75,significant increase
Hardenbergia violacea,Smoke,37.3,significant increase,2.42,
Hardenbergia violacea,Smoke + heat,97.3,significant increase,7.23,significant increase
Kennedia prostrata,Control,1.39,,2.40,
Kennedia prostrata,Heat,28.0,significant increase,7.87,significant increase
Kennedia prostrata,Smoke,4.0,,2.40,
