Family,Genus,species,Abbreviation 
Mimosaceae   ,Acacia,bractybotrya,Acabra
Mimosaceae   ,Acacia,montana,Acamon
Mimosaceae   ,Acacia,wilhelmiana,Acawil
Euphorbiaceae   ,Beyeria,opaca,Beyopa
Cupressaceae   ,Callitris,verrucosa,Callitris
Gyrostemnaceae   ,Codonocarpus,cotinifolius,Codon
Sapindaceae   ,Dodonaea,bursariifolia,Dodbur
Myoporaceae   ,Eremophila,glabra,Eregla
Myrtaceae   ,Eucalyptus,oleosa,EucBlue
Myrtaceae   ,Eucalyptus,gracilis,EucGreen
Boraginaceae   ,Halgania,cyanea,Halcya
Myrtaceae  ,Melaleuca,lanceolata,Mellan
Asteraceae   ,Olearia,muelleri,Olemul
Asteraceae   ,Olearia,pimeleoides,Olepim
Asteraceae   ,Olearia,subspicata,Olesub
Rutaceae   ,Phebalium,squamulosum,Phebalium
Mimosaceae  ,Senna,artemisioides subsp. Zygophylla,Senart
Lamiaceae,Westringia,rigida,Wesrig
