species,site,leaf size (cm2),LMA (g/m2),height (m)
Acacia holosericea#,arid,28.4,133,3
Archidendropsis basaltica,arid,15.8,172.6,10
Carissa lanceolata#,arid,1.2,127.4,2
Corymbia polycarpa,arid,12.9,156,15
Dodonaea physocarpa#,arid,1.7,136.2,1.5
Erythrophleum chlorostachys,arid,380.6,160.3,15
Gardenia vilhelmii#,arid,2.6,99.7,4
Grevillea parallela#,arid,12.2,217.3,7
Grevillea striata,arid,14.8,386.7,8
Melaleuca citrolens#,arid,2.2,183.4,9
Melaleuca stenostachya,arid,1.5,156.4,9
Melaleuca viridiflora#,arid,28.3,261.2,5
Petalostigma banksii,arid,3.5,142.1,4
Terminalia platyptera,arid,9.3,121.1,9
Ventilago viminalis#,arid,5.5,133.4,12
Acacia flavescens,dry,45.9,182.7,16
Acacia leptostachya,dry,7.1,180,1.5
Allocasuarina torulosa,dry,0.7,264.4,15
Corymbia citriodora,dry,18.8,116.5,35
Corymbia intermedia,dry,24.6,135.3,35
Corymbia trachyphloia,dry,13.9,145.3,30
Eucalyptus portuensis,dry,23.5,206.2,35
Gastrolobium grandiflorum,dry,15.3,148.3,1.3
Grevillea glauca,dry,27.6,151.6,8
Grevillea parallela,dry,7.8,212.1,7
Lophostemon suaveolens,dry,26.1,136.9,25
Persoonia falcata,dry,16,193.6,4
Petalostigma pubescens,dry,5.9,140.9,5
Planchonia careya,dry,27.6,96.5,7
Xylomelum scottianum,dry,22.1,135.7,7
Acacia crassicarpa,wet,57.9,78.9,20
Acacia flavescens,wet,60.6,108.2,20
Acacia mangium,wet,87.2,101.1,30
Allocasuarina torulosa,wet,1,188.4,15
Alphitonia excelsa,wet,32.3,80.6,25
Canarium australianum,wet,255.5,108.2,20
Chionanthus ramiflora,wet,100.2,117.9,18
Corymbia intermedia,wet,32.6,93.8,35
Eucalyptus platyphylla,wet,92.4,103.4,35
Ixora timorensis,wet,90.3,81.5,8
Lophostemon suaveolens,wet,51.5,61.8,25
Macaranga involucrata,wet,98,69.8,5
Macaranga tanarius,wet,145.2,78.7,7
Planchonia careya,wet,38.1,89.1,7
Timonius timon,wet,27.4,84.9,10
