name_original,Wood density (g/cm^3),metadata_id,primary_source_id
Acacia acradenia,0.904,56,54
Acacia acuminata,0.895,56,54
Acacia acuminata,1.008,56,54
Acacia adsurgens,0.887,56,54
Acacia ampliceps,0.568,56,54
Acacia aneura,1.035,56,54
Acacia aneura,1.019,56,54
Acacia aneura,0.861,56,54
Acacia aneura,0.996,56,54
Acacia aneura,1.044,56,54
Acacia atkinsiana,0.89,56,54
Acacia aulacocarpa,0.86,56,54
Acacia bivenosa,0.65,56,54
Acacia bivenosa,0.62,56,54
Acacia brachystachya,1.01,56,54
Acacia brachystachya,0.97,56,54
Acacia citrinoviridis,0.88,56,54
Acacia citrinoviridis,0.81,56,54
Acacia colei,0.61,56,54
Acacia colei,0.766,56,54
Acacia coriacea,0.96,56,54
Acacia craspedocarpa,0.887,56,54
Acacia crassicarpa,0.577,56,54
Acacia crassicarpa,0.618,56,54
Acacia dealbata,0.6,56,54
Acacia dealbata,0.572,56,54
Acacia dictyophleba,0.762,56,54
Acacia difficilis,0.77,56,54
Acacia difficilis,0.784,56,54
Acacia eriopoda,0.9,56,54
Acacia grasbyi,1.054,56,54
Acacia grasbyi,0.86,56,54
Acacia grasbyi,1.032,56,54
Acacia harpophylla,0.908,56,54
Acacia harpophylla,0.884,56,54
Acacia hemignosta,0.646,56,54
Acacia hemsleyi,0.6,56,54
Acacia jennerae,0.742,56,54
Acacia laccata,0.723,56,54
Acacia lasiocalyx,0.684,56,54
Acacia maconochieana,0.8,56,54
Acacia maconochieana,0.801,56,54
Acacia melanoxylon,0.555,56,54
Acacia melanoxylon,0.559,56,54
Acacia murrayana,0.519,56,54
Acacia oswaldii,0.976,56,54
Acacia pachycarpa,0.87,56,54
Acacia pallidifolia,0.68,56,54
Acacia papyrocarpa,1.073,56,54
Acacia papyrocarpa,0.887,56,54
Acacia papyrocarpa,0.966,56,54
Acacia pellita,0.67,56,54
Acacia penninervis,0.605,56,54
Acacia penninervis,0.668,56,54
Acacia pruinocarpa,0.981,56,54
Acacia pruinocarpa,0.897,56,54
Acacia pubescens,0.587,56,54
Acacia pubescens,0.664,56,54
Acacia quadrimarginea,0.922,56,54
Acacia ramulosa,1.007,56,54
Acacia resinimarginea,0.996,56,54
Acacia sclerosperma,0.86,56,54
Acacia shirleyi,1,56,54
Acacia shirleyi,0.904,56,54
Acacia sibilans,0.97,56,54
Acacia stenophylla,0.775,56,54
Acacia stenophylla,0.69,56,54
Acacia stipuligera,0.81,56,54
Acacia subtessarogona,1.097,56,54
Acacia tetragonophylla,0.874,56,54
Acacia tetragonophylla,1.002,56,54
Acacia victoriae,0.692,56,54
Acacia xiphophylla,1.137,56,54
Acmena smithii,0.612,56,54
Acradenia frankliniae,0.628,56,54
Agathis robusta,0.401,56,54
Alectryon oleifolius,0.939,56,54
Allocasuarina acutivalvis,0.81,56,54
